Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,CMPSC     8,MATNI Z A,A+,8
S19,Undergraduate,CMPSC     8,MATNI Z A,A,51
S19,Undergraduate,CMPSC     8,MATNI Z A,A-,13
S19,Undergraduate,CMPSC     8,MATNI Z A,B+,12
S19,Undergraduate,CMPSC     8,MATNI Z A,B,15
S19,Undergraduate,CMPSC     8,MATNI Z A,B-,9
S19,Undergraduate,CMPSC     8,MATNI Z A,C+,2
S19,Undergraduate,CMPSC     8,MATNI Z A,C,4
S19,Undergraduate,CMPSC     8,MATNI Z A,C-,1
S19,Undergraduate,CMPSC     8,MATNI Z A,D,4
S19,Undergraduate,CMPSC     8,MATNI Z A,F,2
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,A,57
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,A-,18
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,B+,12
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,B,8
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,B-,7
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,C+,1
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,C,1
S19,Undergraduate,CMPSC    16,KHARITONOVA Y,C-,2
S19,Undergraduate,CMPSC    16,NICHOLS L H,A+,10
S19,Undergraduate,CMPSC    16,NICHOLS L H,A,17
S19,Undergraduate,CMPSC    16,NICHOLS L H,A-,10
S19,Undergraduate,CMPSC    16,NICHOLS L H,B+,6
S19,Undergraduate,CMPSC    16,NICHOLS L H,B,13
S19,Undergraduate,CMPSC    16,NICHOLS L H,B-,3
S19,Undergraduate,CMPSC    16,NICHOLS L H,C+,6
S19,Undergraduate,CMPSC    16,NICHOLS L H,C,2
S19,Undergraduate,CMPSC    16,NICHOLS L H,C-,2
S19,Undergraduate,CMPSC    16,NICHOLS L H,D-,2
S19,Undergraduate,CMPSC    16,NICHOLS L H,F,2
S19,Undergraduate,CMPSC    24,MIRZA D,A+,39
S19,Undergraduate,CMPSC    24,MIRZA D,A,29
S19,Undergraduate,CMPSC    24,MIRZA D,A-,7
S19,Undergraduate,CMPSC    24,MIRZA D,B+,7
S19,Undergraduate,CMPSC    24,MIRZA D,B,8
S19,Undergraduate,CMPSC    24,MIRZA D,B-,3
S19,Undergraduate,CMPSC    24,MIRZA D,C+,3
S19,Undergraduate,CMPSC    24,MIRZA D,C,4
