Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,EEMB      3,CARLSON C A,A+,5
S19,Undergraduate,EEMB      3,CARLSON C A,A,28
S19,Undergraduate,EEMB      3,CARLSON C A,A-,63
S19,Undergraduate,EEMB      3,CARLSON C A,B+,25
S19,Undergraduate,EEMB      3,CARLSON C A,B,134
S19,Undergraduate,EEMB      3,CARLSON C A,B-,100
S19,Undergraduate,EEMB      3,CARLSON C A,C+,27
S19,Undergraduate,EEMB      3,CARLSON C A,C,126
S19,Undergraduate,EEMB      3,CARLSON C A,C-,42
S19,Undergraduate,EEMB      3,CARLSON C A,D,73
S19,Undergraduate,EEMB      3,CARLSON C A,F,11
S19,Undergraduate,EEMB      3,HODGES S A,A+,5
S19,Undergraduate,EEMB      3,HODGES S A,A,28
S19,Undergraduate,EEMB      3,HODGES S A,A-,63
S19,Undergraduate,EEMB      3,HODGES S A,B+,25
S19,Undergraduate,EEMB      3,HODGES S A,B,134
S19,Undergraduate,EEMB      3,HODGES S A,B-,100
S19,Undergraduate,EEMB      3,HODGES S A,C+,27
S19,Undergraduate,EEMB      3,HODGES S A,C,126
S19,Undergraduate,EEMB      3,HODGES S A,C-,42
S19,Undergraduate,EEMB      3,HODGES S A,D,73
S19,Undergraduate,EEMB      3,HODGES S A,F,11
S19,Undergraduate,EEMB      3,HOFMANN G E,A+,5
S19,Undergraduate,EEMB      3,HOFMANN G E,A,28
S19,Undergraduate,EEMB      3,HOFMANN G E,A-,63
S19,Undergraduate,EEMB      3,HOFMANN G E,B+,25
S19,Undergraduate,EEMB      3,HOFMANN G E,B,134
S19,Undergraduate,EEMB      3,HOFMANN G E,B-,100
S19,Undergraduate,EEMB      3,HOFMANN G E,C+,27
S19,Undergraduate,EEMB      3,HOFMANN G E,C,126
S19,Undergraduate,EEMB      3,HOFMANN G E,C-,42
S19,Undergraduate,EEMB      3,HOFMANN G E,D,73
S19,Undergraduate,EEMB      3,HOFMANN G E,F,11
S19,Undergraduate,EEMB      3,NGUYEN A T,A+,5
S19,Undergraduate,EEMB      3,NGUYEN A T,A,28
S19,Undergraduate,EEMB      3,NGUYEN A T,A-,63
S19,Undergraduate,EEMB      3,NGUYEN A T,B+,25
S19,Undergraduate,EEMB      3,NGUYEN A T,B,134
S19,Undergraduate,EEMB      3,NGUYEN A T,B-,100
S19,Undergraduate,EEMB      3,NGUYEN A T,C+,27
S19,Undergraduate,EEMB      3,NGUYEN A T,C,126
S19,Undergraduate,EEMB      3,NGUYEN A T,C-,42
S19,Undergraduate,EEMB      3,NGUYEN A T,D,73
S19,Undergraduate,EEMB      3,NGUYEN A T,F,11
S19,Undergraduate,EEMB      3L,BOGAN S N,A,2
S19,Undergraduate,EEMB      3L,BOGAN S N,A-,3
S19,Undergraduate,EEMB      3L,BOGAN S N,B+,2
S19,Undergraduate,EEMB      3L,BOGAN S N,B,10
S19,Undergraduate,EEMB      3L,BOGAN S N,B-,4
S19,Undergraduate,EEMB      3L,BOGAN S N,C+,3
S19,Undergraduate,EEMB      3L,BOGAN S N,C,7
S19,Undergraduate,EEMB      3L,BOGAN S N,C-,2
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,A,2
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,B+,1
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,B,12
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,B-,2
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,C+,7
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,C,2
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,C-,1
S19,Undergraduate,EEMB      3L,BOURGEOIS B C,D,3
S19,Undergraduate,EEMB      3L,CABIN Z A,A,1
S19,Undergraduate,EEMB      3L,CABIN Z A,A-,2
S19,Undergraduate,EEMB      3L,CABIN Z A,B+,3
S19,Undergraduate,EEMB      3L,CABIN Z A,B,8
S19,Undergraduate,EEMB      3L,CABIN Z A,B-,2
S19,Undergraduate,EEMB      3L,CABIN Z A,C+,3
S19,Undergraduate,EEMB      3L,CABIN Z A,C-,1
S19,Undergraduate,EEMB      3L,CABIN Z A,D,1
S19,Undergraduate,EEMB      3L,CHAMORRO J D,A,2
S19,Undergraduate,EEMB      3L,CHAMORRO J D,A-,6
S19,Undergraduate,EEMB      3L,CHAMORRO J D,B+,5
S19,Undergraduate,EEMB      3L,CHAMORRO J D,B,12
S19,Undergraduate,EEMB      3L,CHAMORRO J D,B-,3
S19,Undergraduate,EEMB      3L,CHAMORRO J D,C+,3
S19,Undergraduate,EEMB      3L,CHAMORRO J D,C,3
S19,Undergraduate,EEMB      3L,CHICK B Y,A,1
S19,Undergraduate,EEMB      3L,CHICK B Y,A-,2
S19,Undergraduate,EEMB      3L,CHICK B Y,B+,2
S19,Undergraduate,EEMB      3L,CHICK B Y,B,5
S19,Undergraduate,EEMB      3L,CHICK B Y,B-,3
S19,Undergraduate,EEMB      3L,CHICK B Y,C+,5
S19,Undergraduate,EEMB      3L,CHICK B Y,C,11
S19,Undergraduate,EEMB      3L,CHICK B Y,D,4
S19,Undergraduate,EEMB      3L,CHUNG J M,A,2
S19,Undergraduate,EEMB      3L,CHUNG J M,A-,3
S19,Undergraduate,EEMB      3L,CHUNG J M,B+,2
S19,Undergraduate,EEMB      3L,CHUNG J M,B,10
S19,Undergraduate,EEMB      3L,CHUNG J M,B-,5
S19,Undergraduate,EEMB      3L,CHUNG J M,C+,7
S19,Undergraduate,EEMB      3L,CHUNG J M,C,8
S19,Undergraduate,EEMB      3L,CHUNG J M,C-,1
S19,Undergraduate,EEMB      3L,DORNAN N N,A+,1
S19,Undergraduate,EEMB      3L,DORNAN N N,A,1
S19,Undergraduate,EEMB      3L,DORNAN N N,A-,4
S19,Undergraduate,EEMB      3L,DORNAN N N,B+,10
S19,Undergraduate,EEMB      3L,DORNAN N N,B,9
S19,Undergraduate,EEMB      3L,DORNAN N N,B-,4
S19,Undergraduate,EEMB      3L,DORNAN N N,C+,5
S19,Undergraduate,EEMB      3L,DORNAN N N,C,3
S19,Undergraduate,EEMB      3L,DORNAN N N,C-,1
S19,Undergraduate,EEMB      3L,DORNAN N N,D,3
S19,Undergraduate,EEMB      3L,ENGLISH C J,A,4
S19,Undergraduate,EEMB      3L,ENGLISH C J,A-,1
S19,Undergraduate,EEMB      3L,ENGLISH C J,B+,7
S19,Undergraduate,EEMB      3L,ENGLISH C J,B,15
S19,Undergraduate,EEMB      3L,ENGLISH C J,B-,5
S19,Undergraduate,EEMB      3L,ENGLISH C J,C+,5
S19,Undergraduate,EEMB      3L,ENGLISH C J,C,10
S19,Undergraduate,EEMB      3L,ENGLISH C J,C-,2
S19,Undergraduate,EEMB      3L,GORDON R W,A,1
S19,Undergraduate,EEMB      3L,GORDON R W,B+,3
S19,Undergraduate,EEMB      3L,GORDON R W,B,13
S19,Undergraduate,EEMB      3L,GORDON R W,B-,2
S19,Undergraduate,EEMB      3L,GORDON R W,C+,1
S19,Undergraduate,EEMB      3L,GORDON R W,C,5
S19,Undergraduate,EEMB      3L,GORDON R W,C-,2
S19,Undergraduate,EEMB      3L,GORDON R W,D,3
S19,Undergraduate,EEMB      3L,IGNATENKO D A,A,5
S19,Undergraduate,EEMB      3L,IGNATENKO D A,A-,5
S19,Undergraduate,EEMB      3L,IGNATENKO D A,B+,10
S19,Undergraduate,EEMB      3L,IGNATENKO D A,B,17
S19,Undergraduate,EEMB      3L,IGNATENKO D A,B-,3
S19,Undergraduate,EEMB      3L,IGNATENKO D A,C+,6
S19,Undergraduate,EEMB      3L,IGNATENKO D A,C,4
S19,Undergraduate,EEMB      3L,IGNATENKO D A,C-,2
S19,Undergraduate,EEMB      3L,IGNATENKO D A,D,1
S19,Undergraduate,EEMB      3L,LANDFIELD K M,A,2
S19,Undergraduate,EEMB      3L,LANDFIELD K M,A-,3
S19,Undergraduate,EEMB      3L,LANDFIELD K M,B+,5
S19,Undergraduate,EEMB      3L,LANDFIELD K M,B,10
S19,Undergraduate,EEMB      3L,LANDFIELD K M,B-,2
S19,Undergraduate,EEMB      3L,LANDFIELD K M,C+,4
S19,Undergraduate,EEMB      3L,LANDFIELD K M,C,9
S19,Undergraduate,EEMB      3L,LANDFIELD K M,D,2
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,A,6
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,A-,2
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,B+,7
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,B,23
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,B-,7
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,C+,7
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,C,9
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,C-,1
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,D,2
S19,Undergraduate,EEMB      3L,MALAKHOFF K D,F,3
S19,Undergraduate,EEMB      3L,MESROP L Y,B+,8
S19,Undergraduate,EEMB      3L,MESROP L Y,B,15
S19,Undergraduate,EEMB      3L,MESROP L Y,B-,2
S19,Undergraduate,EEMB      3L,MESROP L Y,C+,5
S19,Undergraduate,EEMB      3L,MESROP L Y,C,4
S19,Undergraduate,EEMB      3L,MESROP L Y,C-,1
S19,Undergraduate,EEMB      3L,NGUYEN A T,A+,1
S19,Undergraduate,EEMB      3L,NGUYEN A T,A,42
S19,Undergraduate,EEMB      3L,NGUYEN A T,A-,45
S19,Undergraduate,EEMB      3L,NGUYEN A T,B+,95
S19,Undergraduate,EEMB      3L,NGUYEN A T,B,236
S19,Undergraduate,EEMB      3L,NGUYEN A T,B-,63
S19,Undergraduate,EEMB      3L,NGUYEN A T,C+,84
S19,Undergraduate,EEMB      3L,NGUYEN A T,C,103
S19,Undergraduate,EEMB      3L,NGUYEN A T,C-,16
S19,Undergraduate,EEMB      3L,NGUYEN A T,D,22
S19,Undergraduate,EEMB      3L,NGUYEN A T,F,3
S19,Undergraduate,EEMB      3L,PARKER N A,A,3
S19,Undergraduate,EEMB      3L,PARKER N A,A-,1
S19,Undergraduate,EEMB      3L,PARKER N A,B+,7
S19,Undergraduate,EEMB      3L,PARKER N A,B,13
S19,Undergraduate,EEMB      3L,PARKER N A,B-,7
S19,Undergraduate,EEMB      3L,PARKER N A,C+,3
S19,Undergraduate,EEMB      3L,PARKER N A,C,3
S19,Undergraduate,EEMB      3L,SHARPE E H,A,1
S19,Undergraduate,EEMB      3L,SHARPE E H,A-,1
S19,Undergraduate,EEMB      3L,SHARPE E H,B+,4
S19,Undergraduate,EEMB      3L,SHARPE E H,B,18
S19,Undergraduate,EEMB      3L,SHARPE E H,B-,2
S19,Undergraduate,EEMB      3L,SHARPE E H,C+,5
S19,Undergraduate,EEMB      3L,SHARPE E H,C,5
S19,Undergraduate,EEMB      3L,SU J M,A,4
S19,Undergraduate,EEMB      3L,SU J M,A-,2
S19,Undergraduate,EEMB      3L,SU J M,B+,3
S19,Undergraduate,EEMB      3L,SU J M,B,13
S19,Undergraduate,EEMB      3L,SU J M,B-,2
S19,Undergraduate,EEMB      3L,SU J M,C+,4
S19,Undergraduate,EEMB      3L,SU J M,C,5
S19,Undergraduate,EEMB      3L,SU J M,C-,1
S19,Undergraduate,EEMB      3L,SU J M,D,1
S19,Undergraduate,EEMB      3L,WONG J M,A,1
S19,Undergraduate,EEMB      3L,WONG J M,A-,4
S19,Undergraduate,EEMB      3L,WONG J M,B+,9
S19,Undergraduate,EEMB      3L,WONG J M,B,14
S19,Undergraduate,EEMB      3L,WONG J M,B-,5
S19,Undergraduate,EEMB      3L,WONG J M,C+,6
S19,Undergraduate,EEMB      3L,WONG J M,C,3
S19,Undergraduate,EEMB      3L,ZIRRETTA L,A,4
S19,Undergraduate,EEMB      3L,ZIRRETTA L,A-,6
S19,Undergraduate,EEMB      3L,ZIRRETTA L,B+,7
