Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,HIST      2C,BERGSTROM R E,A+,2
S19,Undergraduate,HIST      2C,BERGSTROM R E,A,67
S19,Undergraduate,HIST      2C,BERGSTROM R E,A-,72
S19,Undergraduate,HIST      2C,BERGSTROM R E,B+,91
S19,Undergraduate,HIST      2C,BERGSTROM R E,B,96
S19,Undergraduate,HIST      2C,BERGSTROM R E,B-,59
S19,Undergraduate,HIST      2C,BERGSTROM R E,C+,31
S19,Undergraduate,HIST      2C,BERGSTROM R E,C,17
S19,Undergraduate,HIST      2C,BERGSTROM R E,C-,10
S19,Undergraduate,HIST      2C,BERGSTROM R E,D+,2
S19,Undergraduate,HIST      2C,BERGSTROM R E,D,1
S19,Undergraduate,HIST      2C,BERGSTROM R E,F,13
S19,Undergraduate,HIST      2CH,BERGSTROM R E,A,13
S19,Undergraduate,HIST      4B,BERNSTEIN H J,A,16
S19,Undergraduate,HIST      4B,BERNSTEIN H J,A-,18
S19,Undergraduate,HIST      4B,BERNSTEIN H J,B+,18
S19,Undergraduate,HIST      4B,BERNSTEIN H J,B,32
S19,Undergraduate,HIST      4B,BERNSTEIN H J,B-,14
S19,Undergraduate,HIST      4B,BERNSTEIN H J,C+,10
S19,Undergraduate,HIST      4B,BERNSTEIN H J,C,8
S19,Undergraduate,HIST      4B,BERNSTEIN H J,C-,1
S19,Undergraduate,HIST      4B,BERNSTEIN H J,D+,4
S19,Undergraduate,HIST      4B,BERNSTEIN H J,D,1
S19,Undergraduate,HIST      4B,BERNSTEIN H J,F,12
S19,Undergraduate,HIST      4C,EDGAR A L,A+,5
S19,Undergraduate,HIST      4C,EDGAR A L,A,66
S19,Undergraduate,HIST      4C,EDGAR A L,A-,78
S19,Undergraduate,HIST      4C,EDGAR A L,B+,92
S19,Undergraduate,HIST      4C,EDGAR A L,B,57
S19,Undergraduate,HIST      4C,EDGAR A L,B-,40
S19,Undergraduate,HIST      4C,EDGAR A L,C+,21
S19,Undergraduate,HIST      4C,EDGAR A L,C,8
S19,Undergraduate,HIST      4C,EDGAR A L,C-,1
S19,Undergraduate,HIST      4C,EDGAR A L,D+,2
S19,Undergraduate,HIST      4C,EDGAR A L,D,5
S19,Undergraduate,HIST      4C,EDGAR A L,F,16
S19,Undergraduate,HIST     17C,YAQUB S,A+,1
S19,Undergraduate,HIST     17C,YAQUB S,A,93
S19,Undergraduate,HIST     17C,YAQUB S,A-,98
S19,Undergraduate,HIST     17C,YAQUB S,B+,98
S19,Undergraduate,HIST     17C,YAQUB S,B,126
S19,Undergraduate,HIST     17C,YAQUB S,B-,51
S19,Undergraduate,HIST     17C,YAQUB S,C+,19
S19,Undergraduate,HIST     17C,YAQUB S,C,12
S19,Undergraduate,HIST     17C,YAQUB S,C-,7
S19,Undergraduate,HIST     17C,YAQUB S,D,1
S19,Undergraduate,HIST     17C,YAQUB S,D-,1
S19,Undergraduate,HIST     17C,YAQUB S,F,6
S19,Undergraduate,HIST     46MI,AFARY J,A+,2
S19,Undergraduate,HIST     46MI,AFARY J,A,11
S19,Undergraduate,HIST     46MI,AFARY J,A-,4
S19,Undergraduate,HIST     46MI,AFARY J,B+,1
S19,Undergraduate,HIST     46MI,AFARY J,B,4
S19,Undergraduate,HIST     46MI,AFARY J,B-,3
S19,Undergraduate,HIST     46MI,AFARY J,C+,1
S19,Undergraduate,HIST     46MI,AFARY J,C,2
S19,Undergraduate,HIST     46MI,AFARY J,C-,1
S19,Undergraduate,HIST     46MI,AFARY J,D,1
S19,Undergraduate,HIST     46MI,AFARY J,D-,2
S19,Undergraduate,HIST     46MI,AFARY J,F,2
S19,Undergraduate,HIST     49C,CHIKOWERO M,A+,3
S19,Undergraduate,HIST     49C,CHIKOWERO M,A,6
S19,Undergraduate,HIST     49C,CHIKOWERO M,A-,5
S19,Undergraduate,HIST     49C,CHIKOWERO M,B+,10
S19,Undergraduate,HIST     49C,CHIKOWERO M,B,6
S19,Undergraduate,HIST     49C,CHIKOWERO M,B-,5
S19,Undergraduate,HIST     49C,CHIKOWERO M,C+,4
S19,Undergraduate,HIST     49C,CHIKOWERO M,C,1
S19,Undergraduate,HIST     49C,CHIKOWERO M,C-,1
S19,Undergraduate,HIST     49C,CHIKOWERO M,F,5
S19,Undergraduate,HIST     56,CASTILLO-MUNO,A+,4
S19,Undergraduate,HIST     56,CASTILLO-MUNO,A,38
S19,Undergraduate,HIST     56,CASTILLO-MUNO,A-,18
S19,Undergraduate,HIST     56,CASTILLO-MUNO,B+,22
S19,Undergraduate,HIST     56,CASTILLO-MUNO,B,27
