Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,MS        1C,BUEHNER T D,A,23
S19,Undergraduate,MS        1C,BUEHNER T D,F,1
S19,Undergraduate,MS        2AC,BUEHNER T D,A+,6
S19,Undergraduate,MS        2AC,BUEHNER T D,A,9
S19,Undergraduate,MS        6,BUEHNER T D,P,2
S19,Undergraduate,MS       22,BUEHNER T D,A,15
S19,Undergraduate,MS       22,BUEHNER T D,B,6
S19,Undergraduate,MS       99,BUEHNER T D,A+,1
S19,Undergraduate,MS       99,BUEHNER T D,A,11
S19,Undergraduate,MS       99,BUEHNER T D,A-,1
S19,Undergraduate,MS      133,BUEHNER T D,A,13
S19,Undergraduate,MS      143,BUEHNER T D,A,11
S19,Undergraduate,MS      190,BUEHNER T D,A,5
S19,Undergraduate,MS      199,BUEHNER T D,A,13
S19,Undergraduate,MS      199,BUEHNER T D,A-,1
S19,Undergraduate,MS      199,BUEHNER T D,B+,2
S19,Undergraduate,MS      199,BUEHNER T D,B,1
S19,Undergraduate,MS      199,STOKES M E,A,1
