Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,FR        3,PHILLIPS M E,A+,3
S19,Undergraduate,FR        3,PHILLIPS M E,A,7
S19,Undergraduate,FR        3,PHILLIPS M E,A-,8
S19,Undergraduate,FR        3,PHILLIPS M E,B+,2
S19,Undergraduate,FR        3,PHILLIPS M E,B-,2
S19,Undergraduate,FR        3,PHILLIPS M E,C+,2
S19,Undergraduate,FR        3,PHILLIPS M E,C,1
S19,Undergraduate,FR       11B,PHILLIPS M E,A,12
S19,Undergraduate,FR       11B,PHILLIPS M E,A-,1
S19,Undergraduate,FR      104F,PHILLIPS M E,A+,1
S19,Undergraduate,FR      104F,PHILLIPS M E,A,8
S19,Undergraduate,FR      104F,PHILLIPS M E,A-,1
S19,Undergraduate,FR      104F,PHILLIPS M E,B+,3
S19,Undergraduate,FR      104F,PHILLIPS M E,B-,1
S19,Undergraduate,FR      104F,PHILLIPS M E,C+,1
S19,Undergraduate,FR      104F,PHILLIPS M E,F,1
S19,Undergraduate,PHIL      1,KORMAN D Z,A+,6
S19,Undergraduate,PHIL      1,KORMAN D Z,A,18
S19,Undergraduate,PHIL      1,KORMAN D Z,A-,34
S19,Undergraduate,PHIL      1,KORMAN D Z,B+,20
S19,Undergraduate,PHIL      1,KORMAN D Z,B,34
S19,Undergraduate,PHIL      1,KORMAN D Z,B-,37
S19,Undergraduate,PHIL      1,KORMAN D Z,C+,32
S19,Undergraduate,PHIL      1,KORMAN D Z,C,14
S19,Undergraduate,PHIL      1,KORMAN D Z,C-,3
S19,Undergraduate,PHIL      1,KORMAN D Z,D,1
S19,Undergraduate,PHIL      1,KORMAN D Z,D-,1
S19,Undergraduate,PHIL      1,KORMAN D Z,F,9
S19,Undergraduate,PHIL      3,STORY D E,A+,6
S19,Undergraduate,PHIL      3,STORY D E,A,31
S19,Undergraduate,PHIL      3,STORY D E,A-,26
S19,Undergraduate,PHIL      3,STORY D E,B+,40
S19,Undergraduate,PHIL      3,STORY D E,B,27
S19,Undergraduate,PHIL      3,STORY D E,B-,22
S19,Undergraduate,PHIL      3,STORY D E,C+,16
S19,Undergraduate,PHIL      3,STORY D E,C,17
S19,Undergraduate,PHIL      3,STORY D E,C-,7
S19,Undergraduate,PHIL      3,STORY D E,D+,5
S19,Undergraduate,PHIL      3,STORY D E,D,8
S19,Undergraduate,PHIL      3,STORY D E,D-,2
S19,Undergraduate,PHIL      3,STORY D E,F,11
S19,Undergraduate,PHIL      4,CLOOS C M,A+,1
S19,Undergraduate,PHIL      4,CLOOS C M,A,23
S19,Undergraduate,PHIL      4,CLOOS C M,A-,33
S19,Undergraduate,PHIL      4,CLOOS C M,B+,49
S19,Undergraduate,PHIL      4,CLOOS C M,B,45
S19,Undergraduate,PHIL      4,CLOOS C M,B-,29
S19,Undergraduate,PHIL      4,CLOOS C M,C+,24
S19,Undergraduate,PHIL      4,CLOOS C M,C,16
S19,Undergraduate,PHIL      4,CLOOS C M,C-,3
S19,Undergraduate,PHIL      4,CLOOS C M,D+,1
S19,Undergraduate,PHIL      4,CLOOS C M,D,2
S19,Undergraduate,PHIL      4,CLOOS C M,D-,2
S19,Undergraduate,PHIL      4,CLOOS C M,F,9
S19,Undergraduate,PHIL     20C,BARNES D B,A+,2
S19,Undergraduate,PHIL     20C,BARNES D B,A,21
S19,Undergraduate,PHIL     20C,BARNES D B,A-,26
S19,Undergraduate,PHIL     20C,BARNES D B,B+,29
