Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,PHYS      1,KOUTROULAKIS,A,22
S19,Undergraduate,PHYS      1,KOUTROULAKIS,A-,7
S19,Undergraduate,PHYS      1,KOUTROULAKIS,B+,8
S19,Undergraduate,PHYS      1,KOUTROULAKIS,B,8
S19,Undergraduate,PHYS      1,KOUTROULAKIS,B-,10
S19,Undergraduate,PHYS      1,KOUTROULAKIS,C+,3
S19,Undergraduate,PHYS      1,KOUTROULAKIS,C,7
S19,Undergraduate,PHYS      1,KOUTROULAKIS,C-,6
S19,Undergraduate,PHYS      1,KOUTROULAKIS,D+,6
S19,Undergraduate,PHYS      1,KOUTROULAKIS,D,3
S19,Undergraduate,PHYS      1,KOUTROULAKIS,D-,3
S19,Undergraduate,PHYS      1,KOUTROULAKIS,F,12
S19,Undergraduate,PHYS      2,GIESSINGER E,A,305
S19,Undergraduate,PHYS      2,GIESSINGER E,A-,123
S19,Undergraduate,PHYS      2,GIESSINGER E,B+,24
S19,Undergraduate,PHYS      2,GIESSINGER E,B,20
S19,Undergraduate,PHYS      2,GIESSINGER E,B-,13
S19,Undergraduate,PHYS      2,GIESSINGER E,C+,15
S19,Undergraduate,PHYS      2,GIESSINGER E,C,7
S19,Undergraduate,PHYS      2,GIESSINGER E,C-,6
S19,Undergraduate,PHYS      2,GIESSINGER E,D+,5
S19,Undergraduate,PHYS      2,GIESSINGER E,D,6
S19,Undergraduate,PHYS      2,GIESSINGER E,F,3
S19,Undergraduate,PHYS      4,POPESCU P F,A+,5
S19,Undergraduate,PHYS      4,POPESCU P F,A,11
S19,Undergraduate,PHYS      4,POPESCU P F,A-,4
S19,Undergraduate,PHYS      4,POPESCU P F,B+,6
S19,Undergraduate,PHYS      4,POPESCU P F,B,14
S19,Undergraduate,PHYS      4,POPESCU P F,B-,8
S19,Undergraduate,PHYS      4,POPESCU P F,C+,9
S19,Undergraduate,PHYS      4,POPESCU P F,C,11
S19,Undergraduate,PHYS      4,POPESCU P F,C-,3
S19,Undergraduate,PHYS      4,POPESCU P F,D+,2
S19,Undergraduate,PHYS      4L,LI A J,A+,9
S19,Undergraduate,PHYS      4L,LI A J,A,15
S19,Undergraduate,PHYS      4L,LI A J,A-,9
S19,Undergraduate,PHYS      4L,LI A J,B+,4
S19,Undergraduate,PHYS      4L,LI A J,B,4
S19,Undergraduate,PHYS      4L,POPESCU P F,A+,16
S19,Undergraduate,PHYS      4L,POPESCU P F,A,23
S19,Undergraduate,PHYS      4L,POPESCU P F,A-,14
S19,Undergraduate,PHYS      4L,POPESCU P F,B+,8
S19,Undergraduate,PHYS      4L,POPESCU P F,B,8
S19,Undergraduate,PHYS      4L,POPESCU P F,C+,1
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,A+,7
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,A,8
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,A-,5
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,B+,4
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,B,4
S19,Undergraduate,PHYS      4L,YUAN JIAOYUE,C+,1
S19,Undergraduate,PHYS      5,GWINN E G,A+,5
S19,Undergraduate,PHYS      5,GWINN E G,A,4
S19,Undergraduate,PHYS      5,GWINN E G,A-,8
S19,Undergraduate,PHYS      5,GWINN E G,B+,16
S19,Undergraduate,PHYS      5,GWINN E G,B,21
S19,Undergraduate,PHYS      5,GWINN E G,B-,19
S19,Undergraduate,PHYS      5,GWINN E G,C+,8
S19,Undergraduate,PHYS      5,GWINN E G,C,2
S19,Undergraduate,PHYS      5,GWINN E G,C-,3
S19,Undergraduate,PHYS      5,GWINN E G,D,1
S19,Undergraduate,PHYS      5,GWINN E G,D-,2
S19,Undergraduate,PHYS      5,GWINN E G,F,1
S19,Undergraduate,PHYS      5L,GWINN E G,A+,21
S19,Undergraduate,PHYS      5L,GWINN E G,A,46
S19,Undergraduate,PHYS      5L,GWINN E G,A-,15
S19,Undergraduate,PHYS      5L,JAIN-SHARMA V,A+,7
S19,Undergraduate,PHYS      5L,JAIN-SHARMA V,A,24
S19,Undergraduate,PHYS      5L,JAIN-SHARMA V,A-,14
S19,Undergraduate,PHYS      5L,POPESCU P F,A+,21
S19,Undergraduate,PHYS      5L,POPESCU P F,A,46
S19,Undergraduate,PHYS      5L,POPESCU P F,A-,15
S19,Undergraduate,PHYS      5L,VAFA F,A+,14
S19,Undergraduate,PHYS      5L,VAFA F,A,22
S19,Undergraduate,PHYS      5L,VAFA F,A-,1
S19,Undergraduate,PHYS      6B,FREEDMAN R A,A+,1
S19,Undergraduate,PHYS      6B,FREEDMAN R A,A,2
S19,Undergraduate,PHYS      6B,FREEDMAN R A,A-,6
S19,Undergraduate,PHYS      6B,FREEDMAN R A,B+,11
S19,Undergraduate,PHYS      6B,FREEDMAN R A,B,9
S19,Undergraduate,PHYS      6B,FREEDMAN R A,B-,20
S19,Undergraduate,PHYS      6B,FREEDMAN R A,C+,15
S19,Undergraduate,PHYS      6B,FREEDMAN R A,C,4
S19,Undergraduate,PHYS      6B,FREEDMAN R A,C-,8
S19,Undergraduate,PHYS      6B,FREEDMAN R A,D+,8
S19,Undergraduate,PHYS      6B,FREEDMAN R A,D,4
S19,Undergraduate,PHYS      6B,FREEDMAN R A,F,4
S19,Undergraduate,PHYS      6B,FREUND E G,A+,8
S19,Undergraduate,PHYS      6B,FREUND E G,A,18
S19,Undergraduate,PHYS      6B,FREUND E G,A-,10
S19,Undergraduate,PHYS      6B,FREUND E G,B+,17
S19,Undergraduate,PHYS      6B,FREUND E G,B,11
S19,Undergraduate,PHYS      6B,FREUND E G,B-,5
S19,Undergraduate,PHYS      6B,FREUND E G,C+,9
S19,Undergraduate,PHYS      6B,FREUND E G,C,1
S19,Undergraduate,PHYS      6B,FREUND E G,C-,2
S19,Undergraduate,PHYS      6B,FREUND E G,D+,6
S19,Undergraduate,PHYS      6B,FREUND E G,D,2
S19,Undergraduate,PHYS      6B,GELLER R M,A+,13
S19,Undergraduate,PHYS      6B,GELLER R M,A,11
S19,Undergraduate,PHYS      6B,GELLER R M,A-,19
S19,Undergraduate,PHYS      6B,GELLER R M,B+,34
S19,Undergraduate,PHYS      6B,GELLER R M,B,48
S19,Undergraduate,PHYS      6B,GELLER R M,B-,33
S19,Undergraduate,PHYS      6B,GELLER R M,C+,31
S19,Undergraduate,PHYS      6B,GELLER R M,C,31
S19,Undergraduate,PHYS      6B,GELLER R M,C-,18
S19,Undergraduate,PHYS      6B,GELLER R M,D+,6
S19,Undergraduate,PHYS      6B,GELLER R M,D,2
S19,Undergraduate,PHYS      6B,GELLER R M,D-,3
S19,Undergraduate,PHYS      6B,GELLER R M,F,15
S19,Undergraduate,PHYS      6BL,BERENSTEIN D,A+,63
S19,Undergraduate,PHYS      6BL,BERENSTEIN D,A,64
S19,Undergraduate,PHYS      6BL,BERENSTEIN D,A-,86
