Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,SLAV      3,MCCLAIN K L,A+,1
S19,Undergraduate,SLAV      3,MCCLAIN K L,A,6
S19,Undergraduate,SLAV      3,MCCLAIN K L,A-,6
S19,Undergraduate,SLAV      3,MCCLAIN K L,B,1
S19,Undergraduate,SLAV      3,MCCLAIN K L,B-,1
S19,Undergraduate,SLAV      3,MCCLAIN K L,C+,1
S19,Undergraduate,SLAV      3,MCLELLAN L,A,2
S19,Undergraduate,SLAV      3,MCLELLAN L,A-,2
S19,Undergraduate,SLAV      3,MCLELLAN L,B+,1
S19,Undergraduate,SLAV      3,MCLELLAN L,B,4
S19,Undergraduate,SLAV      3,MCLELLAN L,B-,1
S19,Undergraduate,SLAV      6,MCLELLAN L,A+,4
S19,Undergraduate,SLAV      6,MCLELLAN L,A,4
S19,Undergraduate,SLAV      6,MCLELLAN L,A-,6
S19,Undergraduate,SLAV      6,MCLELLAN L,B+,2
S19,Undergraduate,SLAV      6,MCLELLAN L,B,1
S19,Undergraduate,SLAV      6,MCLELLAN L,C+,1
S19,Undergraduate,SLAV     33,MCCLAIN K L,A+,15
S19,Undergraduate,SLAV     33,MCCLAIN K L,A,7
S19,Undergraduate,SLAV     33,MCCLAIN K L,A-,4
S19,Undergraduate,SLAV     33,MCCLAIN K L,B+,2
S19,Undergraduate,SLAV     33,MCCLAIN K L,B,1
S19,Undergraduate,SLAV     33,MCCLAIN K L,C,1
S19,Undergraduate,SLAV    101F,MCLELLAN L,A,1
S19,Undergraduate,SLAV    101F,MCLELLAN L,A-,3
S19,Undergraduate,SLAV    101F,MCLELLAN L,B+,2
S19,Undergraduate,SLAV    121,SPIEKER S,A,13
