Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,SPAN      1,CANTO CARRILL,A,2
S19,Undergraduate,SPAN      1,CANTO CARRILL,A-,2
S19,Undergraduate,SPAN      1,CANTO CARRILL,B+,2
S19,Undergraduate,SPAN      1,CANTO CARRILL,B,1
S19,Undergraduate,SPAN      1,CANTO CARRILL,B-,5
S19,Undergraduate,SPAN      1,CANTO CARRILL,C+,3
S19,Undergraduate,SPAN      1,CANTO CARRILL,C,2
S19,Undergraduate,SPAN      1,CANTO CARRILL,C-,3
S19,Undergraduate,SPAN      1,CANTO CARRILL,D+,2
S19,Undergraduate,SPAN      1,FIGUEREDO O O,A,7
S19,Undergraduate,SPAN      1,FIGUEREDO O O,A-,3
S19,Undergraduate,SPAN      1,FIGUEREDO O O,B+,3
S19,Undergraduate,SPAN      1,FIGUEREDO O O,B,7
S19,Undergraduate,SPAN      1,FIGUEREDO O O,B-,5
S19,Undergraduate,SPAN      1,FIGUEREDO O O,C+,3
S19,Undergraduate,SPAN      1,FIGUEREDO O O,C,5
S19,Undergraduate,SPAN      1,FIGUEREDO O O,C-,3
S19,Undergraduate,SPAN      1,FIGUEREDO O O,D+,1
S19,Undergraduate,SPAN      1,FIGUEREDO O O,F,6
S19,Undergraduate,SPAN      1,ZENTENO J I,A,2
S19,Undergraduate,SPAN      1,ZENTENO J I,A-,2
S19,Undergraduate,SPAN      1,ZENTENO J I,B+,2
S19,Undergraduate,SPAN      1,ZENTENO J I,B,1
S19,Undergraduate,SPAN      1,ZENTENO J I,B-,5
S19,Undergraduate,SPAN      1,ZENTENO J I,C+,3
S19,Undergraduate,SPAN      1,ZENTENO J I,C,2
S19,Undergraduate,SPAN      1,ZENTENO J I,C-,3
S19,Undergraduate,SPAN      1,ZENTENO J I,D+,2
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,A,2
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,A-,2
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,B+,1
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,B,4
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,B-,3
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,C,1
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,D,3
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,D-,1
S19,Undergraduate,SPAN      2,ANDUGAR SOUSA,F,1
S19,Undergraduate,SPAN      2,CANTO CARRILL,A,6
S19,Undergraduate,SPAN      2,CANTO CARRILL,A-,14
S19,Undergraduate,SPAN      2,CANTO CARRILL,B+,9
S19,Undergraduate,SPAN      2,CANTO CARRILL,B,16
S19,Undergraduate,SPAN      2,CANTO CARRILL,B-,6
S19,Undergraduate,SPAN      2,CANTO CARRILL,C+,3
S19,Undergraduate,SPAN      2,CANTO CARRILL,C,9
S19,Undergraduate,SPAN      2,CANTO CARRILL,C-,4
S19,Undergraduate,SPAN      2,CANTO CARRILL,D,4
S19,Undergraduate,SPAN      2,CANTO CARRILL,D-,3
S19,Undergraduate,SPAN      2,CANTO CARRILL,F,7
S19,Undergraduate,SPAN      2,LOPEZ VERA A,A,3
S19,Undergraduate,SPAN      2,LOPEZ VERA A,A-,3
S19,Undergraduate,SPAN      2,LOPEZ VERA A,B+,3
S19,Undergraduate,SPAN      2,LOPEZ VERA A,B,1
S19,Undergraduate,SPAN      2,LOPEZ VERA A,B-,1
S19,Undergraduate,SPAN      2,LOPEZ VERA A,C+,2
S19,Undergraduate,SPAN      2,LOPEZ VERA A,C,4
S19,Undergraduate,SPAN      2,LOPEZ VERA A,C-,1
S19,Undergraduate,SPAN      2,MUSSELMAN J R,A,1
S19,Undergraduate,SPAN      2,MUSSELMAN J R,A-,5
S19,Undergraduate,SPAN      2,MUSSELMAN J R,B+,4
S19,Undergraduate,SPAN      2,MUSSELMAN J R,B,5
S19,Undergraduate,SPAN      2,MUSSELMAN J R,B-,1
S19,Undergraduate,SPAN      2,MUSSELMAN J R,C,3
S19,Undergraduate,SPAN      2,MUSSELMAN J R,D,1
S19,Undergraduate,SPAN      2,MUSSELMAN J R,F,3
S19,Undergraduate,SPAN      2,PADILLA M,A-,4
S19,Undergraduate,SPAN      2,PADILLA M,B+,1
S19,Undergraduate,SPAN      2,PADILLA M,B,6
S19,Undergraduate,SPAN      2,PADILLA M,B-,1
S19,Undergraduate,SPAN      2,PADILLA M,C+,1
S19,Undergraduate,SPAN      2,PADILLA M,C,1
S19,Undergraduate,SPAN      2,PADILLA M,C-,3
S19,Undergraduate,SPAN      2,PADILLA M,D-,2
S19,Undergraduate,SPAN      2,PADILLA M,F,3
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,A,7
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,A-,1
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,B+,1
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,B,5
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,B-,5
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,C+,2
S19,Undergraduate,SPAN      3,ARRANZ OTAEGU,C,2
S19,Undergraduate,SPAN      3,CANTO CARRILL,A,7
S19,Undergraduate,SPAN      3,CANTO CARRILL,A-,10
S19,Undergraduate,SPAN      3,CANTO CARRILL,B+,2
S19,Undergraduate,SPAN      3,CANTO CARRILL,B,12
S19,Undergraduate,SPAN      3,CANTO CARRILL,B-,11
S19,Undergraduate,SPAN      3,CANTO CARRILL,C+,2
S19,Undergraduate,SPAN      3,CANTO CARRILL,C,5
S19,Undergraduate,SPAN      3,CANTO CARRILL,C-,3
S19,Undergraduate,SPAN      3,CANTO CARRILL,D,1
S19,Undergraduate,SPAN      3,CANTO CARRILL,D-,1
S19,Undergraduate,SPAN      3,CANTO CARRILL,F,3
S19,Undergraduate,SPAN      3,CHAFFIN B M,A,4
S19,Undergraduate,SPAN      3,CHAFFIN B M,A-,3
S19,Undergraduate,SPAN      3,CHAFFIN B M,B+,1
S19,Undergraduate,SPAN      3,CHAFFIN B M,B,2
S19,Undergraduate,SPAN      3,CHAFFIN B M,B-,5
S19,Undergraduate,SPAN      3,CHAFFIN B M,C+,1
S19,Undergraduate,SPAN      3,CHAFFIN B M,C,1
S19,Undergraduate,SPAN      3,CHAFFIN B M,C-,1
S19,Undergraduate,SPAN      3,CHAFFIN B M,D-,1
S19,Undergraduate,SPAN      3,CHAFFIN B M,F,1
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,A-,5
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,B,4
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,B-,2
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,C,2
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,C-,2
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,D,1
S19,Undergraduate,SPAN      3,DE FRUTOS GAR,F,2
S19,Undergraduate,SPAN      3,GOMEZ J P,A,3
S19,Undergraduate,SPAN      3,GOMEZ J P,A-,2
S19,Undergraduate,SPAN      3,GOMEZ J P,B+,1
S19,Undergraduate,SPAN      3,GOMEZ J P,B,6
S19,Undergraduate,SPAN      3,GOMEZ J P,B-,4
S19,Undergraduate,SPAN      3,GOMEZ J P,C+,1
S19,Undergraduate,SPAN      3,GOMEZ J P,C,2
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,A,5
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,A-,4
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,B+,2
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,B-,2
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,C+,1
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,C,3
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,C-,2
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,D+,2
S19,Undergraduate,SPAN      3,RODRIGUEZ-VIL,D,2
S19,Undergraduate,SPAN      4,BARRY C M,A-,5
S19,Undergraduate,SPAN      4,BARRY C M,B+,3
S19,Undergraduate,SPAN      4,BARRY C M,B,4
S19,Undergraduate,SPAN      4,BARRY C M,B-,4
S19,Undergraduate,SPAN      4,BARRY C M,C+,1
S19,Undergraduate,SPAN      4,BARRY C M,C,1
S19,Undergraduate,SPAN      4,BARRY C M,C-,1
S19,Undergraduate,SPAN      4,BARRY C M,D,1
S19,Undergraduate,SPAN      4,BARRY C M,D-,1
S19,Undergraduate,SPAN      4,BARRY C M,F,2
S19,Undergraduate,SPAN      4,CANTO CARRILL,A-,5
S19,Undergraduate,SPAN      4,CANTO CARRILL,B+,3
S19,Undergraduate,SPAN      4,CANTO CARRILL,B,4
S19,Undergraduate,SPAN      4,CANTO CARRILL,B-,4
S19,Undergraduate,SPAN      4,CANTO CARRILL,C+,1
S19,Undergraduate,SPAN      4,CANTO CARRILL,C,1
S19,Undergraduate,SPAN      4,CANTO CARRILL,C-,1
S19,Undergraduate,SPAN      4,CANTO CARRILL,D,1
S19,Undergraduate,SPAN      4,CANTO CARRILL,D-,1
S19,Undergraduate,SPAN      4,CANTO CARRILL,F,2
S19,Undergraduate,SPAN      4,CENICEROS R C,A,5
S19,Undergraduate,SPAN      4,CENICEROS R C,A-,5
S19,Undergraduate,SPAN      4,CENICEROS R C,B+,3
S19,Undergraduate,SPAN      4,CENICEROS R C,B,6
S19,Undergraduate,SPAN      4,CENICEROS R C,C,2
S19,Undergraduate,SPAN      4,CENICEROS R C,C-,2
S19,Undergraduate,SPAN      5,FERNANDEZ L,A,6
S19,Undergraduate,SPAN      5,FERNANDEZ L,A-,7
S19,Undergraduate,SPAN      5,FERNANDEZ L,B+,5
S19,Undergraduate,SPAN      5,FERNANDEZ L,B,14
S19,Undergraduate,SPAN      5,FERNANDEZ L,B-,2
S19,Undergraduate,SPAN      5,FERNANDEZ L,C+,1
S19,Undergraduate,SPAN      5,FERNANDEZ L,C,4
S19,Undergraduate,SPAN      5,FERNANDEZ L,D+,1
S19,Undergraduate,SPAN      5,FERNANDEZ L,D,1
S19,Undergraduate,SPAN      6,BROWN J R,A,2
S19,Undergraduate,SPAN      6,BROWN J R,A-,5
S19,Undergraduate,SPAN      6,BROWN J R,B+,5
S19,Undergraduate,SPAN      6,BROWN J R,B,6
S19,Undergraduate,SPAN      6,BROWN J R,B-,1
S19,Undergraduate,SPAN      6,BROWN J R,C+,1
S19,Undergraduate,SPAN      6,BROWN J R,C,1
S19,Undergraduate,SPAN      6,BROWN J R,D,1
S19,Undergraduate,SPAN      6,BROWN J R,F,1
S19,Undergraduate,SPAN      6,CANTO CARRILL,A,2
S19,Undergraduate,SPAN      6,CANTO CARRILL,A-,5
S19,Undergraduate,SPAN      6,CANTO CARRILL,B+,5
S19,Undergraduate,SPAN      6,CANTO CARRILL,B,6
S19,Undergraduate,SPAN      6,CANTO CARRILL,B-,1
S19,Undergraduate,SPAN      6,CANTO CARRILL,C+,1
S19,Undergraduate,SPAN      6,CANTO CARRILL,C,1
S19,Undergraduate,SPAN      6,CANTO CARRILL,D,1
S19,Undergraduate,SPAN      6,CANTO CARRILL,F,1
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,A,7
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,A-,10
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,B+,4
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,B,16
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,B-,3
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,C,1
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,D+,1
S19,Undergraduate,SPAN      6,RODRIGUEZ-VIL,D,1
S19,Undergraduate,SPAN     16A,CANTO CARRILL,A,2
S19,Undergraduate,SPAN     16A,CANTO CARRILL,A-,3
S19,Undergraduate,SPAN     16A,CANTO CARRILL,B+,7
S19,Undergraduate,SPAN     16A,CANTO CARRILL,B,4
S19,Undergraduate,SPAN     16A,CANTO CARRILL,B-,1
S19,Undergraduate,SPAN     16A,CANTO CARRILL,C+,1
S19,Undergraduate,SPAN     16A,CANTO CARRILL,C,2
S19,Undergraduate,SPAN     16A,CANTO CARRILL,C-,1
S19,Undergraduate,SPAN     16A,CANTO CARRILL,F,1
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,A,5
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,A-,3
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,B,7
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,B-,3
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,C,1
S19,Undergraduate,SPAN     16A,FIGUEREDO O O,D+,1
S19,Undergraduate,SPAN     16A,GUILLEN A D,A,2
S19,Undergraduate,SPAN     16A,GUILLEN A D,A-,3
S19,Undergraduate,SPAN     16A,GUILLEN A D,B+,7
S19,Undergraduate,SPAN     16A,GUILLEN A D,B,4
S19,Undergraduate,SPAN     16A,GUILLEN A D,B-,1
S19,Undergraduate,SPAN     16A,GUILLEN A D,C+,1
S19,Undergraduate,SPAN     16A,GUILLEN A D,C,2
S19,Undergraduate,SPAN     16A,GUILLEN A D,C-,1
S19,Undergraduate,SPAN     16A,GUILLEN A D,F,1
S19,Undergraduate,SPAN     16B,CANTO CARRILL,A,7
