Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,W&L  CS  20,BAZERMAN C,P,18
S19,Undergraduate,W&L  CS 110,MACKER E A,P,15
S19,Undergraduate,W&L  CS 130,TERVALON J,P,14
S19,Undergraduate,W&L  CS 143,ALLEN C E,P,11
S19,Undergraduate,W&L  CS 152FF,TERVALON J,P,11
S19,Undergraduate,W&L  CS 170,WHITTET E O,P,6
S19,Undergraduate,W&L  CS 190,BENJAMIN R,P,1
S19,Undergraduate,W&L  CS 190,BROWN KARA,P,2
S19,Undergraduate,W&L  CS 190,SORAPURE M I,P,1
S19,Undergraduate,W&L  CS 190,TERVALON J,P,1
S19,Undergraduate,W&L  CS 190,THOMAS C,P,1
S19,Undergraduate,W&L  CS 190,WANG R K,P,1
