Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,ANTH      2,RESNICK E F,A+,179
S20,Undergraduate,ANTH      2,RESNICK E F,A,215
S20,Undergraduate,ANTH      2,RESNICK E F,A-,49
S20,Undergraduate,ANTH      2,RESNICK E F,B+,15
S20,Undergraduate,ANTH      2,RESNICK E F,B,13
S20,Undergraduate,ANTH      2,RESNICK E F,B-,7
S20,Undergraduate,ANTH      2,RESNICK E F,C+,5
S20,Undergraduate,ANTH      2,RESNICK E F,C,7
S20,Undergraduate,ANTH      2,RESNICK E F,C-,1
S20,Undergraduate,ANTH      2,RESNICK E F,D+,2
S20,Undergraduate,ANTH      2,RESNICK E F,D,3
S20,Undergraduate,ANTH      2,RESNICK E F,F,9
S20,Undergraduate,ANTH      5,DAVISON R J,A+,75
S20,Undergraduate,ANTH      5,DAVISON R J,A,75
S20,Undergraduate,ANTH      5,DAVISON R J,A-,52
S20,Undergraduate,ANTH      5,DAVISON R J,B+,44
S20,Undergraduate,ANTH      5,DAVISON R J,B,46
S20,Undergraduate,ANTH      5,DAVISON R J,B-,23
S20,Undergraduate,ANTH      5,DAVISON R J,C+,11
S20,Undergraduate,ANTH      5,DAVISON R J,C,4
S20,Undergraduate,ANTH      5,DAVISON R J,C-,4
S20,Undergraduate,ANTH      5,DAVISON R J,D+,1
S20,Undergraduate,ANTH      5,DAVISON R J,D,3
S20,Undergraduate,ANTH      5,DAVISON R J,D-,2
S20,Undergraduate,ANTH      5,DAVISON R J,F,15
S20,Undergraduate,ANTH    125,PACHECO R,A+,2
S20,Undergraduate,ANTH    125,PACHECO R,A,9
S20,Undergraduate,ANTH    125,PACHECO R,A-,6
S20,Undergraduate,ANTH    125,PACHECO R,B+,4
S20,Undergraduate,ANTH    125,PACHECO R,B,1
S20,Undergraduate,ANTH    125,PACHECO R,B-,4
S20,Undergraduate,ANTH    125,PACHECO R,C+,4
S20,Undergraduate,ANTH    125,PACHECO R,C,4
S20,Undergraduate,ANTH    125,PACHECO R,D+,2
S20,Undergraduate,ANTH    125,PACHECO R,D-,1
S20,Undergraduate,ANTH    125,PACHECO R,F,2
S20,Undergraduate,ANTH    152,HOELLE J A,A,22
S20,Undergraduate,ANTH    152,HOELLE J A,A-,24
S20,Undergraduate,ANTH    152,HOELLE J A,B+,12
S20,Undergraduate,ANTH    152,HOELLE J A,B,7
S20,Undergraduate,ANTH    152,HOELLE J A,B-,1
S20,Undergraduate,ANTH    152,HOELLE J A,C+,4
S20,Undergraduate,ANTH    152,HOELLE J A,C,1
S20,Undergraduate,ANTH    152,HOELLE J A,F,4
S20,Undergraduate,ANTH    162G,ELISON W N,A,2
S20,Undergraduate,ANTH    162G,ELISON W N,A-,3
S20,Undergraduate,ANTH    162G,ELISON W N,B+,3
S20,Undergraduate,ANTH    162G,ELISON W N,B,5
S20,Undergraduate,ANTH    162G,ELISON W N,F,1
S20,Undergraduate,ANTH    169,GURVEN M D,A+,4
S20,Undergraduate,ANTH    169,GURVEN M D,A,13
S20,Undergraduate,ANTH    169,GURVEN M D,A-,3
S20,Undergraduate,ANTH    169,GURVEN M D,B+,3
S20,Undergraduate,ANTH    169,GURVEN M D,B,2
S20,Undergraduate,ANTH    169,GURVEN M D,B-,1
S20,Undergraduate,ANTH    169,GURVEN M D,F,1
S20,Undergraduate,ANTH    172,WEIGLER E A,A+,3
S20,Undergraduate,ANTH    172,WEIGLER E A,A,7
S20,Undergraduate,ANTH    172,WEIGLER E A,A-,12
S20,Undergraduate,ANTH    172,WEIGLER E A,B+,4
S20,Undergraduate,ANTH    172,WEIGLER E A,B,10
S20,Undergraduate,ANTH    172,WEIGLER E A,B-,2
S20,Undergraduate,ANTH    172,WEIGLER E A,C+,3
S20,Undergraduate,ANTH    172,WEIGLER E A,C,5
S20,Undergraduate,ANTH    172,WEIGLER E A,C-,1
S20,Undergraduate,ANTH    172,WEIGLER E A,D+,2
S20,Undergraduate,ANTH    172,WEIGLER E A,D,3
S20,Undergraduate,ANTH    172,WEIGLER E A,F,2
S20,Undergraduate,ANTH    180B,KURIN D S,A+,7
S20,Undergraduate,ANTH    180B,KURIN D S,A,22
S20,Undergraduate,ANTH    180B,KURIN D S,B,1
S20,Undergraduate,ANTH    186,VANDERWARKER,A,21
S20,Undergraduate,ANTH    186,VANDERWARKER,A-,6
S20,Undergraduate,ANTH    195A,SALDIVAR TANA,A+,5
S20,Undergraduate,ANTH    195A,SALDIVAR TANA,A,1
S20,Undergraduate,ANTH    195A,SALDIVAR TANA,A-,2
S20,Undergraduate,ANTH    195A,SALDIVAR TANA,B,1
S20,Undergraduate,ANTH    195A,SALDIVAR TANA,D,1
S20,Undergraduate,ANTH    197BA,GIDDING A D,A+,17
S20,Undergraduate,ANTH    197BA,GIDDING A D,A,12
S20,Undergraduate,ANTH    197BA,GIDDING A D,A-,5
S20,Undergraduate,ANTH    197BA,GIDDING A D,B+,1
S20,Undergraduate,ANTH    197BA,GIDDING A D,B,8
S20,Undergraduate,ANTH    197BA,GIDDING A D,B-,5
S20,Undergraduate,ANTH    197BA,GIDDING A D,C,9
S20,Undergraduate,ANTH    197BA,GIDDING A D,C-,2
S20,Undergraduate,ANTH    197BA,GIDDING A D,D,2
S20,Undergraduate,ANTH    197BA,GIDDING A D,F,13
S20,Undergraduate,ANTH    197DK,KURIN D S,A+,2
S20,Undergraduate,ANTH    197DK,KURIN D S,A,29
S20,Undergraduate,ANTH    197DK,KURIN D S,B,3
S20,Undergraduate,ANTH    197EB,WAHLERT G A,A,18
S20,Undergraduate,ANTH    197EB,WAHLERT G A,A-,5
S20,Undergraduate,ANTH    197EB,WAHLERT G A,B+,4
S20,Undergraduate,ANTH    197EB,WAHLERT G A,B,4
S20,Undergraduate,ANTH    197EB,WAHLERT G A,C+,1
S20,Undergraduate,ANTH    197EB,WAHLERT G A,C,3
S20,Undergraduate,ANTH    197EB,WAHLERT G A,D,3
S20,Undergraduate,ANTH    197EB,WAHLERT G A,F,2
S20,Undergraduate,ANTH    199RA,BROWN M,A,6
S20,Undergraduate,ANTH    199RA,KURIN D S,A+,1
S20,Undergraduate,ANTH    199RA,KURIN D S,A,5
S20,Graduate,ANTH    201B,WILSON G D,A,6
S20,Graduate,ANTH    232,WILSON G D,S,8
S20,Graduate,ANTH    250BH,HARTHORN B H,A,5
S20,Graduate,ANTH    250MH,HANCOCK M E,A,5
S20,Graduate,ANTH    250RP,PACHECO R,A+,5
S20,Graduate,ANTH    250RP,PACHECO R,A,1
