Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,ENGL     10,GILMORE T B,A+,8
S20,Undergraduate,ENGL     10,GILMORE T B,A,74
S20,Undergraduate,ENGL     10,GILMORE T B,A-,62
S20,Undergraduate,ENGL     10,GILMORE T B,B+,46
S20,Undergraduate,ENGL     10,GILMORE T B,B,44
S20,Undergraduate,ENGL     10,GILMORE T B,B-,22
S20,Undergraduate,ENGL     10,GILMORE T B,C+,14
S20,Undergraduate,ENGL     10,GILMORE T B,C,5
S20,Undergraduate,ENGL     10,GILMORE T B,C-,1
S20,Undergraduate,ENGL     10,GILMORE T B,D,1
S20,Undergraduate,ENGL     10,GILMORE T B,D-,1
S20,Undergraduate,ENGL     10,GILMORE T B,F,12
S20,Undergraduate,ENGL     25,LIU A Y,A+,6
S20,Undergraduate,ENGL     25,LIU A Y,A,39
S20,Undergraduate,ENGL     25,LIU A Y,A-,20
S20,Undergraduate,ENGL     25,LIU A Y,B+,28
S20,Undergraduate,ENGL     25,LIU A Y,B,18
S20,Undergraduate,ENGL     25,LIU A Y,B-,5
S20,Undergraduate,ENGL     25,LIU A Y,C+,2
S20,Undergraduate,ENGL     25,LIU A Y,C,5
S20,Undergraduate,ENGL     25,LIU A Y,C-,1
S20,Undergraduate,ENGL     25,LIU A Y,D,1
S20,Undergraduate,ENGL     25,LIU A Y,F,10
S20,Undergraduate,ENGL     34NA,WAID C J,A+,6
S20,Undergraduate,ENGL     34NA,WAID C J,A,7
S20,Undergraduate,ENGL     34NA,WAID C J,A-,2
S20,Undergraduate,ENGL     34NA,WAID C J,B+,1
S20,Undergraduate,ENGL     34NA,WAID C J,B,1
S20,Undergraduate,ENGL     34NA,WAID C J,B-,1
S20,Undergraduate,ENGL     34NA,WAID C J,C+,1
S20,Undergraduate,ENGL     34NA,WAID C J,C,2
S20,Undergraduate,ENGL     34NA,WAID C J,F,3
S20,Undergraduate,ENGL     50,RANA S,A+,20
S20,Undergraduate,ENGL     50,RANA S,A,56
S20,Undergraduate,ENGL     50,RANA S,A-,50
S20,Undergraduate,ENGL     50,RANA S,B+,23
S20,Undergraduate,ENGL     50,RANA S,B,24
S20,Undergraduate,ENGL     50,RANA S,B-,9
S20,Undergraduate,ENGL     50,RANA S,C+,5
S20,Undergraduate,ENGL     50,RANA S,C,4
S20,Undergraduate,ENGL     50,RANA S,F,5
S20,Undergraduate,ENGL     50S,RANA S,A+,9
S20,Undergraduate,ENGL     65FM,WICKE J A,A+,162
S20,Undergraduate,ENGL     65FM,WICKE J A,A,32
S20,Undergraduate,ENGL     65FM,WICKE J A,A-,7
S20,Undergraduate,ENGL     65FM,WICKE J A,B,2
S20,Undergraduate,ENGL     65FM,WICKE J A,B-,2
S20,Undergraduate,ENGL     65FM,WICKE J A,C,1
S20,Undergraduate,ENGL     65FM,WICKE J A,C-,1
S20,Undergraduate,ENGL     65FM,WICKE J A,F,1
S20,Undergraduate,ENGL    105A,FUMERTON M P,A+,3
S20,Undergraduate,ENGL    105A,FUMERTON M P,A,48
S20,Undergraduate,ENGL    105A,FUMERTON M P,A-,39
S20,Undergraduate,ENGL    105A,FUMERTON M P,B+,30
S20,Undergraduate,ENGL    105A,FUMERTON M P,B,33
S20,Undergraduate,ENGL    105A,FUMERTON M P,B-,15
S20,Undergraduate,ENGL    105A,FUMERTON M P,C+,4
S20,Undergraduate,ENGL    105A,FUMERTON M P,C,8
S20,Undergraduate,ENGL    105A,FUMERTON M P,F,11
S20,Undergraduate,ENGL    105AS,FUMERTON M P,A+,1
S20,Undergraduate,ENGL    105AS,FUMERTON M P,A,5
S20,Undergraduate,ENGL    106CW,DONNELLY B,A+,1
S20,Undergraduate,ENGL    106CW,DONNELLY B,A,27
S20,Undergraduate,ENGL    108CC,MORAGA C L,A,8
S20,Undergraduate,ENGL    108CC,MORAGA C L,A-,6
S20,Undergraduate,ENGL    108CC,MORAGA C L,B+,2
S20,Undergraduate,ENGL    108CC,MORAGA C L,B,2
S20,Undergraduate,ENGL    108CC,MORAGA C L,C,1
S20,Undergraduate,ENGL    115,REEVE D J,A+,8
S20,Undergraduate,ENGL    115,REEVE D J,A,16
S20,Undergraduate,ENGL    115,REEVE D J,A-,7
S20,Undergraduate,ENGL    115,REEVE D J,B+,5
S20,Undergraduate,ENGL    115,REEVE D J,B,1
S20,Undergraduate,ENGL    115,REEVE D J,B-,1
S20,Undergraduate,ENGL    115,REEVE D J,C+,3
S20,Undergraduate,ENGL    115,REEVE D J,F,2
S20,Undergraduate,ENGL    122UK,GILMORE T B,A,8
S20,Undergraduate,ENGL    122UK,GILMORE T B,A-,8
S20,Undergraduate,ENGL    122UK,GILMORE T B,B+,5
S20,Undergraduate,ENGL    122UK,GILMORE T B,B-,1
S20,Undergraduate,ENGL    122UK,GILMORE T B,C-,1
S20,Undergraduate,ENGL    122UM,GILMORE T B,A,7
S20,Undergraduate,ENGL    122UM,GILMORE T B,A-,15
S20,Undergraduate,ENGL    122UM,GILMORE T B,B+,6
S20,Undergraduate,ENGL    122UM,GILMORE T B,B,3
S20,Undergraduate,ENGL    122UM,GILMORE T B,B-,2
S20,Undergraduate,ENGL    122UM,GILMORE T B,C+,1
S20,Undergraduate,ENGL    122UM,GILMORE T B,F,2
S20,Undergraduate,ENGL    128AF,SAMOLSKY R E,A,4
S20,Undergraduate,ENGL    128AF,SAMOLSKY R E,A-,13
S20,Undergraduate,ENGL    128AF,SAMOLSKY R E,B+,4
S20,Undergraduate,ENGL    128AF,SAMOLSKY R E,B,1
S20,Undergraduate,ENGL    128AF,SAMOLSKY R E,F,1
S20,Undergraduate,ENGL    145,ANDREA B D,A,19
S20,Undergraduate,ENGL    145,ANDREA B D,A-,2
S20,Undergraduate,ENGL    145,ANDREA B D,B+,1
S20,Undergraduate,ENGL    145,ANDREA B D,B,1
S20,Undergraduate,ENGL    145,ANDREA B D,B-,1
S20,Undergraduate,ENGL    145,ANDREA B D,C,10
