Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,ENGR      3,PETZOLD L,A+,68
S20,Undergraduate,ENGR      3,PETZOLD L,A,50
S20,Undergraduate,ENGR      3,PETZOLD L,A-,6
S20,Undergraduate,ENGR      3,PETZOLD L,B+,3
S20,Undergraduate,ENGR      3,PETZOLD L,B,7
S20,Undergraduate,ENGR      3,PETZOLD L,B-,1
S20,Undergraduate,ENGR      3,PETZOLD L,C,6
S20,Undergraduate,ENGR      3,PETZOLD L,F,6
S20,Undergraduate,ENGR     10H,PETZOLD L,P,21
S20,Undergraduate,ENGR    101,HOUGH K C,A+,11
S20,Undergraduate,ENGR    101,HOUGH K C,A,68
S20,Undergraduate,ENGR    101,HOUGH K C,A-,16
S20,Undergraduate,ENGR    101,HOUGH K C,B+,5
S20,Undergraduate,ENGR    101,HOUGH K C,B,7
S20,Undergraduate,ENGR    101,HOUGH K C,B-,4
S20,Undergraduate,ENGR    101,HOUGH K C,C,2
S20,Undergraduate,ENGR    101,HOUGH K C,C-,1
S20,Undergraduate,ENGR    101,HOUGH K C,D,1
S20,Undergraduate,ENGR    101,HOUGH K C,F,1
S20,Undergraduate,ENGR    195C,SUSKO T G,A+,3
S20,Undergraduate,ENGR    195C,SUSKO T G,A,15
S20,Undergraduate,ENGR    195C,SUSKO T G,A-,4
S20,Undergraduate,ENGR    195C,SUSKO T G,B-,5
S20,Graduate,ENGR    220B,STOWERS R S,A,7
S20,Graduate,ENGR    225,PLAXCO K W,S,7
S20,Graduate,ENGR    230,PRUITT B,S,6
