Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,FEMST    50,CHANG G,A+,26
S20,Undergraduate,FEMST    50,CHANG G,A,42
S20,Undergraduate,FEMST    50,CHANG G,A-,17
S20,Undergraduate,FEMST    50,CHANG G,B+,5
S20,Undergraduate,FEMST    50,CHANG G,B,4
S20,Undergraduate,FEMST    50,CHANG G,B-,1
S20,Undergraduate,FEMST    50,CHANG G,C+,2
S20,Undergraduate,FEMST    50,CHANG G,C,3
S20,Undergraduate,FEMST    50,CHANG G,C-,1
S20,Undergraduate,FEMST    50,CHANG G,F,3
S20,Undergraduate,FEMST   139,CHANG G,A+,3
S20,Undergraduate,FEMST   139,CHANG G,A,8
S20,Undergraduate,FEMST   142,BOBO J,A,15
S20,Undergraduate,FEMST   142,BOBO J,A-,5
S20,Undergraduate,FEMST   142,BOBO J,B+,3
S20,Undergraduate,FEMST   142,BOBO J,B,1
S20,Undergraduate,FEMST   142,BOBO J,D,1
S20,Undergraduate,FEMST   144,BOBO J,A,20
S20,Undergraduate,FEMST   144,BOBO J,A-,3
S20,Undergraduate,FEMST   144,BOBO J,B+,2
S20,Undergraduate,FEMST   144,BOBO J,B,1
S20,Undergraduate,FEMST   144,BOBO J,C+,2
S20,Undergraduate,FEMST   144,BOBO J,C,1
S20,Undergraduate,FEMST   144,BOBO J,F,1
S20,Undergraduate,FEMST   150,MACGILLIVRAY,A+,103
S20,Undergraduate,FEMST   150,MACGILLIVRAY,A,53
S20,Undergraduate,FEMST   150,MACGILLIVRAY,A-,24
S20,Undergraduate,FEMST   150,MACGILLIVRAY,B+,7
S20,Undergraduate,FEMST   150,MACGILLIVRAY,B,11
S20,Undergraduate,FEMST   150,MACGILLIVRAY,B-,2
S20,Undergraduate,FEMST   150,MACGILLIVRAY,C+,3
S20,Undergraduate,FEMST   150,MACGILLIVRAY,C,3
S20,Undergraduate,FEMST   150,MACGILLIVRAY,C-,3
S20,Undergraduate,FEMST   150,MACGILLIVRAY,D+,1
S20,Undergraduate,FEMST   150,MACGILLIVRAY,F,9
S20,Undergraduate,FEMST   150H,MACGILLIVRAY,A+,6
S20,Undergraduate,FEMST   150H,MACGILLIVRAY,A,4
S20,Undergraduate,FEMST   150H,MACGILLIVRAY,A-,2
S20,Undergraduate,FEMST   159C,CASE S H,A,1
S20,Undergraduate,FEMST   159C,CASE S H,A-,1
S20,Undergraduate,FEMST   159C,CASE S H,B-,2
S20,Undergraduate,FEMST   159C,CASE S H,C+,1
S20,Undergraduate,FEMST   159C,CASE S H,F,1
S20,Undergraduate,FEMST   181,BARVOSA E,A,13
S20,Undergraduate,FEMST   181,BARVOSA E,A-,9
S20,Undergraduate,FEMST   181,BARVOSA E,B+,6
S20,Undergraduate,FEMST   181,BARVOSA E,B-,2
S20,Undergraduate,FEMST   181,BARVOSA E,F,1
S20,Undergraduate,FEMST   182,RAYMOND E,A+,6
S20,Undergraduate,FEMST   182,RAYMOND E,A,7
S20,Undergraduate,FEMST   182,RAYMOND E,A-,3
S20,Undergraduate,FEMST   182,RAYMOND E,B+,3
S20,Undergraduate,FEMST   182,RAYMOND E,B,3
S20,Undergraduate,FEMST   182,RAYMOND E,C-,1
S20,Undergraduate,FEMST   182,RAYMOND E,F,2
S20,Undergraduate,FEMST   185MR,RICHARDSON M,A,22
S20,Undergraduate,FEMST   185MR,RICHARDSON M,B,1
S20,Undergraduate,FEMST   185MR,RICHARDSON M,C-,1
S20,Undergraduate,FEMST   195HC,OAKS L M,A,5
S20,Undergraduate,FEMST   195HC,OAKS L M,F,1
S20,Graduate,FEMST   220,RUPP L J,A,8
S20,Graduate,FEMST   220,RUPP L J,A-,1
S20,Graduate,FEMST   250MR,RICHARDSON M,A,5
S20,Graduate,FEMST   280A,BARVOSA E,A,5
S20,Graduate,FEMST   280A,BARVOSA E,A-,2
S20,Graduate,FEMST   501,OAKS L M,S,5
