Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,KOR       3,LEE W A,A,27
S20,Undergraduate,KOR       3,LEE W A,A-,6
S20,Undergraduate,KOR       3,LEE W A,B+,3
S20,Undergraduate,KOR       3,LEE W A,B,3
S20,Undergraduate,KOR       3,LEE W A,B-,3
S20,Undergraduate,KOR       3,LEE W A,C+,1
S20,Undergraduate,KOR       3,LEE W A,C,2
S20,Undergraduate,KOR       6,LEE W A,A,19
S20,Undergraduate,KOR       6,LEE W A,A-,2
S20,Undergraduate,KOR       6,LEE W A,B+,1
S20,Undergraduate,KOR       6,LEE W A,B,2
S20,Undergraduate,KOR       6,LEE W A,D,1
S20,Undergraduate,KOR     120,CHOI E,A+,49
S20,Undergraduate,KOR     120,CHOI E,A,21
S20,Undergraduate,KOR     120,CHOI E,A-,8
S20,Undergraduate,KOR     120,CHOI E,B+,5
S20,Undergraduate,KOR     120,CHOI E,B,7
S20,Undergraduate,KOR     120,CHOI E,B-,3
S20,Undergraduate,KOR     120,CHOI E,C+,3
S20,Undergraduate,KOR     120,CHOI E,C,2
S20,Undergraduate,KOR     120,CHOI E,C-,1
S20,Undergraduate,PHIL      1,KORMAN D Z,A+,10
S20,Undergraduate,PHIL      1,KORMAN D Z,A,21
S20,Undergraduate,PHIL      1,KORMAN D Z,A-,39
S20,Undergraduate,PHIL      1,KORMAN D Z,B+,31
S20,Undergraduate,PHIL      1,KORMAN D Z,B,60
S20,Undergraduate,PHIL      1,KORMAN D Z,B-,35
S20,Undergraduate,PHIL      1,KORMAN D Z,C+,12
S20,Undergraduate,PHIL      1,KORMAN D Z,C,4
S20,Undergraduate,PHIL      1,KORMAN D Z,C-,1
S20,Undergraduate,PHIL      1,KORMAN D Z,D,3
S20,Undergraduate,PHIL      1,KORMAN D Z,F,13
S20,Undergraduate,PHIL    100B,KORMAN D Z,A+,5
S20,Undergraduate,PHIL    100B,KORMAN D Z,A,8
S20,Undergraduate,PHIL    100B,KORMAN D Z,A-,17
S20,Undergraduate,PHIL    100B,KORMAN D Z,B+,27
S20,Undergraduate,PHIL    100B,KORMAN D Z,B,34
S20,Undergraduate,PHIL    100B,KORMAN D Z,B-,13
S20,Undergraduate,PHIL    100B,KORMAN D Z,C+,4
S20,Undergraduate,PHIL    100B,KORMAN D Z,C,2
S20,Undergraduate,PHIL    100B,KORMAN D Z,C-,4
S20,Undergraduate,PHIL    100B,KORMAN D Z,D+,1
S20,Undergraduate,PHIL    100B,KORMAN D Z,F,4
