Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,RG ST    10C,CAMPO M,A+,8
S20,Undergraduate,RG ST    10C,CAMPO M,A,4
S20,Undergraduate,RG ST    10C,CAMPO M,B+,6
S20,Undergraduate,RG ST    10C,CAMPO M,B,1
S20,Undergraduate,RG ST    10C,CAMPO M,B-,1
S20,Undergraduate,RG ST    10C,CAMPO M,C+,1
S20,Undergraduate,RG ST    10C,CAMPO M,C,2
S20,Undergraduate,RG ST    10C,CAMPO M,D,1
S20,Undergraduate,RG ST    10F,EL OMARI R M,A+,3
S20,Undergraduate,RG ST    10F,EL OMARI R M,A-,1
S20,Undergraduate,RG ST    10F,EL OMARI R M,B+,2
S20,Undergraduate,RG ST    10F,EL OMARI R M,C+,1
S20,Undergraduate,RG ST    11C,BOTHRA S,A,5
S20,Undergraduate,RG ST    11C,BOTHRA S,B+,1
S20,Undergraduate,RG ST    11C,BOTHRA S,B,1
S20,Undergraduate,RG ST    13,BLANKHOLM J L,A+,27
S20,Undergraduate,RG ST    13,BLANKHOLM J L,A,44
S20,Undergraduate,RG ST    13,BLANKHOLM J L,A-,30
S20,Undergraduate,RG ST    13,BLANKHOLM J L,B+,8
S20,Undergraduate,RG ST    13,BLANKHOLM J L,B,9
S20,Undergraduate,RG ST    13,BLANKHOLM J L,B-,13
S20,Undergraduate,RG ST    13,BLANKHOLM J L,C+,6
S20,Undergraduate,RG ST    13,BLANKHOLM J L,C,2
S20,Undergraduate,RG ST    13,BLANKHOLM J L,C-,4
S20,Undergraduate,RG ST    13,BLANKHOLM J L,D+,2
S20,Undergraduate,RG ST    13,BLANKHOLM J L,D,2
S20,Undergraduate,RG ST    13,BLANKHOLM J L,F,11
S20,Undergraduate,RG ST    13,WALKER D S,A+,27
S20,Undergraduate,RG ST    13,WALKER D S,A,44
S20,Undergraduate,RG ST    13,WALKER D S,A-,30
S20,Undergraduate,RG ST    13,WALKER D S,B+,8
S20,Undergraduate,RG ST    13,WALKER D S,B,9
S20,Undergraduate,RG ST    13,WALKER D S,B-,13
S20,Undergraduate,RG ST    13,WALKER D S,C+,6
S20,Undergraduate,RG ST    13,WALKER D S,C,2
S20,Undergraduate,RG ST    13,WALKER D S,C-,4
S20,Undergraduate,RG ST    13,WALKER D S,D+,2
S20,Undergraduate,RG ST    13,WALKER D S,D,2
S20,Undergraduate,RG ST    13,WALKER D S,F,11
S20,Undergraduate,RG ST    18,TAVES A,A+,8
S20,Undergraduate,RG ST    18,TAVES A,A,11
S20,Undergraduate,RG ST    18,TAVES A,A-,5
S20,Undergraduate,RG ST    18,TAVES A,B+,5
S20,Undergraduate,RG ST    18,TAVES A,B,10
S20,Undergraduate,RG ST    18,TAVES A,B-,1
S20,Undergraduate,RG ST    18,TAVES A,C,2
S20,Undergraduate,RG ST    18,TAVES A,D,1
S20,Undergraduate,RG ST    18,TAVES A,D-,2
S20,Undergraduate,RG ST    18,TAVES A,F,2
S20,Undergraduate,RG ST    19,HOLDREGE B A,A+,2
S20,Undergraduate,RG ST    19,HOLDREGE B A,A,43
S20,Undergraduate,RG ST    19,HOLDREGE B A,A-,31
S20,Undergraduate,RG ST    19,HOLDREGE B A,B+,19
S20,Undergraduate,RG ST    19,HOLDREGE B A,B,8
S20,Undergraduate,RG ST    19,HOLDREGE B A,B-,9
S20,Undergraduate,RG ST    19,HOLDREGE B A,C+,1
S20,Undergraduate,RG ST    19,HOLDREGE B A,C,2
S20,Undergraduate,RG ST    19,HOLDREGE B A,C-,1
S20,Undergraduate,RG ST    19,HOLDREGE B A,D+,1
S20,Undergraduate,RG ST    19,HOLDREGE B A,F,10
S20,Undergraduate,RG ST    20,BOTHRA S,A+,15
S20,Undergraduate,RG ST    20,BOTHRA S,A,16
S20,Undergraduate,RG ST    20,BOTHRA S,A-,4
S20,Undergraduate,RG ST    20,BOTHRA S,B+,2
S20,Undergraduate,RG ST    20,BOTHRA S,B,6
