Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,RUSS      3,MCCLAIN K L,A+,4
S20,Undergraduate,RUSS      3,MCCLAIN K L,A,8
S20,Undergraduate,RUSS      3,MCCLAIN K L,A-,4
S20,Undergraduate,RUSS      3,MCCLAIN K L,B+,1
S20,Undergraduate,RUSS      3,MCLELLAN L,A+,2
S20,Undergraduate,RUSS      3,MCLELLAN L,A,2
S20,Undergraduate,RUSS      3,MCLELLAN L,A-,5
S20,Undergraduate,RUSS      3,MCLELLAN L,B+,2
S20,Undergraduate,RUSS      6,MCLELLAN L,A,9
S20,Undergraduate,RUSS      6,MCLELLAN L,A-,7
S20,Undergraduate,RUSS    101C,MCLELLAN L,A+,2
S20,Undergraduate,RUSS    101C,MCLELLAN L,A,5
S20,Undergraduate,RUSS    101C,MCLELLAN L,A-,1
S20,Undergraduate,RUSS    101C,MCLELLAN L,B+,2
S20,Undergraduate,RUSS    101C,MCLELLAN L,B-,1
S20,Undergraduate,RUSS    122,SPIEKER S,A,6
