Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,A+,1
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,A,4
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,A-,3
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,B+,4
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,B,2
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,B-,2
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,C+,1
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,C,3
S20,Undergraduate,SPAN W    1,MARQUES-PASCU,D,1
S20,Undergraduate,SPAN W    1,RODRIGUEZ-VIL,A,2
S20,Undergraduate,SPAN W    1,RODRIGUEZ-VIL,B,2
S20,Undergraduate,SPAN W    1,RODRIGUEZ-VIL,C+,1
