Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,ASTRO     1,GELLER R M,A,84
S21,Undergraduate,ASTRO     1,GELLER R M,A-,10
S21,Undergraduate,ASTRO     1,GELLER R M,A+,29
S21,Undergraduate,ASTRO     1,GELLER R M,B,14
S21,Undergraduate,ASTRO     1,GELLER R M,B-,5
S21,Undergraduate,ASTRO     1,GELLER R M,B+,17
S21,Undergraduate,ASTRO     1,GELLER R M,C,1
S21,Undergraduate,ASTRO     1,GELLER R M,C+,2
S21,Undergraduate,ASTRO     1,GELLER R M,D,1
S21,Undergraduate,ASTRO     1,GELLER R M,D-,1
S21,Undergraduate,ASTRO     1,GELLER R M,D+,3
S21,Undergraduate,ASTRO     1,GELLER R M,F,8
S21,Undergraduate,ASTRO     2,HOWELL D A,A,3
S21,Undergraduate,ASTRO     2,HOWELL D A,A-,5
S21,Undergraduate,ASTRO     2,HOWELL D A,A+,1
S21,Undergraduate,ASTRO     2,HOWELL D A,B,11
S21,Undergraduate,ASTRO     2,HOWELL D A,B-,2
S21,Undergraduate,ASTRO     2,HOWELL D A,B+,3
S21,Undergraduate,ASTRO     2,HOWELL D A,C,4
S21,Undergraduate,ASTRO     2,HOWELL D A,C-,3
S21,Undergraduate,ASTRO     2,HOWELL D A,C+,2
S21,Undergraduate,ASTRO     2,HOWELL D A,F,2
