Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,C LIT    30C,MALEUVRE D,A,62
S21,Undergraduate,C LIT    30C,MALEUVRE D,A-,27
S21,Undergraduate,C LIT    30C,MALEUVRE D,A+,33
S21,Undergraduate,C LIT    30C,MALEUVRE D,B,16
S21,Undergraduate,C LIT    30C,MALEUVRE D,B-,4
S21,Undergraduate,C LIT    30C,MALEUVRE D,B+,16
S21,Undergraduate,C LIT    30C,MALEUVRE D,C,2
S21,Undergraduate,C LIT    30C,MALEUVRE D,C-,1
S21,Undergraduate,C LIT    30C,MALEUVRE D,C+,7
S21,Undergraduate,C LIT    30C,MALEUVRE D,F,12
S21,Undergraduate,C LIT    30C,POWERS R T,A,68
S21,Undergraduate,C LIT    30C,POWERS R T,A-,21
S21,Undergraduate,C LIT    30C,POWERS R T,B,10
S21,Undergraduate,C LIT    30C,POWERS R T,B-,2
S21,Undergraduate,C LIT    30C,POWERS R T,B+,14
S21,Undergraduate,C LIT    30C,POWERS R T,C,4
S21,Undergraduate,C LIT    30C,POWERS R T,C-,1
S21,Undergraduate,C LIT    30C,POWERS R T,C+,4
S21,Undergraduate,C LIT    30C,POWERS R T,D,2
S21,Undergraduate,C LIT    30C,POWERS R T,F,3
S21,Undergraduate,C LIT    30H,MALEUVRE D,A,2
S21,Undergraduate,C LIT    30H,MALEUVRE D,A-,3
S21,Undergraduate,C LIT    30H,MALEUVRE D,A+,4
S21,Undergraduate,C LIT    31,LI X,A,41
S21,Undergraduate,C LIT    31,LI X,A-,30
S21,Undergraduate,C LIT    31,LI X,A+,18
S21,Undergraduate,C LIT    31,LI X,B,19
S21,Undergraduate,C LIT    31,LI X,B-,6
S21,Undergraduate,C LIT    31,LI X,B+,20
S21,Undergraduate,C LIT    31,LI X,C,3
S21,Undergraduate,C LIT    31,LI X,C+,3
S21,Undergraduate,C LIT    31,LI X,D+,1
S21,Undergraduate,C LIT    31,LI X,F,5
S21,Undergraduate,C LIT   121,JULLIEN D M,A,2
S21,Undergraduate,C LIT   121,JULLIEN D M,A-,1
S21,Undergraduate,C LIT   121,JULLIEN D M,B,1
S21,Undergraduate,C LIT   121,JULLIEN D M,B-,1
S21,Undergraduate,C LIT   121,JULLIEN D M,B+,2
S21,Undergraduate,C LIT   121,JULLIEN D M,F,1
S21,Undergraduate,C LIT   122B,MOAK D,A,8
S21,Undergraduate,C LIT   122B,MOAK D,A-,9
S21,Undergraduate,C LIT   122B,MOAK D,A+,3
S21,Undergraduate,C LIT   122B,MOAK D,B,7
S21,Undergraduate,C LIT   122B,MOAK D,B-,2
S21,Undergraduate,C LIT   122B,MOAK D,B+,5
S21,Undergraduate,C LIT   122B,MOAK D,C+,1
S21,Undergraduate,C LIT   122B,MOAK D,D,1
S21,Undergraduate,C LIT   162,AMAR P E,A,7
S21,Undergraduate,C LIT   162,AMAR P E,A-,5
S21,Undergraduate,C LIT   162,AMAR P E,A+,1
S21,Undergraduate,C LIT   162,AMAR P E,B,2
S21,Undergraduate,C LIT   162,AMAR P E,B+,1
S21,Undergraduate,C LIT   162,AMAR P E,F,4
S21,Undergraduate,C LIT   170,JAN K L,A,26
S21,Undergraduate,C LIT   179A,LOVETT D W,A,6
S21,Undergraduate,C LIT   179A,LOVETT D W,A-,1
S21,Undergraduate,C LIT   179A,LOVETT D W,A+,1
S21,Undergraduate,C LIT   179A,LOVETT D W,B,5
S21,Undergraduate,C LIT   179A,LOVETT D W,B-,2
S21,Undergraduate,C LIT   179A,LOVETT D W,C,3
S21,Undergraduate,C LIT   179A,LOVETT D W,C-,1
S21,Undergraduate,C LIT   179A,LOVETT D W,D,1
S21,Undergraduate,C LIT   179A,LOVETT D W,F,2
S21,Undergraduate,C LIT   180,SKENAZI E C,A,10
S21,Undergraduate,C LIT   180,SKENAZI E C,A-,4
S21,Undergraduate,C LIT   180,SKENAZI E C,B,2
S21,Undergraduate,C LIT   180,SKENAZI E C,B-,2
S21,Undergraduate,C LIT   180,SKENAZI E C,B+,3
S21,Undergraduate,C LIT   180,SKENAZI E C,C+,1
S21,Undergraduate,C LIT   180,SKENAZI E C,F,2
S21,Undergraduate,C LIT   184A,AMIHAY O,A,8
S21,Undergraduate,C LIT   184A,AMIHAY O,A-,6
S21,Undergraduate,C LIT   184A,AMIHAY O,B-,1
S21,Undergraduate,C LIT   184A,AMIHAY O,B+,5
S21,Undergraduate,C LIT   186AA,EZKERRA VEGAS,A-,1
S21,Undergraduate,C LIT   186AA,EZKERRA VEGAS,A+,1
S21,Undergraduate,C LIT   186AA,EZKERRA VEGAS,D,1
S21,Undergraduate,C LIT   186AA,EZKERRA VEGAS,F,2
S21,Undergraduate,C LIT   186E,EZKERRA VEGAS,A,1
S21,Undergraduate,C LIT   186E,EZKERRA VEGAS,A-,2
S21,Undergraduate,C LIT   186E,EZKERRA VEGAS,A+,4
S21,Undergraduate,C LIT   186E,EZKERRA VEGAS,B,1
S21,Undergraduate,C LIT   186E,EZKERRA VEGAS,F,2
S21,Undergraduate,C LIT   186NW,SORENSON A H,A,4
S21,Undergraduate,C LIT   186NW,SORENSON A H,A-,3
S21,Undergraduate,C LIT   186NW,SORENSON A H,A+,4
S21,Undergraduate,C LIT   186WL,BENJAMIN R,A,11
S21,Undergraduate,C LIT   186WL,BENJAMIN R,A-,1
S21,Undergraduate,C LIT   186WL,BENJAMIN R,B,1
S21,Graduate,C LIT   591,MALEUVRE D,S,5
