Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,DANCE    36,BENNAHUM D,A,35
S21,Undergraduate,DANCE    36,BENNAHUM D,A-,28
S21,Undergraduate,DANCE    36,BENNAHUM D,A+,15
S21,Undergraduate,DANCE    36,BENNAHUM D,B,15
S21,Undergraduate,DANCE    36,BENNAHUM D,B-,10
S21,Undergraduate,DANCE    36,BENNAHUM D,B+,15
S21,Undergraduate,DANCE    36,BENNAHUM D,C,5
S21,Undergraduate,DANCE    36,BENNAHUM D,C-,1
S21,Undergraduate,DANCE    36,BENNAHUM D,C+,3
S21,Undergraduate,DANCE    36,BENNAHUM D,D,2
S21,Undergraduate,DANCE    36,BENNAHUM D,F,13
S21,Undergraduate,DANCE    45,PRESS C M,A,219
S21,Undergraduate,DANCE    45,PRESS C M,A-,32
S21,Undergraduate,DANCE    45,PRESS C M,A+,281
S21,Undergraduate,DANCE    45,PRESS C M,B,26
S21,Undergraduate,DANCE    45,PRESS C M,B-,9
S21,Undergraduate,DANCE    45,PRESS C M,B+,16
S21,Undergraduate,DANCE    45,PRESS C M,C,6
S21,Undergraduate,DANCE    45,PRESS C M,C-,4
S21,Undergraduate,DANCE    45,PRESS C M,C+,2
S21,Undergraduate,DANCE    45,PRESS C M,D,1
S21,Undergraduate,DANCE    45,PRESS C M,F,3
S21,Undergraduate,DANCE    47C,HUSTON V G,A,15
S21,Undergraduate,DANCE    47C,HUSTON V G,F,1
S21,Undergraduate,DANCE    47C,MARTINS N C,A,7
S21,Undergraduate,DANCE    47C,MARTINS N C,A-,7
S21,Undergraduate,DANCE    47C,MARTINS N C,A+,10
S21,Undergraduate,DANCE    47C,MARTINS N C,B,1
S21,Undergraduate,DANCE    47C,MARTINS N C,B+,3
S21,Undergraduate,DANCE    47F,HUSTON V G,A,16
S21,Undergraduate,DANCE    47F,HUSTON V G,F,2
S21,Undergraduate,DANCE    47F,MOSELEY D,A,12
S21,Undergraduate,DANCE    47F,MOSELEY D,A-,3
S21,Undergraduate,DANCE    47F,MOSELEY D,F,1
S21,Undergraduate,DANCE    56C,COLAHAN N,A,3
S21,Undergraduate,DANCE    56C,COLAHAN N,A-,2
S21,Undergraduate,DANCE    56C,COLAHAN N,A+,6
S21,Undergraduate,DANCE    56C,COLAHAN N,B,1
S21,Undergraduate,DANCE    56C,COLAHAN N,B+,1
S21,Undergraduate,DANCE    56C,SANCHEZ C A,A,9
S21,Undergraduate,DANCE    56C,SANCHEZ C A,A-,1
S21,Undergraduate,DANCE    56C,SANCHEZ C A,A+,19
S21,Undergraduate,DANCE    56C,SANCHEZ C A,B,1
S21,Undergraduate,DANCE    56F,COLAHAN N,A,6
S21,Undergraduate,DANCE    56F,COLAHAN N,A-,2
S21,Undergraduate,DANCE    56F,COLAHAN N,F,1
S21,Undergraduate,DANCE    56F,SANCHEZ C A,A,5
S21,Undergraduate,DANCE    56F,SANCHEZ C A,A+,12
S21,Undergraduate,DANCE    56F,SANCHEZ C A,C,1
S21,Undergraduate,DANCE   142M,WHITED B S,A,3
S21,Undergraduate,DANCE   142M,WHITED B S,A-,1
S21,Undergraduate,DANCE   142M,WHITED B S,B,1
S21,Undergraduate,DANCE   142M,WHITED B S,B-,1
S21,Undergraduate,DANCE   145W,BENNAHUM D,A,2
S21,Undergraduate,DANCE   145W,BENNAHUM D,A-,7
S21,Undergraduate,DANCE   145W,BENNAHUM D,F,2
S21,Undergraduate,DANCE   147C,MARTINS N C,A,3
S21,Undergraduate,DANCE   147C,MARTINS N C,A+,17
S21,Undergraduate,DANCE   147C,MARTINS N C,B,2
S21,Undergraduate,DANCE   147C,MARTINS N C,B+,1
S21,Undergraduate,DANCE   147C,MARTINS N C,F,1
S21,Undergraduate,DANCE   147F,MOSELEY D,A,7
S21,Undergraduate,DANCE   147F,MOSELEY D,A-,1
S21,Undergraduate,DANCE   147F,MOSELEY D,B+,1
S21,Undergraduate,DANCE   156C,COLAHAN N,A,2
S21,Undergraduate,DANCE   156C,COLAHAN N,A-,1
S21,Undergraduate,DANCE   156C,COLAHAN N,A+,2
S21,Undergraduate,DANCE   156C,COLAHAN N,B,1
S21,Undergraduate,DANCE   156C,SANCHEZ C A,A,8
S21,Undergraduate,DANCE   156C,SANCHEZ C A,A+,12
S21,Undergraduate,DANCE   156C,SANCHEZ C A,F,1
S21,Undergraduate,DANCE   167B,SANCHEZ C A,A,2
S21,Undergraduate,DANCE   167B,SANCHEZ C A,A+,3
S21,Undergraduate,DANCE   167B,SANCHEZ C A,F,1
