Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,ECON      1,BEDARD K L,A,49
S21,Undergraduate,ECON      1,BEDARD K L,A-,64
S21,Undergraduate,ECON      1,BEDARD K L,A+,7
S21,Undergraduate,ECON      1,BEDARD K L,B,43
S21,Undergraduate,ECON      1,BEDARD K L,B-,24
S21,Undergraduate,ECON      1,BEDARD K L,B+,58
S21,Undergraduate,ECON      1,BEDARD K L,C,31
S21,Undergraduate,ECON      1,BEDARD K L,C-,5
S21,Undergraduate,ECON      1,BEDARD K L,C+,30
S21,Undergraduate,ECON      1,BEDARD K L,D,4
S21,Undergraduate,ECON      1,BEDARD K L,D-,3
S21,Undergraduate,ECON      1,BEDARD K L,D+,4
S21,Undergraduate,ECON      1,BEDARD K L,F,20
S21,Undergraduate,ECON      1,OPREA R D,A,49
S21,Undergraduate,ECON      1,OPREA R D,A-,64
S21,Undergraduate,ECON      1,OPREA R D,A+,7
S21,Undergraduate,ECON      1,OPREA R D,B,43
S21,Undergraduate,ECON      1,OPREA R D,B-,24
S21,Undergraduate,ECON      1,OPREA R D,B+,58
S21,Undergraduate,ECON      1,OPREA R D,C,31
S21,Undergraduate,ECON      1,OPREA R D,C-,5
S21,Undergraduate,ECON      1,OPREA R D,C+,30
S21,Undergraduate,ECON      1,OPREA R D,D,4
S21,Undergraduate,ECON      1,OPREA R D,D-,3
S21,Undergraduate,ECON      1,OPREA R D,D+,4
S21,Undergraduate,ECON      1,OPREA R D,F,20
S21,Undergraduate,ECON      2,BARRAGE L,A,158
S21,Undergraduate,ECON      2,BARRAGE L,A-,113
S21,Undergraduate,ECON      2,BARRAGE L,B,52
S21,Undergraduate,ECON      2,BARRAGE L,B-,37
S21,Undergraduate,ECON      2,BARRAGE L,B+,68
S21,Undergraduate,ECON      2,BARRAGE L,C,49
S21,Undergraduate,ECON      2,BARRAGE L,C-,1
S21,Undergraduate,ECON      2,BARRAGE L,C+,22
S21,Undergraduate,ECON      2,BARRAGE L,D,1
S21,Undergraduate,ECON      2,BARRAGE L,D-,3
S21,Undergraduate,ECON      2,BARRAGE L,D+,2
S21,Undergraduate,ECON      2,BARRAGE L,F,10
S21,Undergraduate,ECON      3A,ANDERSON R W,A,25
S21,Undergraduate,ECON      3A,ANDERSON R W,A-,35
S21,Undergraduate,ECON      3A,ANDERSON R W,A+,1
S21,Undergraduate,ECON      3A,ANDERSON R W,B,27
S21,Undergraduate,ECON      3A,ANDERSON R W,B-,17
S21,Undergraduate,ECON      3A,ANDERSON R W,B+,28
S21,Undergraduate,ECON      3A,ANDERSON R W,C,25
S21,Undergraduate,ECON      3A,ANDERSON R W,C-,12
S21,Undergraduate,ECON      3A,ANDERSON R W,C+,14
S21,Undergraduate,ECON      3A,ANDERSON R W,D,2
S21,Undergraduate,ECON      3A,ANDERSON R W,D-,5
S21,Undergraduate,ECON      3A,ANDERSON R W,F,14
S21,Undergraduate,ECON      3AH,ANDERSON R W,NP,1
S21,Undergraduate,ECON      3AH,ANDERSON R W,P,8
S21,Undergraduate,ECON      3B,FULKERSON S D,A,9
S21,Undergraduate,ECON      3B,FULKERSON S D,A-,8
S21,Undergraduate,ECON      3B,FULKERSON S D,B,7
S21,Undergraduate,ECON      3B,FULKERSON S D,B-,7
S21,Undergraduate,ECON      3B,FULKERSON S D,B+,9
S21,Undergraduate,ECON      3B,FULKERSON S D,C,3
S21,Undergraduate,ECON      3B,FULKERSON S D,C-,2
S21,Undergraduate,ECON      3B,FULKERSON S D,C+,4
S21,Undergraduate,ECON      3B,FULKERSON S D,F,7
S21,Undergraduate,ECON      9,BENELLI C A,A,76
S21,Undergraduate,ECON      9,BENELLI C A,A-,13
S21,Undergraduate,ECON      9,BENELLI C A,B,2
S21,Undergraduate,ECON      9,BENELLI C A,B-,4
S21,Undergraduate,ECON      9,BENELLI C A,B+,14
S21,Undergraduate,ECON      9,BENELLI C A,C,2
S21,Undergraduate,ECON      9,BENELLI C A,C+,8
S21,Undergraduate,ECON      9,BENELLI C A,D+,2
S21,Undergraduate,ECON      9,BENELLI C A,F,9
S21,Undergraduate,ECON     10A,HARTMAN J L,A,57
S21,Undergraduate,ECON     10A,HARTMAN J L,A-,36
S21,Undergraduate,ECON     10A,HARTMAN J L,A+,3
S21,Undergraduate,ECON     10A,HARTMAN J L,B,43
S21,Undergraduate,ECON     10A,HARTMAN J L,B-,30
S21,Undergraduate,ECON     10A,HARTMAN J L,B+,32
S21,Undergraduate,ECON     10A,HARTMAN J L,C,18
S21,Undergraduate,ECON     10A,HARTMAN J L,C-,4
S21,Undergraduate,ECON     10A,HARTMAN J L,C+,11
S21,Undergraduate,ECON     10A,HARTMAN J L,D,7
S21,Undergraduate,ECON     10A,HARTMAN J L,D-,4
S21,Undergraduate,ECON     10A,HARTMAN J L,D+,9
