Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,ENGL     10,DONNELLY B,A,72
S21,Undergraduate,ENGL     10,DONNELLY B,A-,84
S21,Undergraduate,ENGL     10,DONNELLY B,A+,1
S21,Undergraduate,ENGL     10,DONNELLY B,B,35
S21,Undergraduate,ENGL     10,DONNELLY B,B-,18
S21,Undergraduate,ENGL     10,DONNELLY B,B+,53
S21,Undergraduate,ENGL     10,DONNELLY B,C,7
S21,Undergraduate,ENGL     10,DONNELLY B,C-,3
S21,Undergraduate,ENGL     10,DONNELLY B,C+,4
S21,Undergraduate,ENGL     10,DONNELLY B,D,2
S21,Undergraduate,ENGL     10,DONNELLY B,D+,1
S21,Undergraduate,ENGL     10,DONNELLY B,F,9
S21,Undergraduate,ENGL     25,LIU A Y,A,31
S21,Undergraduate,ENGL     25,LIU A Y,A-,15
S21,Undergraduate,ENGL     25,LIU A Y,A+,7
S21,Undergraduate,ENGL     25,LIU A Y,B,19
S21,Undergraduate,ENGL     25,LIU A Y,B-,8
S21,Undergraduate,ENGL     25,LIU A Y,B+,17
S21,Undergraduate,ENGL     25,LIU A Y,C,2
S21,Undergraduate,ENGL     25,LIU A Y,C-,3
S21,Undergraduate,ENGL     25,LIU A Y,C+,2
S21,Undergraduate,ENGL     25,LIU A Y,F,17
S21,Undergraduate,ENGL     25S,LIU A Y,A,5
S21,Undergraduate,ENGL     50,RANA S,A,54
S21,Undergraduate,ENGL     50,RANA S,A-,41
S21,Undergraduate,ENGL     50,RANA S,A+,7
S21,Undergraduate,ENGL     50,RANA S,B,29
S21,Undergraduate,ENGL     50,RANA S,B-,6
S21,Undergraduate,ENGL     50,RANA S,B+,38
S21,Undergraduate,ENGL     50,RANA S,C+,5
S21,Undergraduate,ENGL     50,RANA S,F,2
S21,Undergraduate,ENGL     50S,RANA S,A,11
S21,Undergraduate,ENGL     50S,RANA S,A-,2
S21,Undergraduate,ENGL     50S,RANA S,A+,1
S21,Undergraduate,ENGL     50S,RANA S,B,3
S21,Undergraduate,ENGL     50S,RANA S,B+,1
S21,Undergraduate,ENGL     50S,RANA S,C,1
S21,Undergraduate,ENGL     65FM,WICKE J A,A,136
S21,Undergraduate,ENGL     65FM,WICKE J A,A-,12
S21,Undergraduate,ENGL     65FM,WICKE J A,A+,30
S21,Undergraduate,ENGL     65FM,WICKE J A,B,5
S21,Undergraduate,ENGL     65FM,WICKE J A,B-,1
S21,Undergraduate,ENGL     65FM,WICKE J A,B+,6
S21,Undergraduate,ENGL     65FM,WICKE J A,C,1
