Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,ENV S     3,MARTIN J A,A,293
S21,Undergraduate,ENV S     3,MARTIN J A,A-,162
S21,Undergraduate,ENV S     3,MARTIN J A,A+,28
S21,Undergraduate,ENV S     3,MARTIN J A,B,66
S21,Undergraduate,ENV S     3,MARTIN J A,B-,39
S21,Undergraduate,ENV S     3,MARTIN J A,B+,75
S21,Undergraduate,ENV S     3,MARTIN J A,C,24
S21,Undergraduate,ENV S     3,MARTIN J A,C-,4
S21,Undergraduate,ENV S     3,MARTIN J A,C+,9
S21,Undergraduate,ENV S     3,MARTIN J A,D,8
S21,Undergraduate,ENV S     3,MARTIN J A,D+,2
S21,Undergraduate,ENV S     3,MARTIN J A,F,23
S21,Undergraduate,ENV S     3H,MARTIN J A,P,24
S21,Undergraduate,ENV S    15B,GARDNER H K,A,24
S21,Undergraduate,ENV S    15B,GARDNER H K,A-,6
S21,Undergraduate,ENV S    15B,GARDNER H K,B,44
S21,Undergraduate,ENV S    15B,GARDNER H K,B-,8
S21,Undergraduate,ENV S    15B,GARDNER H K,B+,4
S21,Undergraduate,ENV S    15B,GARDNER H K,C,30
S21,Undergraduate,ENV S    15B,GARDNER H K,C-,2
S21,Undergraduate,ENV S    15B,GARDNER H K,C+,7
S21,Undergraduate,ENV S    15B,GARDNER H K,D,5
S21,Undergraduate,ENV S    15B,GARDNER H K,D+,2
S21,Undergraduate,ENV S    15B,GARDNER H K,F,4
S21,Undergraduate,ENV S    15BL,GARDNER H K,A,88
S21,Undergraduate,ENV S    15BL,GARDNER H K,A-,3
S21,Undergraduate,ENV S    15BL,GARDNER H K,A+,2
S21,Undergraduate,ENV S    15BL,GARDNER H K,B,23
S21,Undergraduate,ENV S    15BL,GARDNER H K,B-,2
S21,Undergraduate,ENV S    15BL,GARDNER H K,B+,4
S21,Undergraduate,ENV S    15BL,GARDNER H K,C,2
S21,Undergraduate,ENV S    15BL,GARDNER H K,C+,2
S21,Undergraduate,ENV S    15BL,GARDNER H K,D,1
S21,Undergraduate,ENV S    15BL,GARDNER H K,D+,1
S21,Undergraduate,ENV S    15BL,GARDNER H K,F,5
S21,Undergraduate,ENV S    25,THOMASSON K M,A,12
S21,Undergraduate,ENV S    25,THOMASSON K M,A-,10
S21,Undergraduate,ENV S    25,THOMASSON K M,A+,9
S21,Undergraduate,ENV S    25,THOMASSON K M,B,10
S21,Undergraduate,ENV S    25,THOMASSON K M,B-,10
S21,Undergraduate,ENV S    25,THOMASSON K M,B+,5
S21,Undergraduate,ENV S    25,THOMASSON K M,C,7
S21,Undergraduate,ENV S    25,THOMASSON K M,C-,1
S21,Undergraduate,ENV S    25,THOMASSON K M,C+,8
S21,Undergraduate,ENV S    25,THOMASSON K M,D,5
S21,Undergraduate,ENV S    25,THOMASSON K M,F,14
S21,Undergraduate,ENV S    30,HEILMAYR R F,A,30
S21,Undergraduate,ENV S    30,HEILMAYR R F,A-,14
S21,Undergraduate,ENV S    30,HEILMAYR R F,B,8
S21,Undergraduate,ENV S    30,HEILMAYR R F,B-,4
S21,Undergraduate,ENV S    30,HEILMAYR R F,B+,5
S21,Undergraduate,ENV S    30,HEILMAYR R F,C-,2
S21,Undergraduate,ENV S    30,HEILMAYR R F,C+,2
S21,Undergraduate,ENV S    30,HEILMAYR R F,D,1
S21,Undergraduate,ENV S    30,HEILMAYR R F,F,4
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,A,4
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,A-,2
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,B,2
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,B-,1
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,B+,2
S21,Undergraduate,ENV S   103A,GUILLIAMS C M,C+,1
S21,Undergraduate,ENV S   103A,LEHMAN K E,A,4
S21,Undergraduate,ENV S   103A,LEHMAN K E,A-,2
S21,Undergraduate,ENV S   103A,LEHMAN K E,B,2
S21,Undergraduate,ENV S   103A,LEHMAN K E,B-,1
S21,Undergraduate,ENV S   103A,LEHMAN K E,B+,2
S21,Undergraduate,ENV S   103A,LEHMAN K E,C+,1
S21,Undergraduate,ENV S   105,DESHMUKH R A,A,20
S21,Undergraduate,ENV S   105,DESHMUKH R A,A-,12
S21,Undergraduate,ENV S   105,DESHMUKH R A,A+,2
S21,Undergraduate,ENV S   105,DESHMUKH R A,B,17
S21,Undergraduate,ENV S   105,DESHMUKH R A,B-,3
S21,Undergraduate,ENV S   105,DESHMUKH R A,B+,16
S21,Undergraduate,ENV S   105,DESHMUKH R A,C,3
S21,Undergraduate,ENV S   105,DESHMUKH R A,C+,8
S21,Undergraduate,ENV S   105,DESHMUKH R A,F,5
S21,Undergraduate,ENV S   106,MARTIN J A,A,67
S21,Undergraduate,ENV S   106,MARTIN J A,A-,41
S21,Undergraduate,ENV S   106,MARTIN J A,A+,6
S21,Undergraduate,ENV S   106,MARTIN J A,B,12
S21,Undergraduate,ENV S   106,MARTIN J A,B-,2
S21,Undergraduate,ENV S   106,MARTIN J A,B+,19
S21,Undergraduate,ENV S   106,MARTIN J A,C,4
S21,Undergraduate,ENV S   106,MARTIN J A,C-,2
S21,Undergraduate,ENV S   106,MARTIN J A,C+,4
S21,Undergraduate,ENV S   106,MARTIN J A,D+,1
S21,Undergraduate,ENV S   106,MARTIN J A,F,7
S21,Undergraduate,ENV S   113,ALESSIO P A,A,5
S21,Undergraduate,ENV S   113,ALESSIO P A,A+,2
S21,Undergraduate,ENV S   113,ALESSIO P A,C,4
S21,Undergraduate,ENV S   117,PULVER S,A,52
S21,Undergraduate,ENV S   117,PULVER S,A-,18
S21,Undergraduate,ENV S   117,PULVER S,A+,39
S21,Undergraduate,ENV S   117,PULVER S,B,6
S21,Undergraduate,ENV S   117,PULVER S,B-,5
S21,Undergraduate,ENV S   117,PULVER S,B+,8
