Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S21,Graduate,ESM     204,CARLETON T A,A,46
S21,Graduate,ESM     204,CARLETON T A,A-,14
S21,Graduate,ESM     204,CARLETON T A,A+,1
S21,Graduate,ESM     204,CARLETON T A,B,10
S21,Graduate,ESM     204,CARLETON T A,B+,6
S21,Graduate,ESM     204,COSTELLO C J,A,46
S21,Graduate,ESM     204,COSTELLO C J,A-,14
S21,Graduate,ESM     204,COSTELLO C J,A+,1
S21,Graduate,ESM     204,COSTELLO C J,B,10
S21,Graduate,ESM     204,COSTELLO C J,B+,6
S21,Graduate,ESM     207,SALZMAN J E,A,26
S21,Graduate,ESM     207,SALZMAN J E,A-,27
S21,Graduate,ESM     207,SALZMAN J E,A+,1
S21,Graduate,ESM     207,SALZMAN J E,B,9
S21,Graduate,ESM     207,SALZMAN J E,B+,16
S21,Graduate,ESM     222,KELLER A A,A,4
S21,Graduate,ESM     222,KELLER A A,A-,1
S21,Graduate,ESM     222,KELLER A A,A+,1
S21,Graduate,ESM     228,BUNTAINE M T,A,10
S21,Graduate,ESM     228,BUNTAINE M T,A-,9
S21,Graduate,ESM     232,TAGUE C,A,22
S21,Graduate,ESM     232,TAGUE C,A+,5
S21,Graduate,ESM     237,STEVENSON-MIC,A,21
S21,Graduate,ESM     237,STEVENSON-MIC,A-,2
S21,Graduate,ESM     237,STEVENSON-MIC,A+,16
S21,Graduate,ESM     237,STEVENSON-MIC,B,2
S21,Graduate,ESM     243,ANDERSON S,A,17
S21,Graduate,ESM     243,ANDERSON S,A-,2
S21,Graduate,ESM     243,ANDERSON S,A+,3
S21,Graduate,ESM     254,LENIHAN H S,A+,11
S21,Graduate,ESM     261,FREW J E,A,19
S21,Graduate,ESM     261,FREW J E,A-,2
S21,Graduate,ESM     261,FREW J E,B,2
S21,Graduate,ESM     261,FREW J E,B+,6
S21,Graduate,ESM     269,HODGES H E,A,22
S21,Graduate,ESM     269,HODGES H E,A-,2
S21,Graduate,ESM     270,LARSEN A E,A,19
S21,Graduate,ESM     270,LARSEN A E,A-,7
S21,Graduate,ESM     270,LARSEN A E,B+,2
S21,Graduate,ESM     277,SALZMAN J E,A,7
S21,Graduate,ESM     277,SALZMAN J E,A-,4
S21,Graduate,ESM     277,SALZMAN J E,A+,3
S21,Graduate,ESM     277,SALZMAN J E,B,3
S21,Graduate,ESM     277,SALZMAN J E,B+,4
S21,Graduate,ESM     282,GEYER R,A,11
S21,Graduate,ESM     282,GEYER R,A-,6
S21,Graduate,ESM     282,GEYER R,A+,5
S21,Graduate,ESM     296,DAVIS F W,A,15
S21,Graduate,ESM     296,GAINES S,S,13
S21,Graduate,ESM     298,COTTER E E,A,4
S21,Graduate,ESM     298,COTTER E E,A-,1
S21,Graduate,ESM     401A,ANDERSON S,A,5
S21,Graduate,ESM     401A,CAYLOR K K,A+,5
S21,Graduate,ESM     401A,COSTELLO C J,A,5
S21,Graduate,ESM     401A,FREW J E,A,5
S21,Graduate,ESM     401A,GAINES S,A,5
S21,Graduate,ESM     401A,GEYER R,A-,1
S21,Graduate,ESM     401A,GEYER R,A+,4
S21,Graduate,ESM     401A,JACK B K,A,5
S21,Graduate,ESM     401A,JASECHKO S A,A,4
S21,Graduate,ESM     401A,JASECHKO S A,A-,1
S21,Graduate,ESM     401A,KELLER A A,A,5
S21,Graduate,ESM     401A,KOLSTAD C D,A,5
S21,Graduate,ESM     401A,MASANET E R,A,5
S21,Graduate,ESM     401A,STEVENSON-MIC,A,5
S21,Graduate,ESM     401D,ANDERSON S,A,5
S21,Graduate,ESM     401D,BUNTAINE M T,A,5
S21,Graduate,ESM     401D,GEYER R,A+,5
S21,Graduate,ESM     401D,JACK B K,A,5
S21,Graduate,ESM     401D,KELLER A A,A,5
S21,Graduate,ESM     401D,LARSEN A E,A,5
S21,Graduate,ESM     401D,LENIHAN H S,A+,5
S21,Graduate,ESM     401D,MENG K C,A,5
S21,Graduate,ESM     401D,STEVENSON-MIC,A,5
S21,Graduate,ESM     401D,TAGUE C,A,5
S21,Graduate,ESM     402A,COTTER E E,A,5
S21,Graduate,ESM     430,GAINES S,S,15
S21,Graduate,ESM     440,LEOMBRUNI L V,A,26
S21,Graduate,ESM     449,LEOMBRUNI L V,A,26
S21,Graduate,ESM     510,MELACK J M,S,6
S21,Graduate,ESM     595AL,LARSEN A E,A,6
S21,Graduate,ESM     595GP,AIRAME S,A,3
S21,Graduate,ESM     595GP,AIRAME S,S,6
