Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,POL SW  121,STRATHMAN B A,A,27
S21,Undergraduate,POL SW  121,STRATHMAN B A,A-,23
S21,Undergraduate,POL SW  121,STRATHMAN B A,B,43
S21,Undergraduate,POL SW  121,STRATHMAN B A,B-,9
S21,Undergraduate,POL SW  121,STRATHMAN B A,B+,19
S21,Undergraduate,POL SW  121,STRATHMAN B A,C,17
S21,Undergraduate,POL SW  121,STRATHMAN B A,C-,2
S21,Undergraduate,POL SW  121,STRATHMAN B A,C+,8
S21,Undergraduate,POL SW  121,STRATHMAN B A,D,7
S21,Undergraduate,POL SW  121,STRATHMAN B A,D+,1
S21,Undergraduate,POL SW  121,STRATHMAN B A,F,13
