Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,PSTAT     5A,SWENSON J S,A,39
S21,Undergraduate,PSTAT     5A,SWENSON J S,A-,31
S21,Undergraduate,PSTAT     5A,SWENSON J S,A+,4
S21,Undergraduate,PSTAT     5A,SWENSON J S,B,38
S21,Undergraduate,PSTAT     5A,SWENSON J S,B-,28
S21,Undergraduate,PSTAT     5A,SWENSON J S,B+,31
S21,Undergraduate,PSTAT     5A,SWENSON J S,C,34
S21,Undergraduate,PSTAT     5A,SWENSON J S,C-,20
S21,Undergraduate,PSTAT     5A,SWENSON J S,C+,31
S21,Undergraduate,PSTAT     5A,SWENSON J S,D,4
S21,Undergraduate,PSTAT     5A,SWENSON J S,D-,3
S21,Undergraduate,PSTAT     5A,SWENSON J S,D+,4
S21,Undergraduate,PSTAT     5A,SWENSON J S,F,10
S21,Undergraduate,PSTAT     5H,HE J,P,5
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,A,85
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,B,83
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,B+,25
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,C,23
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,C+,12
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,D,5
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,D+,1
S21,Undergraduate,PSTAT     5LS,WAINWRIGHT B,F,5
S21,Undergraduate,PSTAT    10,HOLMES D E,A,57
S21,Undergraduate,PSTAT    10,HOLMES D E,A-,19
S21,Undergraduate,PSTAT    10,HOLMES D E,A+,3
S21,Undergraduate,PSTAT    10,HOLMES D E,B,33
S21,Undergraduate,PSTAT    10,HOLMES D E,B-,21
S21,Undergraduate,PSTAT    10,HOLMES D E,B+,14
S21,Undergraduate,PSTAT    10,HOLMES D E,C,30
S21,Undergraduate,PSTAT    10,HOLMES D E,C-,13
S21,Undergraduate,PSTAT    10,HOLMES D E,C+,25
S21,Undergraduate,PSTAT    10,HOLMES D E,F,23
S21,Undergraduate,PSTAT   100,RUIZ T D,A,71
S21,Undergraduate,PSTAT   100,RUIZ T D,A-,11
S21,Undergraduate,PSTAT   100,RUIZ T D,A+,1
S21,Undergraduate,PSTAT   100,RUIZ T D,B,2
S21,Undergraduate,PSTAT   100,RUIZ T D,B+,2
S21,Undergraduate,PSTAT   100,RUIZ T D,C+,1
S21,Undergraduate,PSTAT   100,RUIZ T D,D,1
S21,Undergraduate,PSTAT   100,RUIZ T D,F,1
S21,Undergraduate,PSTAT   115,SUN Y,A,11
S21,Undergraduate,PSTAT   115,SUN Y,A-,12
S21,Undergraduate,PSTAT   115,SUN Y,A+,8
