Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S21,Undergraduate,WRIT      1,CHENOWETH R C,A,17
S21,Undergraduate,WRIT      1,CHENOWETH R C,A-,15
S21,Undergraduate,WRIT      1,CHENOWETH R C,B,5
S21,Undergraduate,WRIT      1,CHENOWETH R C,B-,6
S21,Undergraduate,WRIT      1,CHENOWETH R C,B+,2
S21,Undergraduate,WRIT      1,CHENOWETH R C,C,1
S21,Undergraduate,WRIT      1,CHENOWETH R C,C-,1
S21,Undergraduate,WRIT      1,CHENOWETH R C,F,1
S21,Undergraduate,WRIT      1,PATTERSON K A,A,14
S21,Undergraduate,WRIT      1,PATTERSON K A,A-,5
S21,Undergraduate,WRIT      1,PATTERSON K A,B,2
S21,Undergraduate,WRIT      1,PATTERSON K A,B+,5
S21,Undergraduate,WRIT      1,PATTERSON K A,C,8
S21,Undergraduate,WRIT      1,PATTERSON K A,C+,6
S21,Undergraduate,WRIT      1,PATTERSON K A,D,2
S21,Undergraduate,WRIT      1,PATTERSON K A,F,3
S21,Undergraduate,WRIT      1,YAMBOLIEV K I,A,4
S21,Undergraduate,WRIT      1,YAMBOLIEV K I,A-,5
S21,Undergraduate,WRIT      1,YAMBOLIEV K I,B,8
S21,Undergraduate,WRIT      1,YAMBOLIEV K I,B-,1
S21,Undergraduate,WRIT      1,YAMBOLIEV K I,B+,7
S21,Undergraduate,WRIT      2,ERNST B C,A,13
S21,Undergraduate,WRIT      2,ERNST B C,A-,4
S21,Undergraduate,WRIT      2,ERNST B C,B,3
S21,Undergraduate,WRIT      2,ERNST B C,B+,2
S21,Undergraduate,WRIT      2,ERNST B C,C,1
S21,Undergraduate,WRIT      2,ERNST B C,C+,1
S21,Undergraduate,WRIT      2,ERNST B C,F,1
S21,Undergraduate,WRIT      2,HAMMER L M,A,2
S21,Undergraduate,WRIT      2,HAMMER L M,A-,10
S21,Undergraduate,WRIT      2,HAMMER L M,B,8
S21,Undergraduate,WRIT      2,HAMMER L M,B-,5
S21,Undergraduate,WRIT      2,HAMMER L M,B+,14
S21,Undergraduate,WRIT      2,HAMMER L M,F,1
S21,Undergraduate,WRIT      2,HANSON J L,A,75
S21,Undergraduate,WRIT      2,HANSON J L,A-,31
S21,Undergraduate,WRIT      2,HANSON J L,A+,2
S21,Undergraduate,WRIT      2,HANSON J L,B,24
S21,Undergraduate,WRIT      2,HANSON J L,B-,6
S21,Undergraduate,WRIT      2,HANSON J L,B+,21
S21,Undergraduate,WRIT      2,HANSON J L,C,3
S21,Undergraduate,WRIT      2,HANSON J L,C-,1
S21,Undergraduate,WRIT      2,HANSON J L,C+,2
S21,Undergraduate,WRIT      2,HANSON J L,F,3
S21,Undergraduate,WRIT      2,HARRIS-MOORE,A,50
S21,Undergraduate,WRIT      2,HARRIS-MOORE,A-,25
S21,Undergraduate,WRIT      2,HARRIS-MOORE,A+,18
S21,Undergraduate,WRIT      2,HARRIS-MOORE,B,17
S21,Undergraduate,WRIT      2,HARRIS-MOORE,B-,3
S21,Undergraduate,WRIT      2,HARRIS-MOORE,B+,19
S21,Undergraduate,WRIT      2,HARRIS-MOORE,C,2
S21,Undergraduate,WRIT      2,HARRIS-MOORE,C-,1
S21,Undergraduate,WRIT      2,HARRIS-MOORE,C+,2
S21,Undergraduate,WRIT      2,HARRIS-MOORE,F,5
S21,Undergraduate,WRIT      2,JOHNSON J K,A,7
S21,Undergraduate,WRIT      2,JOHNSON J K,A-,2
S21,Undergraduate,WRIT      2,JOHNSON J K,A+,1
S21,Undergraduate,WRIT      2,JOHNSON J K,B+,3
S21,Undergraduate,WRIT      2,JOHNSON J K,C,1
S21,Undergraduate,WRIT      2,JOHNSON J K,F,2
S21,Undergraduate,WRIT      2,MORLAND P,A,8
S21,Undergraduate,WRIT      2,MORLAND P,A-,4
S21,Undergraduate,WRIT      2,MORLAND P,A+,4
S21,Undergraduate,WRIT      2,MORLAND P,B,3
S21,Undergraduate,WRIT      2,MORLAND P,B-,1
S21,Undergraduate,WRIT      2,MORLAND P,B+,1
S21,Undergraduate,WRIT      2,MORLAND P,C,2
S21,Undergraduate,WRIT      2,SAUR E H,A,13
S21,Undergraduate,WRIT      2,SAUR E H,A-,2
S21,Undergraduate,WRIT      2,SAUR E H,B,5
S21,Undergraduate,WRIT      2,SAUR E H,B+,3
S21,Undergraduate,WRIT      2,SAUR E H,C,1
S21,Undergraduate,WRIT      2,SAUR E H,D,1
S21,Undergraduate,WRIT      2,THOMAS C,A,17
S21,Undergraduate,WRIT      2,THOMAS C,A-,2
S21,Undergraduate,WRIT      2,THOMAS C,B,1
S21,Undergraduate,WRIT      2,THOMAS C,B+,4
S21,Undergraduate,WRIT      2,VERTIZ V,A,5
S21,Undergraduate,WRIT      2,VERTIZ V,A-,4
S21,Undergraduate,WRIT      2,VERTIZ V,B,2
S21,Undergraduate,WRIT      2,VERTIZ V,B+,5
S21,Undergraduate,WRIT      2,VERTIZ V,F,2
S21,Undergraduate,WRIT      2,WARWICK N L,A,60
S21,Undergraduate,WRIT      2,WARWICK N L,A-,37
S21,Undergraduate,WRIT      2,WARWICK N L,A+,12
S21,Undergraduate,WRIT      2,WARWICK N L,B,15
S21,Undergraduate,WRIT      2,WARWICK N L,B-,9
S21,Undergraduate,WRIT      2,WARWICK N L,B+,12
S21,Undergraduate,WRIT      2,WARWICK N L,C,4
S21,Undergraduate,WRIT      2,WARWICK N L,F,13
S21,Undergraduate,WRIT      2,WEBBER M A,A,9
S21,Undergraduate,WRIT      2,WEBBER M A,A-,6
S21,Undergraduate,WRIT      2,WEBBER M A,B,2
S21,Undergraduate,WRIT      2,WEBBER M A,B+,2
S21,Undergraduate,WRIT      2,WEBBER M A,C+,2
S21,Undergraduate,WRIT      2,WEBBER M A,D+,1
S21,Undergraduate,WRIT      2,WEBBER M A,F,2
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,A,2
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,A-,3
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,B,7
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,B-,2
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,B+,9
S21,Undergraduate,WRIT      2,YAMBOLIEV K I,C,1
S21,Undergraduate,WRIT     28,SORAPURE M I,A,5
S21,Undergraduate,WRIT     28,VERTIZ V,A,5
S21,Undergraduate,WRIT     50,FRANK D M,A,19
S21,Undergraduate,WRIT     50,FRANK D M,A+,2
S21,Undergraduate,WRIT     50,FRANK D M,B+,2
S21,Undergraduate,WRIT     50,FRANK D M,C+,1
S21,Undergraduate,WRIT     50E,BRADLEY N D,A,18
S21,Undergraduate,WRIT     50E,BRADLEY N D,A-,1
S21,Undergraduate,WRIT     50E,BRADLEY N D,A+,1
S21,Undergraduate,WRIT     50E,BRADLEY N D,B+,3
S21,Undergraduate,WRIT     50E,RUTHERFORD K,A,18
S21,Undergraduate,WRIT     50E,RUTHERFORD K,A-,6
S21,Undergraduate,WRIT     50E,RUTHERFORD K,F,1
S21,Undergraduate,WRIT    105C,MORRIS N S,A,4
S21,Undergraduate,WRIT    105C,MORRIS N S,A-,17
S21,Undergraduate,WRIT    105C,MORRIS N S,B-,1
S21,Undergraduate,WRIT    105C,MORRIS N S,B+,1
S21,Undergraduate,WRIT    105C,MORRIS N S,F,1
S21,Undergraduate,WRIT    105C,MURTI-HALI D,A,19
S21,Undergraduate,WRIT    105C,MURTI-HALI D,A-,15
S21,Undergraduate,WRIT    105C,MURTI-HALI D,B,1
S21,Undergraduate,WRIT    105C,MURTI-HALI D,B+,4
S21,Undergraduate,WRIT    105C,MURTI-HALI D,C,2
S21,Undergraduate,WRIT    105C,MURTI-HALI D,F,2
S21,Undergraduate,WRIT    105M,FANCHER P J,A,20
S21,Undergraduate,WRIT    105M,FANCHER P J,A-,4
S21,Undergraduate,WRIT    105M,FRANK D M,A,20
S21,Undergraduate,WRIT    105M,FRANK D M,A-,1
S21,Undergraduate,WRIT    105M,FRANK D M,A+,7
S21,Undergraduate,WRIT    105M,FRANK D M,B,4
S21,Undergraduate,WRIT    105M,FRANK D M,B-,1
S21,Undergraduate,WRIT    105M,FRANK D M,B+,7
S21,Undergraduate,WRIT    105M,FRANK D M,C,2
S21,Undergraduate,WRIT    105M,FRANK D M,C-,1
S21,Undergraduate,WRIT    105M,FRANK D M,C+,2
S21,Undergraduate,WRIT    105M,FRANK D M,F,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,A,12
S21,Undergraduate,WRIT    105PD,WEBBER M A,A-,11
S21,Undergraduate,WRIT    105PD,WEBBER M A,B,5
S21,Undergraduate,WRIT    105PD,WEBBER M A,B-,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,B+,7
S21,Undergraduate,WRIT    105PD,WEBBER M A,C,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,C-,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,D,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,D+,1
S21,Undergraduate,WRIT    105PD,WEBBER M A,F,5
S21,Undergraduate,WRIT    105PS,HANSON J L,A,7
S21,Undergraduate,WRIT    105PS,HANSON J L,A-,6
S21,Undergraduate,WRIT    105PS,HANSON J L,B,4
S21,Undergraduate,WRIT    105PS,HANSON J L,B-,1
S21,Undergraduate,WRIT    105PS,HANSON J L,B+,4
S21,Undergraduate,WRIT    105PS,THOMAS C,A,34
S21,Undergraduate,WRIT    105PS,THOMAS C,A+,10
S21,Undergraduate,WRIT    105PS,THOMAS C,B+,1
S21,Undergraduate,WRIT    105R,BAILLARGEON K,A,16
S21,Undergraduate,WRIT    105R,BAILLARGEON K,A-,2
S21,Undergraduate,WRIT    105R,BAILLARGEON K,A+,1
S21,Undergraduate,WRIT    105R,BAILLARGEON K,B,1
S21,Undergraduate,WRIT    105R,BAILLARGEON K,B+,3
S21,Undergraduate,WRIT    105R,BAILLARGEON K,F,1
S21,Undergraduate,WRIT    105R,JOHNSON J K,A,10
S21,Undergraduate,WRIT    105R,JOHNSON J K,A-,9
S21,Undergraduate,WRIT    105R,JOHNSON J K,B,1
S21,Undergraduate,WRIT    105R,JOHNSON J K,B-,1
S21,Undergraduate,WRIT    105R,SAMUELS R D,A,5
S21,Undergraduate,WRIT    105R,SAMUELS R D,A-,16
S21,Undergraduate,WRIT    105R,SAMUELS R D,B,8
S21,Undergraduate,WRIT    105R,SAMUELS R D,B-,1
S21,Undergraduate,WRIT    105R,SAMUELS R D,B+,8
S21,Undergraduate,WRIT    105R,SAMUELS R D,F,1
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,A,9
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,A-,6
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,B,2
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,B-,1
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,B+,2
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,C,1
S21,Undergraduate,WRIT    105SW,CHENOWETH R C,F,1
S21,Undergraduate,WRIT    105SW,SMITH K A,A,14
S21,Undergraduate,WRIT    105SW,SMITH K A,A-,4
S21,Undergraduate,WRIT    105SW,SMITH K A,A+,12
S21,Undergraduate,WRIT    105SW,SMITH K A,B,3
S21,Undergraduate,WRIT    105SW,SMITH K A,B-,1
S21,Undergraduate,WRIT    105SW,SMITH K A,B+,3
S21,Undergraduate,WRIT    105SW,SMITH K A,C,1
S21,Undergraduate,WRIT    105SW,SMITH K A,C+,1
S21,Undergraduate,WRIT    105WE,MENA H P,A,14
S21,Undergraduate,WRIT    105WE,MENA H P,A-,10
S21,Undergraduate,WRIT    105WE,MENA H P,B,1
S21,Undergraduate,WRIT    105WE,MENA H P,B+,8
S21,Undergraduate,WRIT    105WE,MENA H P,C-,1
S21,Undergraduate,WRIT    107B,COKLIN L,A,24
S21,Undergraduate,WRIT    107B,COKLIN L,A-,8
S21,Undergraduate,WRIT    107B,COKLIN L,B,4
S21,Undergraduate,WRIT    107B,COKLIN L,B+,7
S21,Undergraduate,WRIT    107B,ERNST B C,A,34
S21,Undergraduate,WRIT    107B,ERNST B C,A-,12
S21,Undergraduate,WRIT    107B,ERNST B C,B,1
S21,Undergraduate,WRIT    107B,ERNST B C,B-,1
S21,Undergraduate,WRIT    107B,ERNST B C,B+,2
S21,Undergraduate,WRIT    107B,GENOVA G L,A,5
S21,Undergraduate,WRIT    107B,GENOVA G L,A-,6
S21,Undergraduate,WRIT    107B,GENOVA G L,B,4
S21,Undergraduate,WRIT    107B,GENOVA G L,B-,2
S21,Undergraduate,WRIT    107B,GENOVA G L,B+,6
S21,Undergraduate,WRIT    107B,GENOVA G L,C+,1
S21,Undergraduate,WRIT    107B,KRUT R M,A,20
S21,Undergraduate,WRIT    107B,KRUT R M,A-,3
S21,Undergraduate,WRIT    107B,KRUT R M,B+,1
S21,Undergraduate,WRIT    107EP,KRYDER E A,A,9
S21,Undergraduate,WRIT    107EP,KRYDER E A,A-,8
S21,Undergraduate,WRIT    107EP,KRYDER E A,A+,1
S21,Undergraduate,WRIT    107EP,KRYDER E A,B,1
S21,Undergraduate,WRIT    107EP,KRYDER E A,B+,5
S21,Undergraduate,WRIT    107G,HANSON J L,A,6
S21,Undergraduate,WRIT    107G,HANSON J L,A-,6
S21,Undergraduate,WRIT    107G,HANSON J L,A+,1
S21,Undergraduate,WRIT    107G,HANSON J L,B,2
S21,Undergraduate,WRIT    107G,HANSON J L,B-,1
