Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S22,Undergraduate,CHIN      3,CHEN S C,A,21
S22,Undergraduate,CHIN      3,CHEN S C,A-,9
S22,Undergraduate,CHIN      3,CHEN S C,A+,3
S22,Undergraduate,CHIN      3,CHEN S C,B,4
S22,Undergraduate,CHIN      3,CHEN S C,B-,1
S22,Undergraduate,CHIN      3,CHEN S C,C,1
S22,Undergraduate,CHIN      3,CHEN S C,C+,1
S22,Undergraduate,CHIN      3,CHEN S C,D,1
S22,Undergraduate,CHIN      3,CHEN S C,F,1
S22,Undergraduate,CHIN      3NH,GUAN D,A,5
S22,Undergraduate,CHIN      3NH,GUAN D,A-,4
S22,Undergraduate,CHIN      3NH,GUAN D,A+,4
S22,Undergraduate,CHIN      3NH,GUAN D,B,1
S22,Undergraduate,CHIN      3NH,GUAN D,B-,1
S22,Undergraduate,CHIN      3NH,GUAN D,C,1
S22,Undergraduate,CHIN      6,HSU C-C,A,13
S22,Undergraduate,CHIN      6,HSU C-C,A-,4
S22,Undergraduate,CHIN      6,HSU C-C,A+,1
S22,Undergraduate,CHIN      6,HSU C-C,B,2
S22,Undergraduate,CHIN      6,HSU C-C,B+,3
S22,Undergraduate,CHIN      6,HSU C-C,C-,1
S22,Undergraduate,CHIN      6,HSU C-C,F,2
S22,Undergraduate,CHIN    122C,GUAN D,A,6
S22,Undergraduate,CHIN    122C,GUAN D,A-,3
S22,Undergraduate,CHIN    122C,GUAN D,A+,2
S22,Undergraduate,CHIN    122C,GUAN D,B,2
S22,Undergraduate,CHIN    126B,TSAI P B,A,4
S22,Undergraduate,CHIN    126B,TSAI P B,A-,2
S22,Undergraduate,CHIN    126B,TSAI P B,A+,1
S22,Undergraduate,CHIN    126B,TSAI P B,B+,5
S22,Undergraduate,CHIN    127C,LI X,A,3
S22,Undergraduate,CHIN    127C,LI X,A-,5
S22,Undergraduate,CHIN    127C,LI X,B+,3
S22,Undergraduate,CHIN    127C,LI X,C,1
S22,Undergraduate,CHIN    138B,TSAI P B,A,5
S22,Undergraduate,CHIN    138B,TSAI P B,A-,11
S22,Undergraduate,CHIN    138B,TSAI P B,B,3
S22,Undergraduate,CHIN    138B,TSAI P B,B+,12
S22,Undergraduate,CHIN    138B,TSAI P B,C-,1
S22,Undergraduate,CHIN    138B,TSAI P B,C+,1
S22,Undergraduate,CHIN    148,WU Y,A,14
S22,Undergraduate,CHIN    148,WU Y,A-,6
S22,Undergraduate,CHIN    148,WU Y,A+,5
S22,Undergraduate,CHIN    148,WU Y,B,5
S22,Undergraduate,CHIN    148,WU Y,B-,3
S22,Undergraduate,CHIN    148,WU Y,B+,4
S22,Undergraduate,CHIN    148,WU Y,C,2
S22,Undergraduate,CHIN    176,XU H,A,38
S22,Undergraduate,CHIN    176,XU H,A-,13
S22,Undergraduate,CHIN    176,XU H,A+,8
S22,Undergraduate,CHIN    176,XU H,B,1
S22,Undergraduate,CHIN    176,XU H,B+,2
S22,Graduate,CHIN    263,XU H,A,9
