Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S22,Undergraduate,GER       2G,KOMMERELL G,A,3
S22,Undergraduate,GER       2G,KOMMERELL G,A-,2
S22,Undergraduate,GER       2G,KOMMERELL G,A+,4
S22,Undergraduate,GER       2G,KOMMERELL G,B+,1
S22,Undergraduate,GER       3,GABRIEL V,A,21
S22,Undergraduate,GER       3,GABRIEL V,A-,5
S22,Undergraduate,GER       3,GABRIEL V,A+,7
S22,Undergraduate,GER       3,GABRIEL V,B,1
S22,Undergraduate,GER       3,GABRIEL V,B-,1
S22,Undergraduate,GER       3,GABRIEL V,B+,3
S22,Undergraduate,GER       3,GABRIEL V,C-,1
S22,Undergraduate,GER       3,GABRIEL V,D,2
S22,Undergraduate,GER       3,GABRIEL V,F,1
S22,Undergraduate,GER       3,PAJAK A K,A,18
S22,Undergraduate,GER       3,PAJAK A K,A-,6
S22,Undergraduate,GER       3,PAJAK A K,A+,1
S22,Undergraduate,GER       3,WHITE K D,A,20
S22,Undergraduate,GER       3,WHITE K D,A+,5
S22,Undergraduate,GER       3,WHITE K D,B,2
S22,Undergraduate,GER       3,WHITE K D,B-,1
S22,Undergraduate,GER       3,WHITE K D,C,1
S22,Undergraduate,GER       6,PAJAK A K,A,5
S22,Undergraduate,GER       6,PAJAK A K,A-,4
S22,Undergraduate,GER       6,PAJAK A K,A+,2
S22,Undergraduate,GER       6,PAJAK A K,B+,2
S22,Undergraduate,GER       6,REDER E R,A,21
S22,Undergraduate,GER       6,REDER E R,A+,7
S22,Undergraduate,GER       8C,HOFMANN M J,A,38
S22,Undergraduate,GER       8C,HOFMANN M J,A-,2
S22,Undergraduate,GER       8C,HOFMANN M J,A+,7
S22,Undergraduate,GER       8C,HOFMANN M J,B+,1
S22,Undergraduate,GER     101C,REDER E R,A,16
S22,Undergraduate,GER     101C,REDER E R,A+,10
S22,Undergraduate,GER     101C,WHITE K D,A,9
S22,Undergraduate,GER     101C,WHITE K D,A+,5
S22,Undergraduate,GER     105C,KOMMERELL G,A+,5
S22,Undergraduate,GER     114,HOFMANN M J,A,22
S22,Undergraduate,GER     114,HOFMANN M J,A-,2
S22,Undergraduate,GER     114,HOFMANN M J,A+,4
S22,Undergraduate,GER     114,HOFMANN M J,B+,1
S22,Undergraduate,GER     177A,KITTLER W D,A,2
S22,Undergraduate,GER     177A,KITTLER W D,A-,1
S22,Undergraduate,GER     177A,KITTLER W D,A+,1
S22,Undergraduate,GER     177A,KITTLER W D,B,2
S22,Undergraduate,GER     177A,KITTLER W D,B+,1
S22,Undergraduate,GER     179C,KITTLER W D,A,2
S22,Undergraduate,GER     179C,KITTLER W D,A-,5
S22,Undergraduate,GER     179C,KITTLER W D,A+,3
S22,Undergraduate,GER     179C,KITTLER W D,B,10
S22,Undergraduate,GER     179C,KITTLER W D,B-,4
S22,Undergraduate,GER     179C,KITTLER W D,B+,5
S22,Undergraduate,GER     179C,KITTLER W D,C,1
S22,Undergraduate,GER     179C,KITTLER W D,C-,1
S22,Undergraduate,GER     179C,KITTLER W D,C+,3
S22,Undergraduate,GER     179C,KITTLER W D,D+,1
S22,Undergraduate,GER     179C,KITTLER W D,F,2
S22,Undergraduate,GER     190,VAGT C,A,1
S22,Undergraduate,GER     190,VAGT C,A+,4
S22,Graduate,INT     200A,GERMAN T C M,A,3
S22,Graduate,INT     200A,GERMAN T C M,A-,4
S22,Undergraduate,PSY     160TG,GERMAN T C M,A,31
S22,Undergraduate,PSY     160TG,GERMAN T C M,B-,1
