Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S22,Undergraduate,CMPSC    32,MATNI Z A,A,39
S22,Undergraduate,CMPSC    32,MATNI Z A,A-,34
S22,Undergraduate,CMPSC    32,MATNI Z A,A+,5
S22,Undergraduate,CMPSC    32,MATNI Z A,B,10
S22,Undergraduate,CMPSC    32,MATNI Z A,B-,6
S22,Undergraduate,CMPSC    32,MATNI Z A,B+,15
S22,Undergraduate,CMPSC    32,MATNI Z A,C,2
S22,Undergraduate,CMPSC    32,MATNI Z A,C-,1
S22,Undergraduate,CMPSC    32,MATNI Z A,C+,7
S22,Undergraduate,CMPSC    32,MATNI Z A,D,3
S22,Undergraduate,CMPSC   111,MATNI Z A,A,18
S22,Undergraduate,CMPSC   111,MATNI Z A,A-,7
S22,Undergraduate,CMPSC   111,MATNI Z A,A+,3
S22,Undergraduate,CMPSC   111,MATNI Z A,B,5
S22,Undergraduate,CMPSC   111,MATNI Z A,B-,2
S22,Undergraduate,CMPSC   111,MATNI Z A,B+,5
S22,Undergraduate,CMPSC   111,MATNI Z A,C,2
S22,Undergraduate,CMPSC   111,MATNI Z A,C-,1
S22,Undergraduate,CMPSC   111,MATNI Z A,C+,3
S22,Undergraduate,CMPSC   111,MATNI Z A,D,1
S22,Undergraduate,CMPSC   111,MATNI Z A,F,3
S22,Undergraduate,COMM    160DS,MATNI Z A,A,15
S22,Undergraduate,COMM    160DS,MATNI Z A,A-,13
S22,Undergraduate,COMM    160DS,MATNI Z A,A+,6
S22,Undergraduate,COMM    160DS,MATNI Z A,B,12
S22,Undergraduate,COMM    160DS,MATNI Z A,B-,2
S22,Undergraduate,COMM    160DS,MATNI Z A,B+,7
S22,Undergraduate,COMM    160DS,MATNI Z A,C,5
S22,Undergraduate,COMM    160DS,MATNI Z A,C+,2
S22,Undergraduate,COMM    160DS,MATNI Z A,D,1
S22,Undergraduate,COMM    160DS,MATNI Z A,F,1
S22,Undergraduate,EARTH    11,MATOZA R S,A,13
S22,Undergraduate,EARTH    11,MATOZA R S,A-,11
S22,Undergraduate,EARTH    11,MATOZA R S,A+,32
S22,Undergraduate,EARTH    11,MATOZA R S,B,4
S22,Undergraduate,EARTH    11,MATOZA R S,B-,2
S22,Undergraduate,EARTH    11,MATOZA R S,B+,7
S22,Undergraduate,EARTH    11,MATOZA R S,C,1
S22,Undergraduate,EARTH    11,MATOZA R S,C+,3
S22,Undergraduate,EARTH    11,MATOZA R S,D+,1
S22,Undergraduate,EARTH    11,MATOZA R S,F,3
S22,Undergraduate,MAT      80AS,FLATLEY D J,A,5
S22,Undergraduate,MAT      80AS,FLATLEY D J,A-,3
S22,Undergraduate,MAT      80AS,FLATLEY D J,A+,3
S22,Undergraduate,MAT      80AS,FLATLEY D J,B,1
S22,Undergraduate,MAT      80AS,FLATLEY D J,B-,1
S22,Undergraduate,MAT      80AS,FLATLEY D J,B+,5
S22,Undergraduate,MAT      80AS,FLATLEY D J,C-,1
S22,Undergraduate,MAT      80AS,FLATLEY D J,D,5
S22,Undergraduate,MAT      80AS,FLATLEY D J,D-,1
S22,Undergraduate,MAT      80AS,FLATLEY D J,F,5
S22,Undergraduate,MAT      80AS,NOVAK M J,A,5
S22,Undergraduate,MAT      80AS,NOVAK M J,A-,3
S22,Undergraduate,MAT      80AS,NOVAK M J,A+,3
S22,Undergraduate,MAT      80AS,NOVAK M J,B,1
S22,Undergraduate,MAT      80AS,NOVAK M J,B-,1
S22,Undergraduate,MAT      80AS,NOVAK M J,B+,5
S22,Undergraduate,MAT      80AS,NOVAK M J,C-,1
S22,Undergraduate,MAT      80AS,NOVAK M J,D,5
S22,Undergraduate,MAT      80AS,NOVAK M J,D-,1
S22,Undergraduate,MAT      80AS,NOVAK M J,F,5
S22,Graduate,MAT     200A,PELJHAN M,A,6
S22,Graduate,MAT     200B,ROADS C,A,7
S22,Graduate,MAT     201A,YERKES K M,A,6
S22,Graduate,MAT     238,JACOBS J M,A,1
S22,Graduate,MAT     238,JACOBS J M,A+,9
S22,Graduate,MAT     255,LEGRADY G T,A,5
S22,Graduate,MAT     255,LEGRADY G T,A+,1
S22,Graduate,MAT     294CR,PELJHAN M,A,6
S22,Graduate,MAT     294CR,PELJHAN M,A+,5
S22,Graduate,MAT     594P,KUCHERA-MORIN,A,5
S22,Graduate,MAT     595M,PELJHAN M,S,14
S22,Undergraduate,MATH      3A,LIN Q,A,22
S22,Undergraduate,MATH      3A,LIN Q,A+,8
S22,Undergraduate,MATH      3A,LIN Q,B,21
S22,Undergraduate,MATH      3A,LIN Q,B+,6
S22,Undergraduate,MATH      3A,LIN Q,C,9
S22,Undergraduate,MATH      3A,LIN Q,C+,16
S22,Undergraduate,MATH      3A,LIN Q,D,3
S22,Undergraduate,MATH      3A,LIN Q,D+,7
S22,Undergraduate,MATH      3A,LIN Q,F,8
S22,Undergraduate,MATH      3B,KUMAR S L,A,58
S22,Undergraduate,MATH      3B,KUMAR S L,A+,12
S22,Undergraduate,MATH      3B,KUMAR S L,B,30
S22,Undergraduate,MATH      3B,KUMAR S L,B+,12
S22,Undergraduate,MATH      3B,KUMAR S L,C,13
S22,Undergraduate,MATH      3B,KUMAR S L,C+,10
S22,Undergraduate,MATH      3B,KUMAR S L,D,3
S22,Undergraduate,MATH      3B,KUMAR S L,D+,2
S22,Undergraduate,MATH      3B,KUMAR S L,F,1
S22,Undergraduate,MATH      3B,PARK J,A,9
S22,Undergraduate,MATH      3B,PARK J,A-,3
S22,Undergraduate,MATH      3B,PARK J,B,3
S22,Undergraduate,MATH      3B,PARK J,B-,2
S22,Undergraduate,MATH      3B,PARK J,B+,8
S22,Undergraduate,MATH      3B,PARK J,C,1
S22,Undergraduate,MATH      3B,PARK J,C-,1
S22,Undergraduate,MATH      3B,PARK J,D,2
S22,Undergraduate,MATH      3B,PARK J,D+,1
S22,Undergraduate,MATH      3B,PARK J,F,3
S22,Undergraduate,MATH      4A,HAJOUJI N,A,8
S22,Undergraduate,MATH      4A,HAJOUJI N,A-,7
S22,Undergraduate,MATH      4A,HAJOUJI N,A+,9
S22,Undergraduate,MATH      4A,HAJOUJI N,B,15
S22,Undergraduate,MATH      4A,HAJOUJI N,B-,11
S22,Undergraduate,MATH      4A,HAJOUJI N,B+,8
S22,Undergraduate,MATH      4A,HAJOUJI N,C,4
S22,Undergraduate,MATH      4A,HAJOUJI N,C-,6
S22,Undergraduate,MATH      4A,HAJOUJI N,C+,5
S22,Undergraduate,MATH      4A,HAJOUJI N,D,12
S22,Undergraduate,MATH      4A,HAJOUJI N,F,13
S22,Undergraduate,MATH      4A,WEI G,A,15
S22,Undergraduate,MATH      4A,WEI G,A-,20
S22,Undergraduate,MATH      4A,WEI G,A+,4
S22,Undergraduate,MATH      4A,WEI G,B,34
S22,Undergraduate,MATH      4A,WEI G,B-,15
S22,Undergraduate,MATH      4A,WEI G,B+,32
S22,Undergraduate,MATH      4A,WEI G,C,67
S22,Undergraduate,MATH      4A,WEI G,C-,14
S22,Undergraduate,MATH      4A,WEI G,C+,28
S22,Undergraduate,MATH      4A,WEI G,D,9
S22,Undergraduate,MATH      4A,WEI G,D-,10
S22,Undergraduate,MATH      4A,WEI G,D+,8
S22,Undergraduate,MATH      4A,WEI G,F,24
S22,Undergraduate,MATH      4B,CHO G,A,32
S22,Undergraduate,MATH      4B,CHO G,A-,24
S22,Undergraduate,MATH      4B,CHO G,A+,20
S22,Undergraduate,MATH      4B,CHO G,B,20
S22,Undergraduate,MATH      4B,CHO G,B-,12
S22,Undergraduate,MATH      4B,CHO G,B+,6
S22,Undergraduate,MATH      4B,CHO G,C,7
S22,Undergraduate,MATH      4B,CHO G,C-,2
S22,Undergraduate,MATH      4B,CHO G,C+,5
S22,Undergraduate,MATH      4B,CHO G,D,1
S22,Undergraduate,MATH      4B,CHO G,D-,1
S22,Undergraduate,MATH      4B,CHO G,D+,1
S22,Undergraduate,MATH      4B,CHO G,F,3
S22,Undergraduate,MATH      4B,PORTER M J,A,188
S22,Undergraduate,MATH      4B,PORTER M J,A-,9
S22,Undergraduate,MATH      4B,PORTER M J,A+,115
S22,Undergraduate,MATH      4B,PORTER M J,B,9
S22,Undergraduate,MATH      4B,PORTER M J,B-,3
S22,Undergraduate,MATH      4B,PORTER M J,B+,11
S22,Undergraduate,MATH      4B,PORTER M J,C,3
S22,Undergraduate,MATH      4B,PORTER M J,C+,6
S22,Undergraduate,MATH      4B,PORTER M J,D-,1
S22,Undergraduate,MATH      4B,PORTER M J,D+,1
S22,Undergraduate,MATH      4B,PORTER M J,F,3
S22,Undergraduate,MATH      6A,HAJOUJI N,A,41
S22,Undergraduate,MATH      6A,HAJOUJI N,A-,19
S22,Undergraduate,MATH      6A,HAJOUJI N,A+,19
S22,Undergraduate,MATH      6A,HAJOUJI N,B,38
S22,Undergraduate,MATH      6A,HAJOUJI N,B-,39
S22,Undergraduate,MATH      6A,HAJOUJI N,B+,15
S22,Undergraduate,MATH      6A,HAJOUJI N,C,25
S22,Undergraduate,MATH      6A,HAJOUJI N,D,34
S22,Undergraduate,MATH      6A,HAJOUJI N,F,16
S22,Undergraduate,MATH      6A,LIM G,A,24
S22,Undergraduate,MATH      6A,LIM G,A-,21
S22,Undergraduate,MATH      6A,LIM G,A+,10
S22,Undergraduate,MATH      6A,LIM G,B,28
S22,Undergraduate,MATH      6A,LIM G,B-,6
S22,Undergraduate,MATH      6A,LIM G,B+,24
S22,Undergraduate,MATH      6A,LIM G,C,9
S22,Undergraduate,MATH      6A,LIM G,C-,3
S22,Undergraduate,MATH      6A,LIM G,C+,6
S22,Undergraduate,MATH      6A,LIM G,D,3
S22,Undergraduate,MATH      6A,LIM G,D-,1
S22,Undergraduate,MATH      6A,LIM G,D+,2
S22,Undergraduate,MATH      6A,LIM G,F,7
S22,Undergraduate,MATH      6B,MULLATH MOHAM,A,20
S22,Undergraduate,MATH      6B,MULLATH MOHAM,A-,7
S22,Undergraduate,MATH      6B,MULLATH MOHAM,A+,2
S22,Undergraduate,MATH      6B,MULLATH MOHAM,B,9
S22,Undergraduate,MATH      6B,MULLATH MOHAM,B-,9
S22,Undergraduate,MATH      6B,MULLATH MOHAM,B+,11
S22,Undergraduate,MATH      6B,MULLATH MOHAM,C,10
S22,Undergraduate,MATH      6B,MULLATH MOHAM,C-,2
S22,Undergraduate,MATH      6B,MULLATH MOHAM,C+,8
S22,Undergraduate,MATH      6B,MULLATH MOHAM,F,6
S22,Undergraduate,MATH      6B,TIAN W,A,45
S22,Undergraduate,MATH      6B,TIAN W,A-,13
S22,Undergraduate,MATH      6B,TIAN W,A+,9
S22,Undergraduate,MATH      6B,TIAN W,B,11
S22,Undergraduate,MATH      6B,TIAN W,B-,12
S22,Undergraduate,MATH      6B,TIAN W,B+,9
S22,Undergraduate,MATH      6B,TIAN W,C,8
S22,Undergraduate,MATH      6B,TIAN W,C+,3
S22,Undergraduate,MATH      6B,TIAN W,D,4
S22,Undergraduate,MATH      6B,TIAN W,D+,2
S22,Undergraduate,MATH      6B,TIAN W,F,4
S22,Undergraduate,MATH      8,AGBOOLA A,A,11
S22,Undergraduate,MATH      8,AGBOOLA A,B,14
S22,Undergraduate,MATH      8,AGBOOLA A,C,8
S22,Undergraduate,MATH      8,AGBOOLA A,D,1
S22,Undergraduate,MATH      8,BRIGHTBILL J,A,6
S22,Undergraduate,MATH      8,BRIGHTBILL J,A-,3
S22,Undergraduate,MATH      8,BRIGHTBILL J,A+,3
S22,Undergraduate,MATH      8,BRIGHTBILL J,B,8
S22,Undergraduate,MATH      8,BRIGHTBILL J,B-,1
S22,Undergraduate,MATH      8,BRIGHTBILL J,B+,1
S22,Undergraduate,MATH      8,BRIGHTBILL J,C,3
S22,Undergraduate,MATH      8,BRIGHTBILL J,C+,3
S22,Undergraduate,MATH      8,BRIGHTBILL J,D,4
S22,Undergraduate,MATH      8,BRIGHTBILL J,D+,2
S22,Undergraduate,MATH      8,BRIGHTBILL J,F,1
S22,Undergraduate,MATH      8,GARFIELD P M,A,29
S22,Undergraduate,MATH      8,GARFIELD P M,A-,7
S22,Undergraduate,MATH      8,GARFIELD P M,A+,7
S22,Undergraduate,MATH      8,GARFIELD P M,B,5
S22,Undergraduate,MATH      8,GARFIELD P M,B-,3
S22,Undergraduate,MATH      8,GARFIELD P M,B+,7
S22,Undergraduate,MATH      8,GARFIELD P M,C-,5
S22,Undergraduate,MATH      8,GARFIELD P M,C+,4
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,A-,4
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,A+,5
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,B,3
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,B-,2
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,B+,4
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,C,1
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,C-,3
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,C+,1
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,D,2
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,D-,2
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,D+,1
S22,Undergraduate,MATH      8,HUISGEN-ZIMME,F,4
S22,Undergraduate,MATH      8,NAGY A,A,2
S22,Undergraduate,MATH      8,NAGY A,A-,7
S22,Undergraduate,MATH      8,NAGY A,A+,9
S22,Undergraduate,MATH      8,NAGY A,B,4
S22,Undergraduate,MATH      8,NAGY A,B-,2
S22,Undergraduate,MATH      8,NAGY A,B+,4
S22,Undergraduate,MATH      8,NAGY A,C,1
S22,Undergraduate,MATH      8,NAGY A,C-,2
S22,Undergraduate,MATH      8,NAGY A,F,3
S22,Undergraduate,MATH      8,TARIKERE ASHO,A,6
S22,Undergraduate,MATH      8,TARIKERE ASHO,A-,4
S22,Undergraduate,MATH      8,TARIKERE ASHO,A+,4
