Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S22,Undergraduate,SPAN      3,MARQUES-PASCU,A,5
S22,Undergraduate,SPAN      3,MARQUES-PASCU,A-,12
S22,Undergraduate,SPAN      3,MARQUES-PASCU,A+,2
S22,Undergraduate,SPAN      3,MARQUES-PASCU,B,19
S22,Undergraduate,SPAN      3,MARQUES-PASCU,B-,13
S22,Undergraduate,SPAN      3,MARQUES-PASCU,B+,4
S22,Undergraduate,SPAN      3,MARQUES-PASCU,C,17
S22,Undergraduate,SPAN      3,MARQUES-PASCU,C-,4
S22,Undergraduate,SPAN      3,MARQUES-PASCU,C+,6
S22,Undergraduate,SPAN      3,MARQUES-PASCU,F,2
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,A,2
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,A-,2
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,B,1
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,B-,1
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,C,3
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,C+,1
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,D,3
S22,Undergraduate,SPAN      3HY,MARQUES-PASCU,D+,1
S22,Undergraduate,SPAN      4,MARQUES-PASCU,A,2
S22,Undergraduate,SPAN      4,MARQUES-PASCU,A-,2
S22,Undergraduate,SPAN      4,MARQUES-PASCU,B,6
S22,Undergraduate,SPAN      4,MARQUES-PASCU,B-,4
S22,Undergraduate,SPAN      4,MARQUES-PASCU,B+,5
S22,Undergraduate,SPAN      4,MARQUES-PASCU,C,1
S22,Undergraduate,SPAN      4,MARQUES-PASCU,C+,2
S22,Undergraduate,SPAN      5,MARQUES-PASCU,A,8
S22,Undergraduate,SPAN      5,MARQUES-PASCU,A-,5
S22,Undergraduate,SPAN      5,MARQUES-PASCU,A+,1
S22,Undergraduate,SPAN      5,MARQUES-PASCU,B,10
S22,Undergraduate,SPAN      5,MARQUES-PASCU,B-,2
S22,Undergraduate,SPAN      5,MARQUES-PASCU,B+,7
S22,Undergraduate,SPAN      5,MARQUES-PASCU,C,2
S22,Undergraduate,SPAN      5,MARQUES-PASCU,C-,1
S22,Undergraduate,SPAN      5,MARQUES-PASCU,D,1
S22,Undergraduate,SPAN      5,MARQUES-PASCU,F,1
S22,Undergraduate,SPAN      6,MARQUES-PASCU,A,15
S22,Undergraduate,SPAN      6,MARQUES-PASCU,A-,11
S22,Undergraduate,SPAN      6,MARQUES-PASCU,B,9
S22,Undergraduate,SPAN      6,MARQUES-PASCU,B-,4
S22,Undergraduate,SPAN      6,MARQUES-PASCU,B+,3
S22,Undergraduate,SPAN      6,MARQUES-PASCU,C,2
S22,Undergraduate,SPAN      6,MARQUES-PASCU,C+,2
S22,Undergraduate,SPAN      6,MARQUES-PASCU,F,1
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,A,1
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,A-,6
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,B,15
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,B-,6
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,B+,4
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,C,2
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,C-,1
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,C+,3
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,D,1
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,D-,1
S22,Undergraduate,SPAN     16A,MARQUES-PASCU,F,4
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,A,2
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,A-,2
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,B,6
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,B-,1
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,C,2
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,C-,1
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,C+,3
S22,Undergraduate,SPAN     16B,MARQUES-PASCU,F,1
S22,Undergraduate,SPAN     25,MARQUES-PASCU,A-,3
S22,Undergraduate,SPAN     25,MARQUES-PASCU,B,6
S22,Undergraduate,SPAN     25,MARQUES-PASCU,B-,4
S22,Undergraduate,SPAN     25,MARQUES-PASCU,B+,1
S22,Undergraduate,SPAN     25,MARQUES-PASCU,C,2
S22,Undergraduate,SPAN     25,MARQUES-PASCU,C+,3
S22,Undergraduate,SPAN     25,MARQUES-PASCU,D,1
S22,Undergraduate,SPAN     25,MARQUES-PASCU,F,1
S22,Undergraduate,SPAN     30,LUPI J P,A,13
S22,Undergraduate,SPAN     30,LUPI J P,A-,14
S22,Undergraduate,SPAN     30,LUPI J P,A+,4
S22,Undergraduate,SPAN     30,LUPI J P,B,2
S22,Undergraduate,SPAN     30,LUPI J P,B-,2
S22,Undergraduate,SPAN     30,LUPI J P,B+,3
S22,Undergraduate,SPAN     30,LUPI J P,C,2
S22,Undergraduate,SPAN     30,LUPI J P,C+,1
S22,Undergraduate,SPAN    100,MIGLIO V G,A,16
S22,Undergraduate,SPAN    100,MIGLIO V G,A-,6
S22,Undergraduate,SPAN    100,MIGLIO V G,A+,8
S22,Undergraduate,SPAN    100,MIGLIO V G,B,13
S22,Undergraduate,SPAN    100,MIGLIO V G,B+,4
S22,Undergraduate,SPAN    100,MIGLIO V G,C,2
S22,Undergraduate,SPAN    100,MIGLIO V G,C-,1
S22,Undergraduate,SPAN    100,MIGLIO V G,F,3
S22,Undergraduate,SPAN    116,ALVES FERREIR,A,6
S22,Undergraduate,SPAN    116,ALVES FERREIR,A-,4
S22,Undergraduate,SPAN    116,ALVES FERREIR,A+,2
S22,Undergraduate,SPAN    116,ALVES FERREIR,B,2
S22,Undergraduate,SPAN    116,ALVES FERREIR,B-,1
S22,Undergraduate,SPAN    116,ALVES FERREIR,B+,3
S22,Undergraduate,SPAN    116,ALVES FERREIR,C,2
S22,Undergraduate,SPAN    116,ALVES FERREIR,F,1
S22,Undergraduate,SPAN    117C,MIGLIO V G,A,16
S22,Undergraduate,SPAN    117C,MIGLIO V G,A-,2
S22,Undergraduate,SPAN    117C,MIGLIO V G,A+,6
S22,Undergraduate,SPAN    117C,MIGLIO V G,B,2
S22,Undergraduate,SPAN    117C,MIGLIO V G,B+,4
S22,Undergraduate,SPAN    138,POOT-HERRERA,A,5
S22,Undergraduate,SPAN    138,POOT-HERRERA,A-,5
S22,Undergraduate,SPAN    138,POOT-HERRERA,A+,4
S22,Undergraduate,SPAN    138,POOT-HERRERA,B,3
S22,Undergraduate,SPAN    138,POOT-HERRERA,B+,3
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,A,19
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,A-,8
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,A+,15
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,B,5
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,B-,2
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,B+,3
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,C,4
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,C-,1
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,D,1
S22,Undergraduate,SPAN    139,GUYTON ACOSTA,F,1
S22,Undergraduate,SPAN    140A,CORTIJO A,A,9
S22,Undergraduate,SPAN    140A,CORTIJO A,A-,1
S22,Undergraduate,SPAN    140A,CORTIJO A,A+,3
S22,Undergraduate,SPAN    145,GONZALES-SMIT,A,6
S22,Undergraduate,SPAN    145,GONZALES-SMIT,A-,13
S22,Undergraduate,SPAN    145,GONZALES-SMIT,B,2
S22,Undergraduate,SPAN    145,GONZALES-SMIT,B+,2
S22,Undergraduate,SPAN    149,GRASSET MOREL,A,22
S22,Undergraduate,SPAN    149,GRASSET MOREL,A-,13
S22,Undergraduate,SPAN    149,GRASSET MOREL,B,4
S22,Undergraduate,SPAN    149,GRASSET MOREL,B-,1
S22,Undergraduate,SPAN    149,GRASSET MOREL,B+,5
S22,Undergraduate,SPAN    149,GRASSET MOREL,C,1
S22,Undergraduate,SPAN    149,GRASSET MOREL,D,1
S22,Undergraduate,SPAN    152,GRASSET MOREL,A,13
S22,Undergraduate,SPAN    152,GRASSET MOREL,A-,2
S22,Undergraduate,SPAN    152,GRASSET MOREL,B,5
S22,Undergraduate,SPAN    152,GRASSET MOREL,B-,2
S22,Undergraduate,SPAN    152,GRASSET MOREL,B+,4
S22,Undergraduate,SPAN    152,GRASSET MOREL,C+,1
S22,Undergraduate,SPAN    154C,EZKERRA VEGAS,A,3
S22,Undergraduate,SPAN    154C,EZKERRA VEGAS,A+,2
S22,Undergraduate,SPAN    154C,EZKERRA VEGAS,B+,1
S22,Undergraduate,SPAN    165,GONZALES-SMIT,A,8
S22,Undergraduate,SPAN    165,GONZALES-SMIT,A-,6
S22,Undergraduate,SPAN    165,GONZALES-SMIT,B+,1
S22,Undergraduate,SPAN    183E,EZKERRA VEGAS,A,4
S22,Undergraduate,SPAN    183E,EZKERRA VEGAS,A+,4
S22,Undergraduate,SPAN    183E,EZKERRA VEGAS,B,1
