Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W10,Graduate,BMSE    230,HAYES C S,A,1
W10,Graduate,BMSE    230,HAYES C S,A-,1
W10,Graduate,BMSE    230,HAYES C S,B+,4
W10,Graduate,BMSE    230,HAYES C S,B,2
W10,Graduate,BMSE    230,LOW D A,A,1
W10,Graduate,BMSE    230,LOW D A,A-,1
W10,Graduate,BMSE    230,LOW D A,B+,4
W10,Graduate,BMSE    230,LOW D A,B,2
W10,Graduate,BMSE    230,SAMUEL C E,A,1
W10,Graduate,BMSE    230,SAMUEL C E,A-,1
W10,Graduate,BMSE    230,SAMUEL C E,B+,4
W10,Graduate,BMSE    230,SAMUEL C E,B,2
W10,Graduate,BMSE    262,ROTHMAN J H,S,34
W10,Graduate,BMSE    265,COOPER J B,S,8
