Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W10,Undergraduate,CNCSP   102,MORGAN M L,P,59
W10,Graduate,CNCSP   209A,CONOLEY C W,S,5
W10,Graduate,CNCSP   209A,COSDEN M A,S,5
W10,Graduate,CNCSP   209A,ISRAEL T,S,5
W10,Graduate,CNCSP   209A,KOEGEL R L,S,8
W10,Graduate,CNCSP   209A,QUIRK M P,S,6
W10,Graduate,CNCSP   209A,SMITH S R,S,8
W10,Graduate,CNCSP   223B,JIMERSON S R,A+,2
W10,Graduate,CNCSP   223B,JIMERSON S R,A,18
W10,Graduate,CNCSP   223B,JIMERSON S R,A-,1
W10,Graduate,CNCSP   255,SMITH S R,A,8
W10,Graduate,CNCSP   257B,QUIRK M P,A+,4
W10,Graduate,CNCSP   257B,QUIRK M P,A,6
W10,Graduate,CNCSP   260B,ZETZER H A,S,17
W10,Graduate,CNCSP   262D,FURLONG M J,A,8
W10,Graduate,CNCSP   263A,KIA-KEATING M,A,11
W10,Graduate,CNCSP   263A,KIA-KEATING M,A-,2
W10,Graduate,CNCSP   263A,KIA-KEATING M,B+,2
W10,Graduate,CNCSP   268B,ISRAEL T,A+,11
W10,Graduate,CNCSP   268B,ISRAEL T,A,6
W10,Graduate,CNCSP   268B,ISRAEL T,A-,3
W10,Graduate,CNCSP   268B,ISRAEL T,B,1
W10,Graduate,CNCSP   270,CONOLEY C W,S,5
W10,Graduate,CNCSP   270,COSDEN M A,S,7
W10,Graduate,CNCSP   270,JIMERSON S R,S,9
W10,Graduate,CNCSP   271B,SMITH S R,S,19
W10,Graduate,CNCSP   273,KOEGEL R L,S,7
W10,Graduate,CNCSP   274B,LAURIE E A,A,9
W10,Graduate,CNCSP   279B,SMITH S R,S,12
W10,Graduate,CNCSP   291C,FURLONG M J,A,18
W10,Graduate,CNCSP   597,KOEGEL R L,S,5
