Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W10,Undergraduate,ESS       2,POWELL R C,A,42
W10,Undergraduate,ESS       2,POWELL R C,A-,4
W10,Undergraduate,ESS       2,POWELL R C,B+,10
W10,Undergraduate,ESS       2,POWELL R C,B,70
W10,Undergraduate,ESS       2,POWELL R C,B-,4
W10,Undergraduate,ESS       2,POWELL R C,C+,4
W10,Undergraduate,ESS       2,POWELL R C,C,45
W10,Undergraduate,ESS       2,POWELL R C,D,2
W10,Undergraduate,ESS       2,POWELL R C,F,1
W10,Undergraduate,ESS       3,CERIALE S,A+,4
W10,Undergraduate,ESS       3,CERIALE S,A,11
W10,Undergraduate,ESS       3,CERIALE S,A-,10
W10,Undergraduate,ESS       3,CERIALE S,B+,14
W10,Undergraduate,ESS       3,CERIALE S,B,4
W10,Undergraduate,ESS       3,CERIALE S,B-,10
W10,Undergraduate,ESS       3,CERIALE S,C+,7
W10,Undergraduate,ESS       3,CERIALE S,C,4
W10,Undergraduate,ESS       3,CERIALE S,F,2
W10,Undergraduate,ESS       4A,POWELL R C,A+,2
W10,Undergraduate,ESS       4A,POWELL R C,A,16
W10,Undergraduate,ESS       4A,POWELL R C,A-,16
W10,Undergraduate,ESS       4A,POWELL R C,B+,5
W10,Undergraduate,ESS       4A,POWELL R C,C+,1
W10,Undergraduate,ESS       4A,POWELL R C,F,1
W10,Undergraduate,ESS       5A,HOUGHTON B L,A,42
W10,Undergraduate,ESS       5A,HOUGHTON B L,B+,18
W10,Undergraduate,ESS       5A,HOUGHTON B L,B,78
W10,Undergraduate,ESS       5A,HOUGHTON B L,C+,10
W10,Undergraduate,ESS       5A,HOUGHTON B L,C,8
W10,Undergraduate,ESS       5A,HOUGHTON B L,D,4
W10,Undergraduate,ESS       5A,HOUGHTON B L,F,7
W10,Undergraduate,ESS       7,TUCKNOTT R A,A,20
W10,Undergraduate,ESS       7,TUCKNOTT R A,A-,4
W10,Undergraduate,ESS       7,TUCKNOTT R A,B+,2
W10,Undergraduate,ESS       7,TUCKNOTT R A,B-,1
W10,Undergraduate,ESS      40,GILBERT A R,A+,2
W10,Undergraduate,ESS      40,GILBERT A R,A,7
W10,Undergraduate,ESS      40,GILBERT A R,A-,12
W10,Undergraduate,ESS      40,GILBERT A R,B+,9
W10,Undergraduate,ESS      40,GILBERT A R,B,10
W10,Undergraduate,ESS      40,GILBERT A R,B-,11
W10,Undergraduate,ESS      40,GILBERT A R,C+,43
W10,Undergraduate,ESS      40,GILBERT A R,C,24
W10,Undergraduate,ESS      40,GILBERT A R,C-,5
W10,Undergraduate,ESS      40,GILBERT A R,D,5
W10,Undergraduate,ESS      40,GILBERT A R,F,3
W10,Undergraduate,ESS      47,AGUILAR P T,A+,25
W10,Undergraduate,ESS      47,AGUILAR P T,A,3
W10,Undergraduate,ESS      47,AGUILAR P T,A-,4
W10,Undergraduate,ESS      47,AGUILAR P T,B+,7
W10,Undergraduate,ESS      47,AGUILAR P T,B,5
W10,Undergraduate,ESS      47,AGUILAR P T,B-,4
W10,Undergraduate,ESS      47,AGUILAR P T,C+,1
W10,Undergraduate,ESS      47,AGUILAR P T,C,5
W10,Undergraduate,ESS      47,AGUILAR P T,C-,2
W10,Undergraduate,ESS      47,AGUILAR P T,D+,2
W10,Undergraduate,ESS      47,AGUILAR P T,F,4
W10,Undergraduate,ESS      96,JAMIESON A E,F,1
W10,Undergraduate,ESS      96,JAMIESON A E,P,58
W10,Undergraduate,ESS      96,JAMIESON A E,NP,3
W10,Undergraduate,ESS     100,HAMILTON J M,A+,2
W10,Undergraduate,ESS     100,HAMILTON J M,A,6
W10,Undergraduate,ESS     100,HAMILTON J M,A-,13
W10,Undergraduate,ESS     100,HAMILTON J M,B+,7
W10,Undergraduate,ESS     100,HAMILTON J M,B,10
W10,Undergraduate,ESS     100,HAMILTON J M,B-,3
W10,Undergraduate,ESS     100,HAMILTON J M,C+,6
W10,Undergraduate,ESS     100,HAMILTON J M,D,1
W10,Undergraduate,ESS     100,HAMILTON J M,F,1
W10,Undergraduate,ESS     101,CERIALE S,A+,1
W10,Undergraduate,ESS     101,CERIALE S,A,4
W10,Undergraduate,ESS     101,CERIALE S,A-,6
W10,Undergraduate,ESS     101,CERIALE S,B+,2
W10,Undergraduate,ESS     101,CERIALE S,B,3
W10,Undergraduate,ESS     101,CERIALE S,B-,4
W10,Undergraduate,ESS     101,CERIALE S,C+,1
W10,Undergraduate,ESS     101,CERIALE S,C,3
W10,Undergraduate,ESS     101,CERIALE S,D,1
W10,Undergraduate,ESS     101,CERIALE S,F,1
W10,Undergraduate,ESS     130,FERRER A J,A,5
W10,Undergraduate,ESS     130,FERRER A J,B+,2
W10,Undergraduate,ESS     130,FERRER A J,B,18
W10,Undergraduate,ESS     130,FERRER A J,C,8
W10,Undergraduate,ESS     130,FERRER A J,C-,1
W10,Undergraduate,ESS     130,FERRER A J,D,4
W10,Undergraduate,ESS     130,FERRER A J,F,1
W10,Undergraduate,ESS     140,HAMILTON J M,A+,1
W10,Undergraduate,ESS     140,HAMILTON J M,A,4
W10,Undergraduate,ESS     140,HAMILTON J M,A-,6
W10,Undergraduate,ESS     140,HAMILTON J M,B+,1
W10,Undergraduate,ESS     140,HAMILTON J M,B,15
W10,Undergraduate,ESS     140,HAMILTON J M,B-,6
W10,Undergraduate,ESS     140,HAMILTON J M,C+,6
W10,Undergraduate,ESS     140,HAMILTON J M,C,5
W10,Undergraduate,ESS     140,HAMILTON J M,C-,2
W10,Undergraduate,ESS     140,HAMILTON J M,D+,1
W10,Undergraduate,ESS     149,ROMEO J A,A,6
W10,Undergraduate,ESS     149,ROMEO J A,A-,7
W10,Undergraduate,ESS     149,ROMEO J A,B+,6
W10,Undergraduate,ESS     149,ROMEO J A,B,6
W10,Undergraduate,ESS     149,ROMEO J A,B-,4
W10,Undergraduate,ESS     149,ROMEO J A,C+,5
W10,Undergraduate,ESS     149,ROMEO J A,C,4
W10,Undergraduate,ESS     149,ROMEO J A,C-,1
W10,Undergraduate,ESS     149,ROMEO J A,D,1
W10,Undergraduate,ESS     150,ROMEO J A,A,7
W10,Undergraduate,ESS     150,ROMEO J A,A-,2
W10,Undergraduate,ESS     150,ROMEO J A,B+,4
W10,Undergraduate,ESS     150,ROMEO J A,B,4
W10,Undergraduate,ESS     150,ROMEO J A,B-,4
W10,Undergraduate,ESS     150,ROMEO J A,C+,4
W10,Undergraduate,ESS     150,ROMEO J A,C,5
W10,Undergraduate,ESS     160,HAMILTON J M,A+,5
W10,Undergraduate,ESS     160,HAMILTON J M,A,9
W10,Undergraduate,ESS     160,HAMILTON J M,A-,13
W10,Undergraduate,ESS     160,HAMILTON J M,B+,8
W10,Undergraduate,ESS     160,HAMILTON J M,B,5
W10,Undergraduate,ESS     160,HAMILTON J M,B-,3
W10,Undergraduate,ESS     160,HAMILTON J M,C+,3
W10,Undergraduate,ESS     170E,WILSON G F,A,12
W10,Undergraduate,ESS     170E,WILSON G F,A-,1
W10,Undergraduate,ESS     170E,WILSON G F,B+,3
W10,Undergraduate,ESS     170E,WILSON G F,B,2
W10,Undergraduate,ESS     170E,WILSON G F,B-,1
W10,Undergraduate,ESS     170E,WILSON G F,C+,2
W10,Undergraduate,ESS     170E,WILSON G F,C,1
W10,Undergraduate,ESS     170E,WILSON G F,C-,1
W10,Undergraduate,ESS     170F,WILSON G F,A,11
W10,Undergraduate,ESS     170F,WILSON G F,A-,1
W10,Undergraduate,ESS     170F,WILSON G F,B+,2
W10,Undergraduate,ESS     170F,WILSON G F,B,1
W10,Undergraduate,ESS     170F,WILSON G F,B-,2
W10,Undergraduate,ESS     170F,WILSON G F,C+,1
W10,Undergraduate,ESS     176,JAMIESON A E,A,13
W10,Undergraduate,ESS     176,JAMIESON A E,A-,1
