Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W10,Undergraduate,INT       1,CALDWELL R C,P,22
W10,Undergraduate,INT       1,GRANATINO C M,P,23
W10,Undergraduate,INT       1,PLATOFF A M,P,22
W10,Undergraduate,INT       1,PLATOFF A M,NP,1
W10,Undergraduate,INT      94EI,REICH N O,P,19
W10,Undergraduate,INT      94FH,SINGER G H S,P,12
W10,Undergraduate,INT      94GQ,GARCIA M T,P,15
W10,Undergraduate,INT      94HZ,KING W D,P,19
W10,Undergraduate,INT      94IE,FUJINO D C,P,15
W10,Undergraduate,INT      94IR,HALL P,P,24
W10,Undergraduate,INT      94JK,MCCRACKEN E,P,20
W10,Undergraduate,INT      94JK,MCCRACKEN E,NP,2
W10,Undergraduate,INT      94JP,ROQUE RAMIREZ,P,20
W10,Undergraduate,INT      94JS,STILL C J,F,5
W10,Undergraduate,INT      94JS,STILL C J,P,12
W10,Undergraduate,INT      94JV,COOPER D,P,29
W10,Undergraduate,INT      94KB,DUTSCH D,P,23
W10,Undergraduate,INT      94KB,DUTSCH D,NP,1
W10,Undergraduate,INT      94KH,GHOSH B,P,23
W10,Undergraduate,INT      94KN,REVLIN R,P,20
W10,Undergraduate,INT      94KO,WOODS C A,P,10
W10,Undergraduate,INT      94KO,WOODS C A,NP,1
W10,Undergraduate,INT      94KU,ASHBY W J,P,16
W10,Undergraduate,INT      94KU,ASHBY W J,NP,1
W10,Undergraduate,INT      94LT,MORRISON D R,P,26
W10,Undergraduate,INT      94NE,COLLINS P M,F,1
W10,Undergraduate,INT      94NE,COLLINS P M,P,16
W10,Undergraduate,INT     100WS,BARNES S L,A+,1
W10,Undergraduate,INT     100WS,BARNES S L,A,2
W10,Undergraduate,INT     100WS,BARNES S L,A-,1
W10,Undergraduate,INT     100WS,BARNES S L,B+,2
W10,Undergraduate,INT     184KF,FOLTZ K R,A+,1
W10,Undergraduate,INT     184KF,FOLTZ K R,A,9
W10,Undergraduate,INT     184KF,FOLTZ K R,A-,3
W10,Undergraduate,INT     184KF,FOLTZ K R,B+,1
W10,Undergraduate,INT     185AP,ENDERS J,A+,1
W10,Undergraduate,INT     185AP,ENDERS J,A,3
W10,Undergraduate,INT     185AP,ENDERS J,B+,1
W10,Undergraduate,INT     190MA,SCHNEIDER B E,P,11
W10,Undergraduate,INT     190MB,SCHNEIDER B E,P,7
W10,Undergraduate,INT     192DC,O'CONNOR A M,P,32
W10,Undergraduate,INT     199DC,O'CONNOR A M,A,5
W10,Undergraduate,INT     199DC,O'CONNOR A M,A-,4
W10,Undergraduate,INT     199DC,O'CONNOR A M,B+,11
W10,Undergraduate,INT     199DC,O'CONNOR A M,B,7
W10,Undergraduate,INT     199DC,O'CONNOR A M,B-,2
W10,Undergraduate,INT     199DC,O'CONNOR A M,C+,3
