Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W10,Undergraduate,MUS A    34,BAMBACH P A,A,16
W10,Undergraduate,MUS A    34,BAMBACH P A,A-,1
W10,Undergraduate,MUS A    40,HALADYNA J J,A,4
W10,Undergraduate,MUS A    40,HALADYNA J J,F,1
W10,Undergraduate,MUS A    42,RINTOUL R R,A+,1
W10,Undergraduate,MUS A    42,RINTOUL R R,A,33
W10,Undergraduate,MUS A    47S,NATHAN J S,A+,7
W10,Undergraduate,MUS A    47S,NATHAN J S,A,15
W10,Undergraduate,MUS A    70I,MARCUS S L,A,5
W10,Undergraduate,MUS A    70V,BELL V R,A+,72
W10,Undergraduate,MUS A   134,BAMBACH P A,A,17
W10,Undergraduate,MUS A   134,BAMBACH P A,A-,1
W10,Undergraduate,MUS A   142,RINTOUL R R,A,33
W10,Undergraduate,MUS A   144,BAMBACH P A,A+,3
W10,Undergraduate,MUS A   144,BAMBACH P A,A,5
W10,Undergraduate,MUS A   144,BAMBACH P A,A-,1
W10,Undergraduate,MUS A   147S,NATHAN J S,A+,5
W10,Undergraduate,MUS A   147S,NATHAN J S,A,10
W10,Undergraduate,MUS A   170I,MARCUS S L,A,6
W10,Undergraduate,MUS A   170M,MARCUS S L,A,8
W10,Undergraduate,MUS A   170V,BELL V R,A+,27
W10,Graduate,MUS A   236,GERVAIS M M,A+,7
W10,Graduate,MUS A   236,GERVAIS M M,A,6
W10,Graduate,MUS A   236,GERVAIS M M,A-,2
W10,Graduate,MUS A   238P,WILLIAMS S,A,4
W10,Graduate,MUS A   238P,WILLIAMS S,A-,1
W10,Graduate,MUS A   240,HALADYNA J J,A+,2
W10,Graduate,MUS A   240,HALADYNA J J,A,7
W10,Graduate,MUS A   240,HALADYNA J J,A-,2
W10,Graduate,MUS A   244,BAMBACH P A,A+,1
W10,Graduate,MUS A   244,BAMBACH P A,A,5
W10,Graduate,MUS A   244,BAMBACH P A,A-,1
W10,Graduate,MUS A   244,CALLUS H S,A,5
W10,Graduate,MUS A   244,KOENIG R J,A,11
W10,Graduate,MUS A   244,KOENIG R J,F,1
W10,Graduate,MUS A   270M,MARCUS S L,A,5
