Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W10,Undergraduate,SOC       1,RIOS V M,A,124
W10,Undergraduate,SOC       1,RIOS V M,A-,74
W10,Undergraduate,SOC       1,RIOS V M,B+,41
W10,Undergraduate,SOC       1,RIOS V M,B,69
W10,Undergraduate,SOC       1,RIOS V M,B-,31
W10,Undergraduate,SOC       1,RIOS V M,C+,18
W10,Undergraduate,SOC       1,RIOS V M,C,11
W10,Undergraduate,SOC       1,RIOS V M,C-,8
W10,Undergraduate,SOC       1,RIOS V M,D+,2
W10,Undergraduate,SOC       1,RIOS V M,D,3
W10,Undergraduate,SOC       1,RIOS V M,D-,2
W10,Undergraduate,SOC       1,RIOS V M,F,6
W10,Undergraduate,SOC       1H,RIOS V M,A,13
W10,Undergraduate,SOC       1H,RIOS V M,A-,2
W10,Undergraduate,SOC     105E,CLEMENCON R,A+,3
W10,Undergraduate,SOC     105E,CLEMENCON R,A,10
W10,Undergraduate,SOC     105E,CLEMENCON R,A-,16
W10,Undergraduate,SOC     105E,CLEMENCON R,B+,11
W10,Undergraduate,SOC     105E,CLEMENCON R,B,14
W10,Undergraduate,SOC     105E,CLEMENCON R,B-,5
W10,Undergraduate,SOC     105E,CLEMENCON R,C+,6
W10,Undergraduate,SOC     105E,CLEMENCON R,C,2
W10,Undergraduate,SOC     105E,CLEMENCON R,C-,1
W10,Undergraduate,SOC     105E,CLEMENCON R,D,1
W10,Undergraduate,SOC     105E,CLEMENCON R,F,1
W10,Undergraduate,SOC     108C,CREMERS M H,A,14
W10,Undergraduate,SOC     108C,CREMERS M H,A-,13
W10,Undergraduate,SOC     108C,CREMERS M H,B+,13
W10,Undergraduate,SOC     108C,CREMERS M H,B,11
W10,Undergraduate,SOC     108C,CREMERS M H,B-,3
W10,Undergraduate,SOC     108C,CREMERS M H,C+,2
W10,Undergraduate,SOC     108C,CREMERS M H,C,1
W10,Undergraduate,SOC     108C,CREMERS M H,F,1
W10,Undergraduate,SOC     108F,WHITTLE M D,A+,6
W10,Undergraduate,SOC     108F,WHITTLE M D,A,14
W10,Undergraduate,SOC     108F,WHITTLE M D,A-,12
W10,Undergraduate,SOC     108F,WHITTLE M D,B+,11
W10,Undergraduate,SOC     108F,WHITTLE M D,B,3
W10,Undergraduate,SOC     108F,WHITTLE M D,B-,6
W10,Undergraduate,SOC     108F,WHITTLE M D,C+,2
W10,Undergraduate,SOC     108F,WHITTLE M D,C,4
W10,Undergraduate,SOC     108F,WHITTLE M D,C-,1
W10,Undergraduate,SOC     108F,WHITTLE M D,D,2
W10,Undergraduate,SOC     108F,WHITTLE M D,F,2
W10,Undergraduate,SOC     108ST,GEORGE A M,A,9
W10,Undergraduate,SOC     108ST,GEORGE A M,A-,10
W10,Undergraduate,SOC     108ST,GEORGE A M,B+,7
W10,Undergraduate,SOC     108ST,GEORGE A M,B,5
W10,Undergraduate,SOC     108ST,GEORGE A M,B-,7
W10,Undergraduate,SOC     108ST,GEORGE A M,C+,2
W10,Undergraduate,SOC     108ST,GEORGE A M,C,2
W10,Undergraduate,SOC     108ST,GEORGE A M,C-,3
W10,Undergraduate,SOC     108ST,GEORGE A M,D,1
W10,Undergraduate,SOC     108ST,GEORGE A M,F,1
W10,Undergraduate,SOC     118C,CRUZ J D,A+,1
W10,Undergraduate,SOC     118C,CRUZ J D,A,14
