Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,C LIT    27,JULLIEN D M,A+,1
W11,Undergraduate,C LIT    27,JULLIEN D M,A,15
W11,Undergraduate,C LIT    27,JULLIEN D M,A-,4
W11,Undergraduate,C LIT    27,JULLIEN D M,B+,7
W11,Undergraduate,C LIT    27,JULLIEN D M,B,16
W11,Undergraduate,C LIT    27,JULLIEN D M,B-,1
W11,Undergraduate,C LIT    27,JULLIEN D M,C+,1
W11,Undergraduate,C LIT    27,JULLIEN D M,C,5
W11,Undergraduate,C LIT    27,JULLIEN D M,C-,2
W11,Undergraduate,C LIT    27,JULLIEN D M,D,1
W11,Undergraduate,C LIT    27,JULLIEN D M,F,2
W11,Undergraduate,C LIT    27,KOSIK K S,A+,1
W11,Undergraduate,C LIT    27,KOSIK K S,A,15
W11,Undergraduate,C LIT    27,KOSIK K S,A-,4
W11,Undergraduate,C LIT    27,KOSIK K S,B+,7
W11,Undergraduate,C LIT    27,KOSIK K S,B,16
W11,Undergraduate,C LIT    27,KOSIK K S,B-,1
W11,Undergraduate,C LIT    27,KOSIK K S,C+,1
W11,Undergraduate,C LIT    27,KOSIK K S,C,5
W11,Undergraduate,C LIT    27,KOSIK K S,C-,2
W11,Undergraduate,C LIT    27,KOSIK K S,D,1
W11,Undergraduate,C LIT    27,KOSIK K S,F,2
W11,Undergraduate,C LIT    30B,HOLLAND J,A+,4
W11,Undergraduate,C LIT    30B,HOLLAND J,A,37
W11,Undergraduate,C LIT    30B,HOLLAND J,A-,26
W11,Undergraduate,C LIT    30B,HOLLAND J,B+,9
W11,Undergraduate,C LIT    30B,HOLLAND J,B,17
W11,Undergraduate,C LIT    30B,HOLLAND J,B-,7
W11,Undergraduate,C LIT    30B,HOLLAND J,C+,2
W11,Undergraduate,C LIT    30B,HOLLAND J,C,2
W11,Undergraduate,C LIT    30B,HOLLAND J,F,1
W11,Undergraduate,C LIT   107,SKENAZI E C,A,3
W11,Undergraduate,C LIT   107,SKENAZI E C,A-,3
W11,Undergraduate,C LIT   107,SKENAZI E C,B+,2
W11,Undergraduate,C LIT   107,SKENAZI E C,B,1
W11,Undergraduate,C LIT   107,SKENAZI E C,B-,4
W11,Undergraduate,C LIT   148,HOLLAND J,A,11
W11,Undergraduate,C LIT   148,HOLLAND J,A-,6
W11,Undergraduate,C LIT   148,HOLLAND J,B+,1
W11,Undergraduate,C LIT   148,HOLLAND J,B,2
W11,Undergraduate,C LIT   148,HOLLAND J,F,1
W11,Undergraduate,C LIT   171,PRIETO E,A+,1
W11,Undergraduate,C LIT   171,PRIETO E,A,8
W11,Undergraduate,C LIT   171,PRIETO E,A-,5
W11,Undergraduate,C LIT   171,PRIETO E,B+,7
W11,Undergraduate,C LIT   171,PRIETO E,B,9
W11,Undergraduate,C LIT   171,PRIETO E,B-,2
W11,Undergraduate,C LIT   171,PRIETO E,C+,1
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,A,7
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,A-,6
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,B+,4
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,B,5
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,B-,3
W11,Undergraduate,C LIT   188,CAMILO-DOS-SA,F,1
