Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,CH E    110A,SHELL M S,A+,4
W11,Undergraduate,CH E    110A,SHELL M S,A,8
W11,Undergraduate,CH E    110A,SHELL M S,A-,8
W11,Undergraduate,CH E    110A,SHELL M S,B+,7
W11,Undergraduate,CH E    110A,SHELL M S,B,8
W11,Undergraduate,CH E    110A,SHELL M S,B-,12
W11,Undergraduate,CH E    110A,SHELL M S,C+,7
W11,Undergraduate,CH E    110A,SHELL M S,C,6
W11,Undergraduate,CH E    110A,SHELL M S,C-,6
W11,Undergraduate,CH E    110A,SHELL M S,D+,4
W11,Undergraduate,CH E    110A,SHELL M S,D-,1
W11,Undergraduate,CH E    110A,SHELL M S,F,2
W11,Undergraduate,CH E    120B,SQUIRES T M,A+,1
W11,Undergraduate,CH E    120B,SQUIRES T M,A,9
W11,Undergraduate,CH E    120B,SQUIRES T M,A-,3
W11,Undergraduate,CH E    120B,SQUIRES T M,B+,5
W11,Undergraduate,CH E    120B,SQUIRES T M,B,9
W11,Undergraduate,CH E    120B,SQUIRES T M,B-,6
W11,Undergraduate,CH E    120B,SQUIRES T M,C+,7
W11,Undergraduate,CH E    120B,SQUIRES T M,C,6
W11,Undergraduate,CH E    120B,SQUIRES T M,C-,3
W11,Undergraduate,CH E    120B,SQUIRES T M,D,2
W11,Undergraduate,CH E    124,THEOFANOUS T,A,3
W11,Undergraduate,CH E    124,THEOFANOUS T,B+,2
W11,Undergraduate,CH E    124,THEOFANOUS T,C+,1
W11,Undergraduate,CH E    124,THEOFANOUS T,C,2
W11,Undergraduate,CH E    132C,PETERS B G,A+,2
W11,Undergraduate,CH E    132C,PETERS B G,A,2
W11,Undergraduate,CH E    132C,PETERS B G,A-,2
W11,Undergraduate,CH E    132C,PETERS B G,B+,6
W11,Undergraduate,CH E    132C,PETERS B G,B,13
W11,Undergraduate,CH E    132C,PETERS B G,B-,3
W11,Undergraduate,CH E    132C,PETERS B G,C+,1
W11,Undergraduate,CH E    132C,PETERS B G,C,8
W11,Undergraduate,CH E    132C,PETERS B G,C-,3
W11,Undergraduate,CH E    132C,PETERS B G,D,1
W11,Undergraduate,CH E    132C,PETERS B G,F,1
W11,Undergraduate,CH E    160,KRAMER E J,A,7
W11,Undergraduate,CH E    160,KRAMER E J,A-,2
W11,Undergraduate,CH E    160,KRAMER E J,B+,5
W11,Undergraduate,CH E    160,KRAMER E J,B,1
W11,Undergraduate,CH E    160,KRAMER E J,C+,1
W11,Undergraduate,CH E    180B,DAUGHERTY P S,A,8
W11,Undergraduate,CH E    180B,DAUGHERTY P S,A-,2
W11,Undergraduate,CH E    180B,DAUGHERTY P S,B+,2
W11,Undergraduate,CH E    180B,DAUGHERTY P S,B,15
W11,Undergraduate,CH E    180B,DAUGHERTY P S,B-,7
W11,Undergraduate,CH E    180B,DAUGHERTY P S,C+,4
W11,Undergraduate,CH E    180B,DAUGHERTY P S,C,1
W11,Undergraduate,CH E    180B,MITRAGOTRI S,A,8
W11,Undergraduate,CH E    180B,MITRAGOTRI S,A-,2
W11,Undergraduate,CH E    180B,MITRAGOTRI S,B+,2
W11,Undergraduate,CH E    180B,MITRAGOTRI S,B,15
W11,Undergraduate,CH E    180B,MITRAGOTRI S,B-,7
W11,Undergraduate,CH E    180B,MITRAGOTRI S,C+,4
W11,Undergraduate,CH E    180B,MITRAGOTRI S,C,1
W11,Undergraduate,CH E    184A,CHMELKA B F,A,5
W11,Undergraduate,CH E    184A,CHMELKA B F,A-,5
W11,Undergraduate,CH E    184A,CHMELKA B F,B+,7
W11,Undergraduate,CH E    184A,CHMELKA B F,B,8
W11,Undergraduate,CH E    184A,CHMELKA B F,B-,2
W11,Undergraduate,CH E    184A,CHMELKA B F,C+,4
W11,Undergraduate,CH E    184A,CHMELKA B F,C,7
W11,Undergraduate,CH E    184A,CHMELKA B F,C-,2
W11,Undergraduate,CH E    184A,CHMELKA B F,D+,2
W11,Undergraduate,CH E    184A,DOHERTY M F,A,5
W11,Undergraduate,CH E    184A,DOHERTY M F,A-,5
W11,Undergraduate,CH E    184A,DOHERTY M F,B+,7
W11,Undergraduate,CH E    184A,DOHERTY M F,B,8
W11,Undergraduate,CH E    184A,DOHERTY M F,B-,2
W11,Undergraduate,CH E    184A,DOHERTY M F,C+,4
W11,Undergraduate,CH E    184A,DOHERTY M F,C,7
W11,Undergraduate,CH E    184A,DOHERTY M F,C-,2
W11,Undergraduate,CH E    184A,DOHERTY M F,D+,2
W11,Graduate,CH E    210B,FREDRICKSON G,A+,1
W11,Graduate,CH E    210B,FREDRICKSON G,A,4
W11,Graduate,CH E    210B,FREDRICKSON G,A-,1
W11,Graduate,CH E    210B,FREDRICKSON G,B+,2
W11,Graduate,CH E    210B,FREDRICKSON G,B,1
W11,Graduate,CH E    210B,FREDRICKSON G,B-,1
W11,Graduate,CH E    220B,SQUIRES T M,A+,2
W11,Graduate,CH E    220B,SQUIRES T M,A,3
W11,Graduate,CH E    220B,SQUIRES T M,A-,2
W11,Graduate,CH E    220B,SQUIRES T M,B+,2
W11,Graduate,CH E    222A,ISRAELACHVILI,A+,2
W11,Graduate,CH E    222A,ISRAELACHVILI,A,2
W11,Graduate,CH E    222A,ISRAELACHVILI,B,2
W11,Graduate,CH E    240A,GORDON M J,A+,1
W11,Graduate,CH E    240A,GORDON M J,A,5
W11,Graduate,CH E    240A,GORDON M J,A-,1
W11,Graduate,CH E    240A,GORDON M J,B+,3
W11,Graduate,CH E    240A,GORDON M J,B,4
W11,Graduate,CH E    240A,GORDON M J,B-,1
W11,Graduate,CH E    290,MCFARLAND E W,S,62
W11,Graduate,CH E    291,GORDON M J,S,6
W11,Graduate,CH E    596,FREDRICKSON G,S,5
W11,Graduate,CH E    599,CHMELKA B F,S,5
W11,Graduate,CH E    599,SQUIRES T M,S,5
