Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W11,Graduate,ED   LA 320W,ELLIS D,A+,7
W11,Graduate,ED   LA 320W,ELLIS D,A,6
W11,Graduate,ED   LA 320W,ELLIS D,A-,6
W11,Graduate,ED   LA 320W,ELLIS D,B+,4
W11,Graduate,ED   LA 320W,ELLIS D,B,1
W11,Graduate,ED   LA 320W,HOOSON T L,A+,7
W11,Graduate,ED   LA 320W,HOOSON T L,A,6
W11,Graduate,ED   LA 320W,HOOSON T L,A-,6
W11,Graduate,ED   LA 320W,HOOSON T L,B+,4
W11,Graduate,ED   LA 320W,HOOSON T L,B,1
W11,Graduate,ED   LA 320W,LIPPINCOTT A,A+,7
W11,Graduate,ED   LA 320W,LIPPINCOTT A,A,6
W11,Graduate,ED   LA 320W,LIPPINCOTT A,A-,6
W11,Graduate,ED   LA 320W,LIPPINCOTT A,B+,4
W11,Graduate,ED   LA 320W,LIPPINCOTT A,B,1
