Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,HIST      2A,JI X,A+,4
W11,Undergraduate,HIST      2A,JI X,A,37
W11,Undergraduate,HIST      2A,JI X,A-,34
W11,Undergraduate,HIST      2A,JI X,B+,37
W11,Undergraduate,HIST      2A,JI X,B,30
W11,Undergraduate,HIST      2A,JI X,B-,12
W11,Undergraduate,HIST      2A,JI X,C+,11
W11,Undergraduate,HIST      2A,JI X,C,3
W11,Undergraduate,HIST      2A,JI X,F,4
W11,Undergraduate,HIST      2B,DUTRA F A,A+,2
W11,Undergraduate,HIST      2B,DUTRA F A,A,73
W11,Undergraduate,HIST      2B,DUTRA F A,A-,72
W11,Undergraduate,HIST      2B,DUTRA F A,B+,92
W11,Undergraduate,HIST      2B,DUTRA F A,B,86
W11,Undergraduate,HIST      2B,DUTRA F A,B-,48
W11,Undergraduate,HIST      2B,DUTRA F A,C+,27
W11,Undergraduate,HIST      2B,DUTRA F A,C,22
W11,Undergraduate,HIST      2B,DUTRA F A,C-,6
W11,Undergraduate,HIST      2B,DUTRA F A,D,1
W11,Undergraduate,HIST      2B,DUTRA F A,F,7
W11,Undergraduate,HIST      4B,LANSING C L,A,40
W11,Undergraduate,HIST      4B,LANSING C L,A-,62
W11,Undergraduate,HIST      4B,LANSING C L,B+,54
W11,Undergraduate,HIST      4B,LANSING C L,B,72
W11,Undergraduate,HIST      4B,LANSING C L,B-,37
W11,Undergraduate,HIST      4B,LANSING C L,C+,32
W11,Undergraduate,HIST      4B,LANSING C L,C,16
W11,Undergraduate,HIST      4B,LANSING C L,C-,6
W11,Undergraduate,HIST      4B,LANSING C L,D+,1
W11,Undergraduate,HIST      4B,LANSING C L,D,4
W11,Undergraduate,HIST      4B,LANSING C L,F,11
W11,Undergraduate,HIST     17B,MAJEWSKI J D,A+,2
W11,Undergraduate,HIST     17B,MAJEWSKI J D,A,22
W11,Undergraduate,HIST     17B,MAJEWSKI J D,A-,49
W11,Undergraduate,HIST     17B,MAJEWSKI J D,B+,55
W11,Undergraduate,HIST     17B,MAJEWSKI J D,B,89
W11,Undergraduate,HIST     17B,MAJEWSKI J D,B-,93
W11,Undergraduate,HIST     17B,MAJEWSKI J D,C+,53
W11,Undergraduate,HIST     17B,MAJEWSKI J D,C,30
W11,Undergraduate,HIST     17B,MAJEWSKI J D,C-,9
W11,Undergraduate,HIST     17B,MAJEWSKI J D,D+,4
W11,Undergraduate,HIST     17B,MAJEWSKI J D,D,2
W11,Undergraduate,HIST     17B,MAJEWSKI J D,D-,2
W11,Undergraduate,HIST     17B,MAJEWSKI J D,F,7
W11,Undergraduate,HIST    102HO,ALAGONA P S,A,5
W11,Undergraduate,HIST    102HO,ALAGONA P S,A-,3
W11,Undergraduate,HIST    102HO,ALAGONA P S,B+,2
W11,Undergraduate,HIST    102HO,ALAGONA P S,B,1
W11,Undergraduate,HIST    102HO,ALAGONA P S,B-,2
W11,Undergraduate,HIST    102HO,ALAGONA P S,C+,1
W11,Undergraduate,HIST    102HO,ALAGONA P S,C,3
W11,Undergraduate,HIST    102HO,ALAGONA P S,C-,1
W11,Undergraduate,HIST    102N,NORTH M F,A,4
W11,Undergraduate,HIST    102N,NORTH M F,A-,4
W11,Undergraduate,HIST    102N,NORTH M F,B+,3
W11,Undergraduate,HIST    102N,NORTH M F,B,5
W11,Undergraduate,HIST    102N,NORTH M F,B-,4
W11,Undergraduate,HIST    102N,NORTH M F,C+,2
W11,Undergraduate,HIST    102N,NORTH M F,C,3
W11,Undergraduate,HIST    102WA,ALAGONA P S,A+,1
W11,Undergraduate,HIST    102WA,ALAGONA P S,A-,1
W11,Undergraduate,HIST    102WA,ALAGONA P S,B+,4
W11,Undergraduate,HIST    102WA,ALAGONA P S,B,6
W11,Undergraduate,HIST    102WA,ALAGONA P S,B-,1
W11,Undergraduate,HIST    102WA,ALAGONA P S,C+,4
W11,Undergraduate,HIST    102WA,ALAGONA P S,C,3
W11,Undergraduate,HIST    102WA,ALAGONA P S,C-,1
W11,Undergraduate,HIST    110,SOTO LAVEAGA,A+,1
W11,Undergraduate,HIST    110,SOTO LAVEAGA,A,3
W11,Undergraduate,HIST    110,SOTO LAVEAGA,A-,21
W11,Undergraduate,HIST    110,SOTO LAVEAGA,B+,7
W11,Undergraduate,HIST    110,SOTO LAVEAGA,B,6
W11,Undergraduate,HIST    110,SOTO LAVEAGA,B-,5
W11,Undergraduate,HIST    110,SOTO LAVEAGA,C+,2
W11,Undergraduate,HIST    110,SOTO LAVEAGA,C,1
W11,Undergraduate,HIST    110,SOTO LAVEAGA,C-,1
W11,Undergraduate,HIST    110,SOTO LAVEAGA,F,2
W11,Undergraduate,HIST    111B,LEE J W,A+,2
W11,Undergraduate,HIST    111B,LEE J W,A,14
W11,Undergraduate,HIST    111B,LEE J W,A-,16
W11,Undergraduate,HIST    111B,LEE J W,B+,11
W11,Undergraduate,HIST    111B,LEE J W,B,5
W11,Undergraduate,HIST    111B,LEE J W,B-,3
W11,Undergraduate,HIST    111B,LEE J W,C+,2
W11,Undergraduate,HIST    111B,LEE J W,C,1
W11,Undergraduate,HIST    111B,LEE J W,C-,2
W11,Undergraduate,HIST    112B,DIGESER E D,A+,1
W11,Undergraduate,HIST    112B,DIGESER E D,A,3
W11,Undergraduate,HIST    112B,DIGESER E D,A-,6
W11,Undergraduate,HIST    112B,DIGESER E D,B+,6
W11,Undergraduate,HIST    112B,DIGESER E D,B,14
W11,Undergraduate,HIST    112B,DIGESER E D,B-,4
W11,Undergraduate,HIST    112B,DIGESER E D,C+,3
W11,Undergraduate,HIST    112B,DIGESER E D,C,4
W11,Undergraduate,HIST    112B,DIGESER E D,C-,4
W11,Undergraduate,HIST    112B,DIGESER E D,F,2
W11,Undergraduate,HIST    114C,TUTINO S,A,6
W11,Undergraduate,HIST    114C,TUTINO S,A-,5
W11,Undergraduate,HIST    114C,TUTINO S,B+,3
W11,Undergraduate,HIST    114C,TUTINO S,B,2
W11,Undergraduate,HIST    114C,TUTINO S,B-,7
W11,Undergraduate,HIST    114C,TUTINO S,C+,6
W11,Undergraduate,HIST    114C,TUTINO S,C,1
W11,Undergraduate,HIST    114C,TUTINO S,C-,1
W11,Undergraduate,HIST    114C,TUTINO S,D,2
W11,Undergraduate,HIST    114C,TUTINO S,F,4
W11,Undergraduate,HIST    117DR,FARMER S A,A+,1
W11,Undergraduate,HIST    117DR,FARMER S A,A,3
W11,Undergraduate,HIST    117DR,FARMER S A,A-,1
W11,Undergraduate,HIST    117DR,FARMER S A,B+,1
W11,Undergraduate,HIST    117DR,FARMER S A,B,2
W11,Undergraduate,HIST    117DR,FARMER S A,C-,1
W11,Undergraduate,HIST    117DR,FARMER S A,F,1
W11,Undergraduate,HIST    121D,BERNSTEIN H J,A,2
W11,Undergraduate,HIST    121D,BERNSTEIN H J,A-,8
W11,Undergraduate,HIST    121D,BERNSTEIN H J,B+,1
W11,Undergraduate,HIST    121D,BERNSTEIN H J,B,5
W11,Undergraduate,HIST    121D,BERNSTEIN H J,B-,3
W11,Undergraduate,HIST    121D,BERNSTEIN H J,C+,5
W11,Undergraduate,HIST    121D,BERNSTEIN H J,C,6
W11,Undergraduate,HIST    121D,BERNSTEIN H J,C-,4
W11,Undergraduate,HIST    121D,BERNSTEIN H J,D+,1
W11,Undergraduate,HIST    121D,BERNSTEIN H J,D,2
W11,Undergraduate,HIST    129B,SONNINO P M,A,2
W11,Undergraduate,HIST    129B,SONNINO P M,B,7
W11,Undergraduate,HIST    129B,SONNINO P M,B-,2
W11,Undergraduate,HIST    129B,SONNINO P M,C,1
W11,Undergraduate,HIST    129B,SONNINO P M,C-,2
W11,Undergraduate,HIST    129B,SONNINO P M,D+,4
W11,Undergraduate,HIST    129B,SONNINO P M,F,2
W11,Undergraduate,HIST    129C,SONNINO P M,A-,4
W11,Undergraduate,HIST    129C,SONNINO P M,B+,1
W11,Undergraduate,HIST    129C,SONNINO P M,B,1
W11,Undergraduate,HIST    129C,SONNINO P M,B-,1
W11,Undergraduate,HIST    129C,SONNINO P M,C+,2
W11,Undergraduate,HIST    129C,SONNINO P M,C,2
W11,Undergraduate,HIST    129C,SONNINO P M,F,2
W11,Undergraduate,HIST    133B,MARCUSE H,A,11
