Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,LATIN     2,HOLZMEISTER A,A+,4
W11,Undergraduate,LATIN     2,HOLZMEISTER A,A,5
W11,Undergraduate,LATIN     2,HOLZMEISTER A,A-,1
W11,Undergraduate,LATIN     2,HOLZMEISTER A,B-,2
W11,Undergraduate,LATIN     2,HOLZMEISTER A,D-,1
W11,Undergraduate,LATIN     2,LINDHEIM S H,A+,5
W11,Undergraduate,LATIN     2,LINDHEIM S H,A,5
W11,Undergraduate,LATIN     2,LINDHEIM S H,A-,5
W11,Undergraduate,LATIN     2,LINDHEIM S H,B,3
W11,Undergraduate,LATIN     2,LINDHEIM S H,C,2
W11,Undergraduate,LATIN     2,LINDHEIM S H,C-,1
W11,Undergraduate,LATIN     2,LINDHEIM S H,D+,1
W11,Undergraduate,LATIN     2,LINDHEIM S H,F,1
W11,Undergraduate,LATIN   101,DUTSCH D,A+,1
W11,Undergraduate,LATIN   101,DUTSCH D,A,1
W11,Undergraduate,LATIN   101,DUTSCH D,A-,3
W11,Undergraduate,LATIN   101,DUTSCH D,B+,1
W11,Undergraduate,LATIN   101,DUTSCH D,B,2
W11,Undergraduate,LATIN   101,DUTSCH D,F,1
