Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,MUS       1,BERKOWITZ P M,P,30
W11,Undergraduate,MUS       1,BERKOWITZ P M,NP,4
W11,Undergraduate,MUS       4B,YIH A K,A+,1
W11,Undergraduate,MUS       4B,YIH A K,A,8
W11,Undergraduate,MUS       4B,YIH A K,A-,7
W11,Undergraduate,MUS       4B,YIH A K,B+,8
W11,Undergraduate,MUS       4B,YIH A K,B,11
W11,Undergraduate,MUS       4B,YIH A K,C+,4
W11,Undergraduate,MUS       4B,YIH A K,C,3
W11,Undergraduate,MUS       4B,YIH A K,C-,3
W11,Undergraduate,MUS       4B,YIH A K,F,1
W11,Undergraduate,MUS       4E,YIH A K,A,7
W11,Undergraduate,MUS       4E,YIH A K,A-,7
W11,Undergraduate,MUS       4E,YIH A K,B+,8
W11,Undergraduate,MUS       4E,YIH A K,B,6
W11,Undergraduate,MUS       4E,YIH A K,B-,4
W11,Undergraduate,MUS       4E,YIH A K,C+,2
W11,Undergraduate,MUS       4E,YIH A K,C,1
W11,Undergraduate,MUS       4E,YIH A K,C-,1
W11,Undergraduate,MUS       5E,VAN DEN TOORN,A,3
W11,Undergraduate,MUS       5E,VAN DEN TOORN,B+,8
W11,Undergraduate,MUS       5E,VAN DEN TOORN,B,10
W11,Undergraduate,MUS       5E,VAN DEN TOORN,B-,9
W11,Undergraduate,MUS       5E,VAN DEN TOORN,C,3
W11,Undergraduate,MUS       5E,VAN DEN TOORN,C-,2
W11,Undergraduate,MUS      11,VITALINO M,A+,23
W11,Undergraduate,MUS      11,VITALINO M,A,36
W11,Undergraduate,MUS      11,VITALINO M,A-,20
W11,Undergraduate,MUS      11,VITALINO M,B+,19
W11,Undergraduate,MUS      11,VITALINO M,B,16
W11,Undergraduate,MUS      11,VITALINO M,B-,3
W11,Undergraduate,MUS      11,VITALINO M,C+,3
W11,Undergraduate,MUS      11,VITALINO M,C,9
W11,Undergraduate,MUS      11,VITALINO M,C-,2
W11,Undergraduate,MUS      11,VITALINO M,D+,1
W11,Undergraduate,MUS      11,VITALINO M,D,2
W11,Undergraduate,MUS      11,VITALINO M,F,6
W11,Undergraduate,MUS      15,PAUL D C,A+,49
W11,Undergraduate,MUS      15,PAUL D C,A,146
W11,Undergraduate,MUS      15,PAUL D C,A-,89
W11,Undergraduate,MUS      15,PAUL D C,B+,44
W11,Undergraduate,MUS      15,PAUL D C,B,47
W11,Undergraduate,MUS      15,PAUL D C,B-,18
W11,Undergraduate,MUS      15,PAUL D C,C+,9
W11,Undergraduate,MUS      15,PAUL D C,C,6
W11,Undergraduate,MUS      15,PAUL D C,C-,4
W11,Undergraduate,MUS      15,PAUL D C,D+,1
W11,Undergraduate,MUS      15,PAUL D C,D,1
W11,Undergraduate,MUS      15,PAUL D C,D-,1
W11,Undergraduate,MUS      15,PAUL D C,F,6
W11,Undergraduate,MUS      17,NOVAK D E,A+,6
W11,Undergraduate,MUS      17,NOVAK D E,A,36
W11,Undergraduate,MUS      17,NOVAK D E,A-,6
W11,Undergraduate,MUS      17,NOVAK D E,B+,13
W11,Undergraduate,MUS      17,NOVAK D E,B,26
W11,Undergraduate,MUS      17,NOVAK D E,B-,3
W11,Undergraduate,MUS      17,NOVAK D E,C+,6
W11,Undergraduate,MUS      17,NOVAK D E,C,6
W11,Undergraduate,MUS      17,NOVAK D E,D+,1
W11,Undergraduate,MUS      17,NOVAK D E,D,2
W11,Undergraduate,MUS      17,NOVAK D E,F,1
W11,Undergraduate,MUS      20A,BRECHER B H,A+,4
W11,Undergraduate,MUS      20A,BRECHER B H,A,8
W11,Undergraduate,MUS      20A,BRECHER B H,B+,1
W11,Undergraduate,MUS      20A,BRECHER B H,B,3
W11,Undergraduate,MUS      20A,BRECHER B H,C,1
W11,Undergraduate,MUS      20A,BRECHER B H,C-,1
W11,Undergraduate,MUS      20B,BRECHER B H,A,7
W11,Undergraduate,MUS      20B,BRECHER B H,A-,1
W11,Undergraduate,MUS      20B,BRECHER B H,B,1
W11,Undergraduate,MUS      20C,BRECHER B H,A,8
W11,Undergraduate,MUS      20C,BRECHER B H,A-,4
W11,Undergraduate,MUS      25,PORETSKY S,A,6
W11,Undergraduate,MUS      26B,RUTKOWSKI G B,A,1
W11,Undergraduate,MUS      26B,RUTKOWSKI G B,A-,2
W11,Undergraduate,MUS      26B,RUTKOWSKI G B,B+,1
W11,Undergraduate,MUS      26B,RUTKOWSKI G B,C+,2
W11,Undergraduate,MUS      27B,BAMBACH P A,A+,1
W11,Undergraduate,MUS      27B,BAMBACH P A,A,5
W11,Undergraduate,MUS      27C,FELBER J,A,5
W11,Undergraduate,MUS      27C,FELBER J,A-,1
W11,Undergraduate,MUS      28A,GROSS S L,A,4
