Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W11,Undergraduate,SPAN      1,MARQUES-PASCU,A,12
W11,Undergraduate,SPAN      1,MARQUES-PASCU,A-,10
W11,Undergraduate,SPAN      1,MARQUES-PASCU,B+,8
W11,Undergraduate,SPAN      1,MARQUES-PASCU,B,11
W11,Undergraduate,SPAN      1,MARQUES-PASCU,B-,4
W11,Undergraduate,SPAN      1,MARQUES-PASCU,C+,4
W11,Undergraduate,SPAN      1,MARQUES-PASCU,C,5
W11,Undergraduate,SPAN      1,MARQUES-PASCU,C-,1
W11,Undergraduate,SPAN      1,MARQUES-PASCU,D,1
W11,Undergraduate,SPAN      2,MARQUES-PASCU,A,43
W11,Undergraduate,SPAN      2,MARQUES-PASCU,A-,16
W11,Undergraduate,SPAN      2,MARQUES-PASCU,B+,15
W11,Undergraduate,SPAN      2,MARQUES-PASCU,B,27
W11,Undergraduate,SPAN      2,MARQUES-PASCU,B-,20
W11,Undergraduate,SPAN      2,MARQUES-PASCU,C+,6
W11,Undergraduate,SPAN      2,MARQUES-PASCU,C,9
W11,Undergraduate,SPAN      2,MARQUES-PASCU,C-,6
W11,Undergraduate,SPAN      2,MARQUES-PASCU,D+,2
W11,Undergraduate,SPAN      2,MARQUES-PASCU,D,3
W11,Undergraduate,SPAN      2,MARQUES-PASCU,F,5
W11,Undergraduate,SPAN      2,TRUJILLO A,A,16
W11,Undergraduate,SPAN      2,TRUJILLO A,A-,7
W11,Undergraduate,SPAN      2,TRUJILLO A,B+,8
W11,Undergraduate,SPAN      2,TRUJILLO A,B,8
W11,Undergraduate,SPAN      2,TRUJILLO A,B-,9
W11,Undergraduate,SPAN      2,TRUJILLO A,C+,2
W11,Undergraduate,SPAN      2,TRUJILLO A,C,2
W11,Undergraduate,SPAN      2,TRUJILLO A,C-,5
W11,Undergraduate,SPAN      2,TRUJILLO A,D+,1
W11,Undergraduate,SPAN      2,TRUJILLO A,D,1
W11,Undergraduate,SPAN      2,TRUJILLO A,F,1
W11,Undergraduate,SPAN      3,MARQUES-PASCU,A,8
W11,Undergraduate,SPAN      3,MARQUES-PASCU,A-,12
W11,Undergraduate,SPAN      3,MARQUES-PASCU,B+,8
W11,Undergraduate,SPAN      3,MARQUES-PASCU,B,18
W11,Undergraduate,SPAN      3,MARQUES-PASCU,B-,6
W11,Undergraduate,SPAN      3,MARQUES-PASCU,C+,5
W11,Undergraduate,SPAN      3,MARQUES-PASCU,C,6
W11,Undergraduate,SPAN      3,MARQUES-PASCU,C-,3
W11,Undergraduate,SPAN      3,MARQUES-PASCU,D+,3
W11,Undergraduate,SPAN      3,MARQUES-PASCU,D,1
W11,Undergraduate,SPAN      3,MARQUES-PASCU,F,1
W11,Undergraduate,SPAN      5,MARQUES-PASCU,A,17
W11,Undergraduate,SPAN      5,MARQUES-PASCU,A-,11
W11,Undergraduate,SPAN      5,MARQUES-PASCU,B+,10
W11,Undergraduate,SPAN      5,MARQUES-PASCU,B,7
W11,Undergraduate,SPAN      5,MARQUES-PASCU,B-,4
W11,Undergraduate,SPAN      5,MARQUES-PASCU,C+,1
W11,Undergraduate,SPAN      5,MARQUES-PASCU,C,1
W11,Undergraduate,SPAN      5,MARQUES-PASCU,D,1
W11,Undergraduate,SPAN      5,MARQUES-PASCU,D-,1
W11,Undergraduate,SPAN      5,PELAEZ Y J,A,5
W11,Undergraduate,SPAN      5,PELAEZ Y J,A-,6
W11,Undergraduate,SPAN      5,PELAEZ Y J,B+,4
W11,Undergraduate,SPAN      5,PELAEZ Y J,B,6
W11,Undergraduate,SPAN      5,PELAEZ Y J,B-,3
W11,Undergraduate,SPAN      5,PELAEZ Y J,C+,1
W11,Undergraduate,SPAN      5,PELAEZ Y J,C,2
W11,Undergraduate,SPAN      5,PELAEZ Y J,C-,1
W11,Undergraduate,SPAN      5,PELAEZ Y J,D,1
W11,Undergraduate,SPAN      6,MARQUES-PASCU,A,5
W11,Undergraduate,SPAN      6,MARQUES-PASCU,A-,14
W11,Undergraduate,SPAN      6,MARQUES-PASCU,B+,4
W11,Undergraduate,SPAN      6,MARQUES-PASCU,B,6
W11,Undergraduate,SPAN      6,MARQUES-PASCU,B-,1
W11,Undergraduate,SPAN      6,MARQUES-PASCU,C+,1
W11,Undergraduate,SPAN      6,MARQUES-PASCU,C,2
W11,Undergraduate,SPAN      6,MARQUES-PASCU,C-,2
W11,Undergraduate,SPAN      6,MARQUES-PASCU,D+,1
W11,Undergraduate,SPAN     16B,JEFFERSON M E,A+,1
W11,Undergraduate,SPAN     16B,JEFFERSON M E,A,5
W11,Undergraduate,SPAN     16B,JEFFERSON M E,A-,8
W11,Undergraduate,SPAN     16B,JEFFERSON M E,B+,4
W11,Undergraduate,SPAN     16B,JEFFERSON M E,B,7
W11,Undergraduate,SPAN     16B,JEFFERSON M E,C+,1
W11,Undergraduate,SPAN     16B,JEFFERSON M E,C-,1
W11,Undergraduate,SPAN     25,JEFFERSON M E,A+,4
W11,Undergraduate,SPAN     25,JEFFERSON M E,A,3
W11,Undergraduate,SPAN     25,JEFFERSON M E,A-,5
W11,Undergraduate,SPAN     25,JEFFERSON M E,B+,8
W11,Undergraduate,SPAN     25,JEFFERSON M E,B,3
W11,Undergraduate,SPAN     25,JEFFERSON M E,B-,2
W11,Undergraduate,SPAN     25,JEFFERSON M E,C+,2
W11,Undergraduate,SPAN     25,JEFFERSON M E,C,1
W11,Undergraduate,SPAN    100,RAPOSO E,A+,5
W11,Undergraduate,SPAN    100,RAPOSO E,A,13
W11,Undergraduate,SPAN    100,RAPOSO E,A-,7
W11,Undergraduate,SPAN    100,RAPOSO E,B+,7
W11,Undergraduate,SPAN    100,RAPOSO E,B,9
W11,Undergraduate,SPAN    100,RAPOSO E,B-,5
W11,Undergraduate,SPAN    100,RAPOSO E,C+,2
W11,Undergraduate,SPAN    100,RAPOSO E,C,1
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,A+,1
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,A,12
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,A-,16
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,B+,5
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,B,15
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,B-,6
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,C+,2
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,C,8
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,C-,1
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,D+,1
W11,Undergraduate,SPAN    102L,GONZALES-SMIT,F,7
W11,Undergraduate,SPAN    109,MARQUES-PASCU,A,3
W11,Undergraduate,SPAN    109,MARQUES-PASCU,A-,3
W11,Undergraduate,SPAN    109,MARQUES-PASCU,B+,6
W11,Undergraduate,SPAN    109,MARQUES-PASCU,B,8
W11,Undergraduate,SPAN    109,MARQUES-PASCU,B-,4
W11,Undergraduate,SPAN    109,MARQUES-PASCU,C+,4
W11,Undergraduate,SPAN    109,MARQUES-PASCU,C,4
W11,Undergraduate,SPAN    109,MARQUES-PASCU,D,2
W11,Undergraduate,SPAN    109,MARQUES-PASCU,D-,1
W11,Undergraduate,SPAN    109,MARQUES-PASCU,F,1
W11,Undergraduate,SPAN    110A,CORTIJO A,A,1
W11,Undergraduate,SPAN    110A,CORTIJO A,A-,21
W11,Undergraduate,SPAN    110A,CORTIJO A,B+,21
W11,Undergraduate,SPAN    110A,CORTIJO A,B,23
W11,Undergraduate,SPAN    110A,CORTIJO A,B-,1
W11,Undergraduate,SPAN    111A,POOT-HERRERA,A+,4
W11,Undergraduate,SPAN    111A,POOT-HERRERA,A,23
W11,Undergraduate,SPAN    111A,POOT-HERRERA,A-,21
W11,Undergraduate,SPAN    111A,POOT-HERRERA,B+,7
W11,Undergraduate,SPAN    111A,POOT-HERRERA,B,2
W11,Undergraduate,SPAN    111A,POOT-HERRERA,B-,1
W11,Undergraduate,SPAN    111B,CASTILLO J L,A+,2
W11,Undergraduate,SPAN    111B,CASTILLO J L,A,10
W11,Undergraduate,SPAN    111B,CASTILLO J L,A-,7
W11,Undergraduate,SPAN    111B,CASTILLO J L,B+,6
W11,Undergraduate,SPAN    111B,CASTILLO J L,B,11
W11,Undergraduate,SPAN    111B,CASTILLO J L,B-,5
W11,Undergraduate,SPAN    111B,CASTILLO J L,C+,6
W11,Undergraduate,SPAN    111B,CASTILLO J L,C,5
W11,Undergraduate,SPAN    111B,CASTILLO J L,C-,4
W11,Undergraduate,SPAN    111B,CASTILLO J L,D,3
W11,Undergraduate,SPAN    111B,CASTILLO J L,F,3
W11,Undergraduate,SPAN    119A,CHECA J,A+,3
W11,Undergraduate,SPAN    119A,CHECA J,A,4
W11,Undergraduate,SPAN    119A,CHECA J,A-,2
W11,Undergraduate,SPAN    119A,CHECA J,B+,3
W11,Undergraduate,SPAN    119A,CHECA J,B,9
W11,Undergraduate,SPAN    119A,CHECA J,B-,5
W11,Undergraduate,SPAN    119A,CHECA J,C+,4
W11,Undergraduate,SPAN    119A,CHECA J,C,3
W11,Undergraduate,SPAN    119A,CHECA J,C-,1
W11,Undergraduate,SPAN    120A,MCCRACKEN E,A,3
W11,Undergraduate,SPAN    120A,MCCRACKEN E,A-,3
W11,Undergraduate,SPAN    120A,MCCRACKEN E,B+,5
W11,Undergraduate,SPAN    120A,MCCRACKEN E,B,1
W11,Undergraduate,SPAN    120A,MCCRACKEN E,B-,3
W11,Undergraduate,SPAN    120A,MCCRACKEN E,C+,6
W11,Undergraduate,SPAN    120A,MCCRACKEN E,C,3
W11,Undergraduate,SPAN    120A,MCCRACKEN E,C-,4
W11,Undergraduate,SPAN    120A,MCCRACKEN E,D,4
W11,Undergraduate,SPAN    130,LEVINE S,A,4
W11,Undergraduate,SPAN    130,LEVINE S,A-,4
W11,Undergraduate,SPAN    130,LEVINE S,B+,8
W11,Undergraduate,SPAN    130,LEVINE S,B,4
W11,Undergraduate,SPAN    130,LEVINE S,B-,8
W11,Undergraduate,SPAN    137B,CORTIJO A,A,2
W11,Undergraduate,SPAN    137B,CORTIJO A,A-,23
W11,Undergraduate,SPAN    137B,CORTIJO A,B+,10
W11,Undergraduate,SPAN    137B,CORTIJO A,B,10
W11,Undergraduate,SPAN    137B,CORTIJO A,F,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,A,3
W11,Undergraduate,SPAN    139,MCCRACKEN E,A-,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,B+,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,B,2
W11,Undergraduate,SPAN    139,MCCRACKEN E,B-,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,C+,4
W11,Undergraduate,SPAN    139,MCCRACKEN E,C,4
W11,Undergraduate,SPAN    139,MCCRACKEN E,C-,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,D+,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,D,3
W11,Undergraduate,SPAN    139,MCCRACKEN E,D-,1
W11,Undergraduate,SPAN    139,MCCRACKEN E,F,3
W11,Undergraduate,SPAN    140A,CHECA J,A+,5
W11,Undergraduate,SPAN    140A,CHECA J,A,9
W11,Undergraduate,SPAN    140A,CHECA J,A-,9
W11,Undergraduate,SPAN    140A,CHECA J,B+,5
W11,Undergraduate,SPAN    140A,CHECA J,B,5
W11,Undergraduate,SPAN    140A,CHECA J,B-,4
W11,Undergraduate,SPAN    140A,CHECA J,C+,1
W11,Undergraduate,SPAN    140A,CHECA J,C,1
W11,Undergraduate,SPAN    140A,CHECA J,C-,1
W11,Undergraduate,SPAN    151B,CABRA-RIART A,A+,2
W11,Undergraduate,SPAN    151B,CABRA-RIART A,A,1
W11,Undergraduate,SPAN    151B,CABRA-RIART A,A-,2
W11,Undergraduate,SPAN    151B,CABRA-RIART A,B+,1
W11,Undergraduate,SPAN    169,LUPI J P,A,5
W11,Undergraduate,SPAN    169,LUPI J P,A-,4
W11,Undergraduate,SPAN    169,LUPI J P,B+,6
W11,Undergraduate,SPAN    169,LUPI J P,B,2
W11,Undergraduate,SPAN    169,LUPI J P,B-,1
W11,Undergraduate,SPAN    169,LUPI J P,C+,4
W11,Undergraduate,SPAN    169,LUPI J P,C,2
W11,Undergraduate,SPAN    169,LUPI J P,C-,2
W11,Undergraduate,SPAN    169,LUPI J P,D,1
W11,Undergraduate,SPAN    169,LUPI J P,D-,1
W11,Undergraduate,SPAN    177,LUPI J P,A,2
W11,Undergraduate,SPAN    177,LUPI J P,A-,6
W11,Undergraduate,SPAN    177,LUPI J P,B+,7
W11,Undergraduate,SPAN    177,LUPI J P,B,4
W11,Undergraduate,SPAN    177,LUPI J P,B-,7
W11,Undergraduate,SPAN    177,LUPI J P,C+,2
W11,Undergraduate,SPAN    177,LUPI J P,F,1
W11,Graduate,SPAN    245,POOT-HERRERA,A+,2
W11,Graduate,SPAN    245,POOT-HERRERA,A,5
W11,Graduate,SPAN    591,MARQUES-PASCU,S,17
W11,Graduate,SPAN    599,POOT-HERRERA,S,9
