Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W12,Undergraduate,COMM      1,MULLIN D I,A+,1
W12,Undergraduate,COMM      1,MULLIN D I,A,33
W12,Undergraduate,COMM      1,MULLIN D I,A-,49
W12,Undergraduate,COMM      1,MULLIN D I,B+,68
W12,Undergraduate,COMM      1,MULLIN D I,B,49
W12,Undergraduate,COMM      1,MULLIN D I,B-,55
W12,Undergraduate,COMM      1,MULLIN D I,C+,69
W12,Undergraduate,COMM      1,MULLIN D I,C,51
W12,Undergraduate,COMM      1,MULLIN D I,C-,36
W12,Undergraduate,COMM      1,MULLIN D I,D+,13
W12,Undergraduate,COMM      1,MULLIN D I,D,10
W12,Undergraduate,COMM      1,MULLIN D I,D-,6
W12,Undergraduate,COMM      1,MULLIN D I,F,10
W12,Undergraduate,COMM     87,METZGER M J,A,17
W12,Undergraduate,COMM     87,METZGER M J,A-,5
W12,Undergraduate,COMM     87,METZGER M J,B+,18
W12,Undergraduate,COMM     87,METZGER M J,B,12
W12,Undergraduate,COMM     87,METZGER M J,B-,9
W12,Undergraduate,COMM     87,METZGER M J,C+,8
W12,Undergraduate,COMM     87,METZGER M J,C,24
W12,Undergraduate,COMM     87,METZGER M J,C-,8
W12,Undergraduate,COMM     87,METZGER M J,D+,7
W12,Undergraduate,COMM     87,METZGER M J,D,5
W12,Undergraduate,COMM     87,METZGER M J,D-,1
W12,Undergraduate,COMM     87,METZGER M J,F,3
W12,Undergraduate,COMM     89,JANSMA L L,A,15
W12,Undergraduate,COMM     89,JANSMA L L,A-,42
W12,Undergraduate,COMM     89,JANSMA L L,B+,66
W12,Undergraduate,COMM     89,JANSMA L L,B,64
W12,Undergraduate,COMM     89,JANSMA L L,B-,17
W12,Undergraduate,COMM     89,JANSMA L L,C+,13
W12,Undergraduate,COMM     89,JANSMA L L,C,9
W12,Undergraduate,COMM     89,JANSMA L L,C-,2
W12,Undergraduate,COMM     89,JANSMA L L,D+,1
W12,Undergraduate,COMM     89,JANSMA L L,D,1
W12,Undergraduate,COMM     89,JANSMA L L,D-,2
W12,Undergraduate,COMM     89,JANSMA L L,F,3
W12,Undergraduate,COMM    109,REID S A,A+,1
W12,Undergraduate,COMM    109,REID S A,A,3
W12,Undergraduate,COMM    109,REID S A,A-,7
W12,Undergraduate,COMM    109,REID S A,B+,6
W12,Undergraduate,COMM    109,REID S A,B,4
W12,Undergraduate,COMM    109,REID S A,B-,5
W12,Undergraduate,COMM    109,REID S A,C+,4
W12,Undergraduate,COMM    109,REID S A,C,1
W12,Undergraduate,COMM    109,REID S A,C-,1
W12,Undergraduate,COMM    109,REID S A,F,1
W12,Undergraduate,COMM    114,MULLIN C R,A+,3
W12,Undergraduate,COMM    114,MULLIN C R,A,8
W12,Undergraduate,COMM    114,MULLIN C R,A-,6
W12,Undergraduate,COMM    114,MULLIN C R,B+,2
W12,Undergraduate,COMM    114,MULLIN C R,B,14
W12,Undergraduate,COMM    114,MULLIN C R,B-,5
W12,Undergraduate,COMM    114,MULLIN C R,C+,12
