Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W12,Undergraduate,ENGR    101,WALLING O W,A+,2
W12,Undergraduate,ENGR    101,WALLING O W,A,13
W12,Undergraduate,ENGR    101,WALLING O W,A-,15
W12,Undergraduate,ENGR    101,WALLING O W,B+,18
W12,Undergraduate,ENGR    101,WALLING O W,B,15
W12,Undergraduate,ENGR    101,WALLING O W,B-,4
W12,Undergraduate,ENGR    111,FELDMAN J E,P,186
W12,Undergraduate,ENGR    111,FELDMAN J E,NP,9
W12,Undergraduate,ENGR    122,GREATHOUSE J,A,15
W12,Undergraduate,ENGR    122,GREATHOUSE J,A-,20
W12,Undergraduate,ENGR    122,GREATHOUSE J,B+,16
W12,Undergraduate,ENGR    122,GREATHOUSE J,B,19
W12,Undergraduate,ENGR    122,GREATHOUSE J,B-,4
W12,Undergraduate,ENGR    122,GREATHOUSE J,C,1
W12,Undergraduate,ENGR    134,GREATHOUSE J,A+,12
W12,Undergraduate,ENGR    134,GREATHOUSE J,A,18
W12,Undergraduate,ENGR    134,GREATHOUSE J,A-,14
W12,Undergraduate,ENGR    134,GREATHOUSE J,B+,4
W12,Undergraduate,ENGR    134,GREATHOUSE J,B,16
W12,Undergraduate,ENGR    134,GREATHOUSE J,B-,14
W12,Undergraduate,ENGR    134,GREATHOUSE J,C+,1
W12,Undergraduate,ENGR    134,GREATHOUSE J,C,11
W12,Undergraduate,ENGR    134,GREATHOUSE J,C-,3
W12,Undergraduate,ENGR    134,GREATHOUSE J,D+,2
W12,Undergraduate,ENGR    134,GREATHOUSE J,D,4
W12,Undergraduate,ENGR    134,GREATHOUSE J,D-,1
W12,Undergraduate,ENGR    134,GREATHOUSE J,F,2
W12,Graduate,ENGR    240,HANSEN G S,A+,7
W12,Graduate,ENGR    240,HANSEN G S,A,5
W12,Graduate,ENGR    240,HANSEN G S,A-,5
W12,Graduate,ENGR    246,ADORNETTO D,A+,4
W12,Graduate,ENGR    246,ADORNETTO D,A,5
W12,Graduate,ENGR    246,ADORNETTO D,A-,4
W12,Graduate,ENGR    246,ADORNETTO D,B+,4
W12,Graduate,ENGR    246,ADORNETTO D,B,5
W12,Graduate,ENGR    258,BOGART K S,A+,1
W12,Graduate,ENGR    258,BOGART K S,A,3
W12,Graduate,ENGR    258,BOGART K S,A-,1
W12,Graduate,ENGR    258,BOGART K S,B+,2
