Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W12,Undergraduate,GPS     136,NASH M B,A-,11
W12,Undergraduate,GPS     136,NASH M B,B+,16
W12,Undergraduate,GPS     136,NASH M B,B,16
W12,Undergraduate,GPS     136,NASH M B,B-,6
W12,Undergraduate,GPS     136,NASH M B,C+,3
W12,Undergraduate,GPS     136,NASH M B,C,2
W12,Undergraduate,GPS     136,NASH M B,D+,1
W12,Undergraduate,GPS     136,NASH M B,D,1
W12,Undergraduate,GPS     196,NASH M B,A,3
W12,Undergraduate,GPS     196,NASH M B,A-,1
W12,Undergraduate,GPS     196,NASH M B,B+,3
W12,Undergraduate,GPS     196,NASH M B,B,7
W12,Undergraduate,GPS     196,NASH M B,B-,1
W12,Undergraduate,GPS     196,NASH M B,C+,1
W12,Undergraduate,GPS     196,NASH M B,C,2
W12,Undergraduate,GPS     196,NASH M B,F,1
