Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W12,Undergraduate,ART  CS 120,MELROY P D,P,12
W12,Undergraduate,ARTHI     6B,MEADOW M A,A+,9
W12,Undergraduate,ARTHI     6B,MEADOW M A,A,57
W12,Undergraduate,ARTHI     6B,MEADOW M A,A-,51
W12,Undergraduate,ARTHI     6B,MEADOW M A,B+,45
W12,Undergraduate,ARTHI     6B,MEADOW M A,B,49
W12,Undergraduate,ARTHI     6B,MEADOW M A,B-,54
W12,Undergraduate,ARTHI     6B,MEADOW M A,C+,21
W12,Undergraduate,ARTHI     6B,MEADOW M A,C,10
W12,Undergraduate,ARTHI     6B,MEADOW M A,C-,7
W12,Undergraduate,ARTHI     6B,MEADOW M A,D,1
W12,Undergraduate,ARTHI     6B,MEADOW M A,F,9
W12,Graduate,ARTHI   500,MEADOW M A,S,7
W12,Graduate,ARTHI   599,MEADOW M A,S,5
W12,Undergraduate,ARTST   105,MELROY P D,A+,1
W12,Undergraduate,ARTST   105,MELROY P D,A,6
W12,Undergraduate,ARTST   105,MELROY P D,A-,3
W12,Undergraduate,ARTST   105,MELROY P D,B+,5
W12,Undergraduate,ARTST   105,MELROY P D,B,1
W12,Undergraduate,ARTST   105,MELROY P D,B-,1
W12,Graduate,CHEM    222B,METIU H I,A+,3
W12,Graduate,CHEM    222B,METIU H I,A,2
W12,Graduate,CHEM    222B,METIU H I,A-,1
W12,Graduate,CHEM    222B,METIU H I,B+,2
W12,Graduate,CHEM    222B,METIU H I,B,3
W12,Undergraduate,COMM     87,METZGER M J,A,17
W12,Undergraduate,COMM     87,METZGER M J,A-,5
W12,Undergraduate,COMM     87,METZGER M J,B+,18
W12,Undergraduate,COMM     87,METZGER M J,B,12
W12,Undergraduate,COMM     87,METZGER M J,B-,9
W12,Undergraduate,COMM     87,METZGER M J,C+,8
W12,Undergraduate,COMM     87,METZGER M J,C,24
W12,Undergraduate,COMM     87,METZGER M J,C-,8
W12,Undergraduate,COMM     87,METZGER M J,D+,7
W12,Undergraduate,COMM     87,METZGER M J,D,5
W12,Undergraduate,COMM     87,METZGER M J,D-,1
W12,Undergraduate,COMM     87,METZGER M J,F,3
W12,Graduate,ECE     254A,MELLIAR-SMITH,A+,1
W12,Graduate,ECE     254A,MELLIAR-SMITH,A,15
W12,Graduate,ECE     254A,MELLIAR-SMITH,A-,6
W12,Graduate,ECE     254A,MELLIAR-SMITH,B+,1
W12,Graduate,ESM     202,MELACK J M,A+,11
W12,Graduate,ESM     202,MELACK J M,A,58
W12,Graduate,ESM     202,MELACK J M,A-,7
W12,Graduate,ESM     202,MELACK J M,B+,10
W12,Graduate,ESM     202,MELACK J M,B,22
W12,Undergraduate,GER       2,MENGELE I,A,18
W12,Undergraduate,GER       2,MENGELE I,A-,2
W12,Undergraduate,GER       2,MENGELE I,B+,5
W12,Undergraduate,GER       2,MENGELE I,B,2
W12,Undergraduate,GER       2,MENGELE I,B-,1
