Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W12,Undergraduate,PHYS      1,FREEDMAN R A,A+,46
W12,Undergraduate,PHYS      1,FREEDMAN R A,A,103
W12,Undergraduate,PHYS      1,FREEDMAN R A,A-,105
W12,Undergraduate,PHYS      1,FREEDMAN R A,B+,73
W12,Undergraduate,PHYS      1,FREEDMAN R A,B,67
W12,Undergraduate,PHYS      1,FREEDMAN R A,B-,49
W12,Undergraduate,PHYS      1,FREEDMAN R A,C+,21
W12,Undergraduate,PHYS      1,FREEDMAN R A,C,20
W12,Undergraduate,PHYS      1,FREEDMAN R A,C-,9
W12,Undergraduate,PHYS      1,FREEDMAN R A,D+,10
W12,Undergraduate,PHYS      1,FREEDMAN R A,D,5
W12,Undergraduate,PHYS      1,FREEDMAN R A,F,10
W12,Undergraduate,PHYS      3,LUBIN P,A,7
W12,Undergraduate,PHYS      3,LUBIN P,A-,1
W12,Undergraduate,PHYS      3,LUBIN P,B,33
W12,Undergraduate,PHYS      3,LUBIN P,B-,1
W12,Undergraduate,PHYS      3,LUBIN P,C,38
W12,Undergraduate,PHYS      3,LUBIN P,D,4
W12,Undergraduate,PHYS      3L,LUBIN P,A+,1
W12,Undergraduate,PHYS      3L,LUBIN P,A,10
W12,Undergraduate,PHYS      3L,LUBIN P,A-,10
W12,Undergraduate,PHYS      3L,LUBIN P,B+,12
W12,Undergraduate,PHYS      3L,LUBIN P,B,8
W12,Undergraduate,PHYS      3L,LUBIN P,B-,9
W12,Undergraduate,PHYS      3L,LUBIN P,C+,9
W12,Undergraduate,PHYS      3L,LUBIN P,C,2
W12,Undergraduate,PHYS      3L,LUBIN P,C-,2
W12,Undergraduate,PHYS      3L,LUBIN P,F,1
W12,Undergraduate,PHYS      4,LIPMAN E A,A,32
W12,Undergraduate,PHYS      4,LIPMAN E A,A-,12
W12,Undergraduate,PHYS      4,LIPMAN E A,B+,45
W12,Undergraduate,PHYS      4,LIPMAN E A,B,31
W12,Undergraduate,PHYS      4,LIPMAN E A,B-,17
W12,Undergraduate,PHYS      4,LIPMAN E A,C+,34
