Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W13,Undergraduate,ASTRO     1,O'NEILL H M,A,79
W13,Undergraduate,ASTRO     1,O'NEILL H M,A-,18
W13,Undergraduate,ASTRO     1,O'NEILL H M,B+,9
W13,Undergraduate,ASTRO     1,O'NEILL H M,B,15
W13,Undergraduate,ASTRO     1,O'NEILL H M,B-,17
W13,Undergraduate,ASTRO     1,O'NEILL H M,C+,15
W13,Undergraduate,ASTRO     1,O'NEILL H M,C,27
W13,Undergraduate,ASTRO     1,O'NEILL H M,C-,13
W13,Undergraduate,ASTRO     1,O'NEILL H M,D+,13
W13,Undergraduate,ASTRO     1,O'NEILL H M,D,11
W13,Undergraduate,ASTRO     1,O'NEILL H M,F,19
