Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W13,Graduate,CH E    210B,FREDRICKSON G,A+,1
W13,Graduate,CH E    210B,FREDRICKSON G,A,3
W13,Graduate,CH E    210B,FREDRICKSON G,A-,7
W13,Graduate,CH E    210B,FREDRICKSON G,B,3
W13,Graduate,CH E    291,FREDRICKSON G,S,5
W13,Undergraduate,CMPSC     8,FRANKLIN D M,A+,9
W13,Undergraduate,CMPSC     8,FRANKLIN D M,A,12
W13,Undergraduate,CMPSC     8,FRANKLIN D M,A-,8
W13,Undergraduate,CMPSC     8,FRANKLIN D M,B+,22
W13,Undergraduate,CMPSC     8,FRANKLIN D M,B,14
W13,Undergraduate,CMPSC     8,FRANKLIN D M,B-,7
W13,Undergraduate,CMPSC     8,FRANKLIN D M,C+,7
W13,Undergraduate,CMPSC     8,FRANKLIN D M,C,5
W13,Undergraduate,CMPSC     8,FRANKLIN D M,C-,3
W13,Undergraduate,CMPSC     8,FRANKLIN D M,D,2
W13,Undergraduate,CMPSC     8,FRANKLIN D M,F,1
W13,Undergraduate,CMPSC    24,FRANKLIN D M,A+,2
W13,Undergraduate,CMPSC    24,FRANKLIN D M,A,10
W13,Undergraduate,CMPSC    24,FRANKLIN D M,A-,5
W13,Undergraduate,CMPSC    24,FRANKLIN D M,B+,11
W13,Undergraduate,CMPSC    24,FRANKLIN D M,B,11
W13,Undergraduate,CMPSC    24,FRANKLIN D M,B-,10
W13,Undergraduate,CMPSC    24,FRANKLIN D M,C+,9
W13,Undergraduate,CMPSC    24,FRANKLIN D M,C,10
W13,Undergraduate,CMPSC    24,FRANKLIN D M,C-,9
W13,Undergraduate,CMPSC    24,FRANKLIN D M,D,5
W13,Undergraduate,CMPSC    24,FRANKLIN D M,F,2
W13,Graduate,ESM     264,FREW J E,A,4
W13,Graduate,ESM     264,FREW J E,A-,2
W13,Graduate,ESM     401C,FREW J E,A+,1
W13,Graduate,ESM     401C,FREW J E,A,2
W13,Graduate,ESM     401C,FREW J E,A-,3
W13,Undergraduate,FR        1,ADAIR K R,A+,1
W13,Undergraduate,FR        1,ADAIR K R,A,8
W13,Undergraduate,FR        1,ADAIR K R,A-,3
W13,Undergraduate,FR        1,ADAIR K R,B+,1
