Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W13,Undergraduate,GPS     136,NASH M B,A,2
W13,Undergraduate,GPS     136,NASH M B,A-,5
W13,Undergraduate,GPS     136,NASH M B,B+,8
W13,Undergraduate,GPS     136,NASH M B,B,15
W13,Undergraduate,GPS     136,NASH M B,B-,10
W13,Undergraduate,GPS     136,NASH M B,C+,5
W13,Undergraduate,GPS     136,NASH M B,C,3
W13,Undergraduate,GPS     136,NASH M B,D+,3
W13,Undergraduate,GPS     136,NASH M B,F,1
W13,Undergraduate,GPS     137,NASH M B,A,2
W13,Undergraduate,GPS     137,NASH M B,A-,6
W13,Undergraduate,GPS     137,NASH M B,B+,12
W13,Undergraduate,GPS     137,NASH M B,B,14
W13,Undergraduate,GPS     137,NASH M B,B-,5
W13,Undergraduate,GPS     137,NASH M B,C+,6
W13,Undergraduate,GPS     137,NASH M B,C,3
W13,Undergraduate,GPS     137,NASH M B,C-,1
W13,Undergraduate,GPS     137,NASH M B,D+,1
W13,Undergraduate,GPS     137,NASH M B,F,1
W13,Undergraduate,GPS     196,NASH M B,A,4
W13,Undergraduate,GPS     196,NASH M B,A-,2
W13,Undergraduate,GPS     196,NASH M B,B+,4
W13,Undergraduate,GPS     196,NASH M B,B,2
W13,Undergraduate,GPS     196,NASH M B,B-,3
W13,Undergraduate,GPS     196,NASH M B,C+,1
W13,Undergraduate,GPS     196,NASH M B,C,2
W13,Undergraduate,GPS     196,NASH M B,F,2
