Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W13,Undergraduate,JAPAN     2,SHINAGAWA C,A+,4
W13,Undergraduate,JAPAN     2,SHINAGAWA C,A,11
W13,Undergraduate,JAPAN     2,SHINAGAWA C,A-,12
W13,Undergraduate,JAPAN     2,SHINAGAWA C,B+,4
W13,Undergraduate,JAPAN     2,SHINAGAWA C,B,2
W13,Undergraduate,JAPAN     2,SHINAGAWA C,C+,2
W13,Undergraduate,JAPAN     2,SHINAGAWA C,C,1
W13,Undergraduate,JAPAN     2,SHINAGAWA C,C-,1
W13,Undergraduate,JAPAN     2,SHINAGAWA C,D+,1
W13,Undergraduate,JAPAN     2,SUGAWARA H,A,6
W13,Undergraduate,JAPAN     2,SUGAWARA H,A-,4
W13,Undergraduate,JAPAN     2,SUGAWARA H,B+,1
W13,Undergraduate,JAPAN     2,SUGAWARA H,B,2
W13,Undergraduate,JAPAN     2,SUGAWARA H,B-,1
W13,Undergraduate,JAPAN     2,SUGAWARA H,C+,2
W13,Undergraduate,JAPAN     2,SUGAWARA H,C-,2
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,A,4
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,A-,5
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,B+,2
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,B,2
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,B-,1
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,C,1
W13,Undergraduate,JAPAN     2,YAMAUCHI Y,D+,1
W13,Undergraduate,JAPAN     5,CANTRELL A M,A,6
W13,Undergraduate,JAPAN     5,CANTRELL A M,A-,3
W13,Undergraduate,JAPAN     5,CANTRELL A M,B+,2
W13,Undergraduate,JAPAN     5,CANTRELL A M,B,1
W13,Undergraduate,JAPAN     5,CANTRELL A M,B-,2
W13,Undergraduate,JAPAN     5,CANTRELL A M,C+,1
W13,Undergraduate,JAPAN     5,SUGAWARA H,A+,2
W13,Undergraduate,JAPAN     5,SUGAWARA H,A,7
W13,Undergraduate,JAPAN     5,SUGAWARA H,A-,7
W13,Undergraduate,JAPAN     5,SUGAWARA H,B+,3
W13,Undergraduate,JAPAN     5,SUGAWARA H,B,6
W13,Undergraduate,JAPAN     5,SUGAWARA H,B-,1
W13,Undergraduate,JAPAN     5,SUGAWARA H,C,1
W13,Undergraduate,JAPAN     5,SUGAWARA H,C-,1
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,A+,16
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,A,5
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,B+,8
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,B,11
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,B-,2
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,C+,1
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,C,6
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,D,2
W13,Undergraduate,JAPAN    63,FRUHSTUCK S,F,2
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,A,9
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,A-,12
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,B+,5
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,B,9
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,B-,2
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,C+,2
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,C,4
W13,Undergraduate,JAPAN    80,SALTZMAN-LI K,F,6
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,A+,2
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,A,2
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,A-,5
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,B+,3
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,B,3
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,B-,1
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,C+,1
W13,Undergraduate,JAPAN   120B,YAMAUCHI Y,C,1
W13,Undergraduate,JAPAN   134H,WATTLES M,A,8
W13,Undergraduate,JAPAN   134H,WATTLES M,A-,4
W13,Undergraduate,JAPAN   134H,WATTLES M,B+,4
W13,Undergraduate,JAPAN   134H,WATTLES M,B,1
W13,Undergraduate,JAPAN   134H,WATTLES M,C+,1
W13,Undergraduate,JAPAN   134H,WATTLES M,F,2
W13,Undergraduate,JAPAN   145,LEWALLEN A,A+,1
W13,Undergraduate,JAPAN   145,LEWALLEN A,A,5
W13,Undergraduate,JAPAN   145,LEWALLEN A,A-,2
W13,Undergraduate,JAPAN   145,LEWALLEN A,B+,1
W13,Undergraduate,JAPAN   145,LEWALLEN A,B-,1
W13,Undergraduate,JAPAN   159A,NATHAN J,A,4
W13,Undergraduate,JAPAN   159A,NATHAN J,A-,9
W13,Undergraduate,JAPAN   159A,NATHAN J,B+,15
W13,Undergraduate,JAPAN   159A,NATHAN J,B,12
W13,Undergraduate,JAPAN   159A,NATHAN J,B-,3
W13,Undergraduate,JAPAN   159A,NATHAN J,C+,1
W13,Undergraduate,JAPAN   159A,NATHAN J,C,2
W13,Undergraduate,JAPAN   159A,NATHAN J,F,2
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,A+,5
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,A,1
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,A-,2
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,B+,2
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,B,3
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,B-,2
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,C+,3
W13,Undergraduate,JAPAN   164,FRUHSTUCK S,C-,1
W13,Undergraduate,JAPAN   180AS,SMITH N M,A+,2
W13,Undergraduate,JAPAN   180AS,SMITH N M,A,1
W13,Undergraduate,JAPAN   180AS,SMITH N M,A-,2
W13,Undergraduate,JAPAN   180AS,SMITH N M,B+,1
W13,Undergraduate,JAPAN   180AS,SMITH N M,B,3
W13,Undergraduate,JAPAN   180AS,SMITH N M,B-,1
W13,Undergraduate,JAPAN   180PC,SMITH N M,A+,4
W13,Undergraduate,JAPAN   180PC,SMITH N M,A,2
W13,Undergraduate,JAPAN   180PC,SMITH N M,A-,7
