Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W13,Undergraduate,SLAV      2,MCCLAIN K L,A+,10
W13,Undergraduate,SLAV      2,MCCLAIN K L,A,11
W13,Undergraduate,SLAV      2,MCCLAIN K L,A-,4
W13,Undergraduate,SLAV      2,MCCLAIN K L,B+,1
W13,Undergraduate,SLAV      2,MCCLAIN K L,B,3
W13,Undergraduate,SLAV      2,MCCLAIN K L,B-,3
W13,Undergraduate,SLAV      2,MCCLAIN K L,C+,1
W13,Undergraduate,SLAV      2,MCCLAIN K L,D-,1
W13,Undergraduate,SLAV      2,MCCLAIN K L,F,1
W13,Undergraduate,SLAV      5,MCLELLAN L,A,6
W13,Undergraduate,SLAV      5,MCLELLAN L,A-,1
W13,Undergraduate,SLAV      5,MCLELLAN L,B+,2
W13,Undergraduate,SLAV      5,MCLELLAN L,B,1
W13,Undergraduate,SLAV    101E,MCLELLAN L,A+,1
W13,Undergraduate,SLAV    101E,MCLELLAN L,A,4
W13,Undergraduate,SLAV    101E,MCLELLAN L,A-,1
W13,Undergraduate,SLAV    101E,MCLELLAN L,B+,1
W13,Undergraduate,SLAV    101E,MCLELLAN L,B-,2
W13,Undergraduate,SLAV    123A,WELD S P,A,9
W13,Undergraduate,SLAV    123A,WELD S P,A-,3
W13,Undergraduate,SLAV    123A,WELD S P,B+,2
W13,Undergraduate,SLAV    123A,WELD S P,B,4
W13,Undergraduate,SLAV    123A,WELD S P,B-,1
W13,Undergraduate,SLAV    123A,WELD S P,C,1
W13,Undergraduate,SLAV    123A,WELD S P,D+,1
W13,Undergraduate,SLAV    130A,SPIEKER S,A,5
W13,Undergraduate,SLAV    130A,SPIEKER S,A-,3
W13,Undergraduate,SLAV    130A,SPIEKER S,B+,3
W13,Undergraduate,SLAV    130A,SPIEKER S,B,2
W13,Undergraduate,SLAV    130A,SPIEKER S,B-,1
W13,Undergraduate,SLAV    130A,SPIEKER S,C,1
W13,Undergraduate,SLAV    145,MCCLAIN K L,A+,8
W13,Undergraduate,SLAV    145,MCCLAIN K L,A,9
W13,Undergraduate,SLAV    145,MCCLAIN K L,A-,1
W13,Undergraduate,SLAV    145,MCCLAIN K L,B+,3
W13,Undergraduate,SLAV    151C,SPIEKER S,A,5
W13,Undergraduate,SLAV    151C,SPIEKER S,B+,1
W13,Undergraduate,SLAV    151C,SPIEKER S,B,2
W13,Undergraduate,SLAV    151C,SPIEKER S,B-,1
W13,Undergraduate,SLAV    151C,SPIEKER S,C-,1
W13,Undergraduate,SLAV    151C,SPIEKER S,D,1
