Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W14,Undergraduate,CNCSP   101,LEE A N,A+,8
W14,Undergraduate,CNCSP   101,LEE A N,A,16
W14,Undergraduate,CNCSP   101,LEE A N,A-,15
W14,Undergraduate,CNCSP   101,LEE A N,B+,3
W14,Undergraduate,CNCSP   101,LEE A N,B-,3
W14,Undergraduate,CNCSP   101,LEE A N,C+,1
W14,Undergraduate,CNCSP   101,LEE A N,D+,1
W14,Undergraduate,CNCSP   101,WEISMAN H L,A+,1
W14,Undergraduate,CNCSP   101,WEISMAN H L,A,18
W14,Undergraduate,CNCSP   101,WEISMAN H L,A-,9
W14,Undergraduate,CNCSP   101,WEISMAN H L,B+,7
W14,Undergraduate,CNCSP   101,WEISMAN H L,B,10
W14,Undergraduate,CNCSP   101,WEISMAN H L,B-,3
W14,Undergraduate,CNCSP   101,WEISMAN H L,C+,1
W14,Undergraduate,CNCSP   101,WEISMAN H L,F,1
W14,Undergraduate,CNCSP   102,QUIRK M P,A+,2
W14,Undergraduate,CNCSP   102,QUIRK M P,A,25
W14,Undergraduate,CNCSP   102,QUIRK M P,A-,9
W14,Undergraduate,CNCSP   102,QUIRK M P,B+,8
W14,Undergraduate,CNCSP   102,QUIRK M P,B,9
W14,Undergraduate,CNCSP   102,QUIRK M P,B-,2
W14,Undergraduate,CNCSP   102,QUIRK M P,C+,1
W14,Undergraduate,CNCSP   102,QUIRK M P,C,3
W14,Undergraduate,CNCSP   102,QUIRK M P,D+,1
W14,Undergraduate,CNCSP   102,QUIRK M P,D-,1
W14,Undergraduate,CNCSP   102,QUIRK M P,F,1
W14,Undergraduate,CNCSP   110,BROWN M T,P,60
W14,Undergraduate,CNCSP   112,FURLONG M J,A+,4
W14,Undergraduate,CNCSP   112,FURLONG M J,A,28
W14,Undergraduate,CNCSP   112,FURLONG M J,A-,4
W14,Undergraduate,CNCSP   112,FURLONG M J,B+,2
W14,Undergraduate,CNCSP   112,FURLONG M J,B,5
W14,Undergraduate,CNCSP   112,FURLONG M J,C,1
W14,Undergraduate,CNCSP   199RA,DOWDY E T,A,8
W14,Undergraduate,CNCSP   199RA,JIMERSON S R,A+,1
W14,Undergraduate,CNCSP   199RA,JIMERSON S R,A,38
W14,Undergraduate,CNCSP   199RA,KIA-KEATING M,A,6
W14,Undergraduate,CNCSP   199RA,KOEGEL R L,A+,2
W14,Undergraduate,CNCSP   199RA,KOEGEL R L,A,7
W14,Undergraduate,CNCSP   199RA,VERNON T W,A,8
W14,Graduate,CNCSP   209A,CONOLEY C W,S,6
W14,Graduate,CNCSP   209A,DOWDY E T,S,7
W14,Graduate,CNCSP   209A,ISRAEL T,S,5
W14,Graduate,CNCSP   209A,JIMERSON S R,S,8
W14,Graduate,CNCSP   209A,KIA-KEATING M,S,5
W14,Graduate,CNCSP   209A,KOEGEL R L,S,8
W14,Graduate,CNCSP   212,KOEGEL R L,A+,3
W14,Graduate,CNCSP   212,KOEGEL R L,A,8
W14,Graduate,CNCSP   212,KOEGEL R L,A-,5
W14,Graduate,CNCSP   212,KOEGEL R L,B+,2
W14,Graduate,CNCSP   216,CONSOLI A J,A,11
W14,Graduate,CNCSP   223B,VERNON T W,A,22
W14,Graduate,CNCSP   257B,QUIRK M P,A+,1
W14,Graduate,CNCSP   257B,QUIRK M P,A,7
W14,Graduate,CNCSP   260B,ZETZER H A,S,11
W14,Graduate,CNCSP   263A,BROOKS R B,A+,3
W14,Graduate,CNCSP   263A,BROOKS R B,A,6
W14,Graduate,CNCSP   263A,BROOKS R B,B+,1
W14,Graduate,CNCSP   268B,ISRAEL T,A+,3
W14,Graduate,CNCSP   268B,ISRAEL T,A,7
W14,Graduate,CNCSP   268B,ISRAEL T,A-,2
W14,Graduate,CNCSP   270,CONOLEY C W,S,6
W14,Graduate,CNCSP   270,DOWDY E T,S,7
W14,Graduate,CNCSP   270,JIMERSON S R,S,7
W14,Graduate,CNCSP   270,SMITH S R,S,5
W14,Graduate,CNCSP   271B,LANDE E S,S,6
W14,Graduate,CNCSP   272,ZETZER H A,S,8
W14,Graduate,CNCSP   273,KOEGEL R L,S,11
W14,Graduate,CNCSP   274B,LAURIE E A,A,7
W14,Graduate,CNCSP   274E,SHARKEY J D,S,8
W14,Graduate,CNCSP   276A,ZETZER H A,S,6
W14,Graduate,CNCSP   279B,SMITH S R,S,14
W14,Graduate,CNCSP   291C,GONZALEZ V M,A+,2
W14,Graduate,CNCSP   291C,GONZALEZ V M,A,11
W14,Graduate,CNCSP   599,ISRAEL T,S,5
