Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W14,Undergraduate,ECON      1,SONSTELIE J,A+,1
W14,Undergraduate,ECON      1,SONSTELIE J,A,39
W14,Undergraduate,ECON      1,SONSTELIE J,A-,42
W14,Undergraduate,ECON      1,SONSTELIE J,B+,62
W14,Undergraduate,ECON      1,SONSTELIE J,B,61
W14,Undergraduate,ECON      1,SONSTELIE J,B-,63
W14,Undergraduate,ECON      1,SONSTELIE J,C+,75
W14,Undergraduate,ECON      1,SONSTELIE J,C,316
W14,Undergraduate,ECON      1,SONSTELIE J,C-,9
W14,Undergraduate,ECON      1,SONSTELIE J,D+,3
W14,Undergraduate,ECON      1,SONSTELIE J,D,2
W14,Undergraduate,ECON      1,SONSTELIE J,F,5
W14,Undergraduate,ECON      2,RUPERT P,A,35
W14,Undergraduate,ECON      2,RUPERT P,A-,36
W14,Undergraduate,ECON      2,RUPERT P,B+,53
W14,Undergraduate,ECON      2,RUPERT P,B,53
W14,Undergraduate,ECON      2,RUPERT P,B-,60
W14,Undergraduate,ECON      2,RUPERT P,C+,59
W14,Undergraduate,ECON      2,RUPERT P,C,166
W14,Undergraduate,ECON      2,RUPERT P,C-,106
W14,Undergraduate,ECON      2,RUPERT P,D,6
W14,Undergraduate,ECON      2,RUPERT P,F,7
W14,Undergraduate,ECON      3A,ANDERSON R W,A,17
W14,Undergraduate,ECON      3A,ANDERSON R W,A-,14
W14,Undergraduate,ECON      3A,ANDERSON R W,B+,25
W14,Undergraduate,ECON      3A,ANDERSON R W,B,20
W14,Undergraduate,ECON      3A,ANDERSON R W,B-,24
W14,Undergraduate,ECON      3A,ANDERSON R W,C+,27
W14,Undergraduate,ECON      3A,ANDERSON R W,C,74
W14,Undergraduate,ECON      3A,ANDERSON R W,C-,7
W14,Undergraduate,ECON      3A,ANDERSON R W,D+,3
W14,Undergraduate,ECON      3A,ANDERSON R W,D,5
W14,Undergraduate,ECON      3A,ANDERSON R W,F,32
W14,Undergraduate,ECON      3B,HARMON C J,A,9
W14,Undergraduate,ECON      3B,HARMON C J,A-,13
W14,Undergraduate,ECON      3B,HARMON C J,B+,10
W14,Undergraduate,ECON      3B,HARMON C J,B,15
W14,Undergraduate,ECON      3B,HARMON C J,B-,11
W14,Undergraduate,ECON      3B,HARMON C J,C+,12
W14,Undergraduate,ECON      3B,HARMON C J,C,6
W14,Undergraduate,ECON      3B,HARMON C J,C-,13
W14,Undergraduate,ECON      3B,HARMON C J,D+,4
W14,Undergraduate,ECON      3B,HARMON C J,D,16
W14,Undergraduate,ECON      3B,HARMON C J,F,5
W14,Undergraduate,ECON      3BH,HARMON C J,P,14
W14,Undergraduate,ECON      9,WATSON R B,A,10
W14,Undergraduate,ECON      9,WATSON R B,A-,8
W14,Undergraduate,ECON      9,WATSON R B,B+,21
W14,Undergraduate,ECON      9,WATSON R B,B,21
W14,Undergraduate,ECON      9,WATSON R B,B-,15
W14,Undergraduate,ECON      9,WATSON R B,C+,6
W14,Undergraduate,ECON      9,WATSON R B,C,44
W14,Undergraduate,ECON      9,WATSON R B,C-,12
W14,Undergraduate,ECON      9,WATSON R B,D,8
W14,Undergraduate,ECON      9,WATSON R B,D-,1
W14,Undergraduate,ECON      9,WATSON R B,F,17
W14,Undergraduate,ECON     10A,HARTMAN J L,A+,5
W14,Undergraduate,ECON     10A,HARTMAN J L,A,22
W14,Undergraduate,ECON     10A,HARTMAN J L,A-,34
W14,Undergraduate,ECON     10A,HARTMAN J L,B+,28
W14,Undergraduate,ECON     10A,HARTMAN J L,B,34
W14,Undergraduate,ECON     10A,HARTMAN J L,B-,39
W14,Undergraduate,ECON     10A,HARTMAN J L,C+,39
W14,Undergraduate,ECON     10A,HARTMAN J L,C,66
W14,Undergraduate,ECON     10A,HARTMAN J L,C-,7
W14,Undergraduate,ECON     10A,HARTMAN J L,D,4
W14,Undergraduate,ECON     10A,HARTMAN J L,F,23
W14,Undergraduate,ECON     96,ROYER H N,A,14
W14,Undergraduate,ECON    100B,BORGO S M,A,6
W14,Undergraduate,ECON    100B,BORGO S M,A-,3
W14,Undergraduate,ECON    100B,BORGO S M,B+,7
W14,Undergraduate,ECON    100B,BORGO S M,B,8
W14,Undergraduate,ECON    100B,BORGO S M,B-,9
W14,Undergraduate,ECON    100B,BORGO S M,C+,6
W14,Undergraduate,ECON    100B,BORGO S M,C,8
W14,Undergraduate,ECON    100B,BORGO S M,C-,7
W14,Undergraduate,ECON    100B,BORGO S M,D+,2
W14,Undergraduate,ECON    100B,BORGO S M,D,2
W14,Undergraduate,ECON    100B,BORGO S M,D-,4
W14,Undergraduate,ECON    100B,BORGO S M,F,2
W14,Undergraduate,ECON    100B,QIN C Z,A+,3
W14,Undergraduate,ECON    100B,QIN C Z,A,11
W14,Undergraduate,ECON    100B,QIN C Z,A-,10
W14,Undergraduate,ECON    100B,QIN C Z,B+,16
W14,Undergraduate,ECON    100B,QIN C Z,B,19
W14,Undergraduate,ECON    100B,QIN C Z,B-,6
W14,Undergraduate,ECON    100B,QIN C Z,C+,23
W14,Undergraduate,ECON    100B,QIN C Z,C,15
W14,Undergraduate,ECON    100B,QIN C Z,C-,19
W14,Undergraduate,ECON    100B,QIN C Z,D,6
W14,Undergraduate,ECON    100B,QIN C Z,F,1
W14,Undergraduate,ECON    100B,VESPA E I,A+,7
W14,Undergraduate,ECON    100B,VESPA E I,A,13
W14,Undergraduate,ECON    100B,VESPA E I,A-,23
W14,Undergraduate,ECON    100B,VESPA E I,B+,33
W14,Undergraduate,ECON    100B,VESPA E I,B,50
W14,Undergraduate,ECON    100B,VESPA E I,C+,17
W14,Undergraduate,ECON    100B,VESPA E I,C,25
W14,Undergraduate,ECON    100B,VESPA E I,C-,19
W14,Undergraduate,ECON    100B,VESPA E I,D+,2
W14,Undergraduate,ECON    100B,VESPA E I,D,2
W14,Undergraduate,ECON    100B,VESPA E I,F,6
W14,Undergraduate,ECON    106,BENELLI C A,A+,2
W14,Undergraduate,ECON    106,BENELLI C A,A,14
W14,Undergraduate,ECON    106,BENELLI C A,A-,6
W14,Undergraduate,ECON    106,BENELLI C A,B+,9
W14,Undergraduate,ECON    106,BENELLI C A,B,18
W14,Undergraduate,ECON    106,BENELLI C A,B-,5
W14,Undergraduate,ECON    106,BENELLI C A,C+,13
W14,Undergraduate,ECON    106,BENELLI C A,C,10
W14,Undergraduate,ECON    106,BENELLI C A,D+,1
W14,Undergraduate,ECON    106,BENELLI C A,F,1
W14,Undergraduate,ECON    114A,BENELLI C A,A+,1
W14,Undergraduate,ECON    114A,BENELLI C A,A,8
W14,Undergraduate,ECON    114A,BENELLI C A,A-,2
W14,Undergraduate,ECON    114A,BENELLI C A,B+,5
W14,Undergraduate,ECON    114A,BENELLI C A,B,10
W14,Undergraduate,ECON    114A,BENELLI C A,B-,4
W14,Undergraduate,ECON    114A,BENELLI C A,C+,6
W14,Undergraduate,ECON    114A,BENELLI C A,C,6
W14,Undergraduate,ECON    114A,BENELLI C A,D,2
W14,Undergraduate,ECON    114A,BENELLI C A,F,2
W14,Undergraduate,ECON    116A,FRECH H E,A+,1
W14,Undergraduate,ECON    116A,FRECH H E,A,2
W14,Undergraduate,ECON    116A,FRECH H E,A-,6
W14,Undergraduate,ECON    116A,FRECH H E,B+,5
W14,Undergraduate,ECON    116A,FRECH H E,B,3
W14,Undergraduate,ECON    116A,FRECH H E,B-,4
W14,Undergraduate,ECON    116A,FRECH H E,C+,7
W14,Undergraduate,ECON    116A,FRECH H E,C,3
W14,Undergraduate,ECON    116A,FRECH H E,F,2
W14,Undergraduate,ECON    117A,FRECH H E,A+,2
W14,Undergraduate,ECON    117A,FRECH H E,A,1
W14,Undergraduate,ECON    117A,FRECH H E,A-,4
W14,Undergraduate,ECON    117A,FRECH H E,B+,8
W14,Undergraduate,ECON    117A,FRECH H E,B,2
W14,Undergraduate,ECON    117A,FRECH H E,B-,1
W14,Undergraduate,ECON    117A,FRECH H E,C+,2
W14,Undergraduate,ECON    117A,FRECH H E,C,1
W14,Undergraduate,ECON    117A,FRECH H E,F,1
W14,Undergraduate,ECON    118,KULPER D E,A,12
W14,Undergraduate,ECON    118,KULPER D E,A-,12
W14,Undergraduate,ECON    118,KULPER D E,B+,21
W14,Undergraduate,ECON    118,KULPER D E,B,18
W14,Undergraduate,ECON    118,KULPER D E,B-,26
W14,Undergraduate,ECON    118,KULPER D E,C+,13
W14,Undergraduate,ECON    118,KULPER D E,C,5
W14,Undergraduate,ECON    118,KULPER D E,C-,6
W14,Undergraduate,ECON    118,SANDER H C,A+,1
W14,Undergraduate,ECON    118,SANDER H C,A,5
W14,Undergraduate,ECON    118,SANDER H C,A-,3
W14,Undergraduate,ECON    118,SANDER H C,B+,5
W14,Undergraduate,ECON    118,SANDER H C,B,5
W14,Undergraduate,ECON    118,SANDER H C,B-,8
W14,Undergraduate,ECON    118,SANDER H C,C+,7
W14,Undergraduate,ECON    118,SANDER H C,C,2
W14,Undergraduate,ECON    118,SANDER H C,C-,3
W14,Undergraduate,ECON    118,SANDER H C,D,3
W14,Undergraduate,ECON    118,SANDER H C,F,4
W14,Undergraduate,ECON    118H,KULPER D E,P,45
W14,Undergraduate,ECON    118H,KULPER D E,NP,2
W14,Undergraduate,ECON    118H,SANDER H C,P,6
W14,Undergraduate,ECON    130,STUART C,A,1
W14,Undergraduate,ECON    130,STUART C,B,2
W14,Undergraduate,ECON    130,STUART C,C+,1
W14,Undergraduate,ECON    130,STUART C,C,3
W14,Undergraduate,ECON    130,STUART C,D+,3
W14,Undergraduate,ECON    132A,ANDERSON R W,A+,1
W14,Undergraduate,ECON    132A,ANDERSON R W,A,2
W14,Undergraduate,ECON    132A,ANDERSON R W,A-,2
W14,Undergraduate,ECON    132A,ANDERSON R W,B+,5
W14,Undergraduate,ECON    132A,ANDERSON R W,B,5
W14,Undergraduate,ECON    132A,ANDERSON R W,B-,4
W14,Undergraduate,ECON    132A,ANDERSON R W,C+,4
W14,Undergraduate,ECON    132A,ANDERSON R W,C,3
W14,Undergraduate,ECON    132A,ANDERSON R W,C-,3
W14,Undergraduate,ECON    132AH,ANDERSON R W,P,6
W14,Undergraduate,ECON    134A,HARTMAN J L,A+,2
W14,Undergraduate,ECON    134A,HARTMAN J L,A,19
W14,Undergraduate,ECON    134A,HARTMAN J L,A-,12
W14,Undergraduate,ECON    134A,HARTMAN J L,B+,24
W14,Undergraduate,ECON    134A,HARTMAN J L,B,18
W14,Undergraduate,ECON    134A,HARTMAN J L,B-,11
W14,Undergraduate,ECON    134A,HARTMAN J L,C+,16
W14,Undergraduate,ECON    134A,HARTMAN J L,C,17
W14,Undergraduate,ECON    134A,HARTMAN J L,D,1
W14,Undergraduate,ECON    134A,HARTMAN J L,D-,1
W14,Undergraduate,ECON    134A,HARTMAN J L,F,1
W14,Undergraduate,ECON    136A,ANDERSON R W,A+,1
W14,Undergraduate,ECON    136A,ANDERSON R W,A,3
W14,Undergraduate,ECON    136A,ANDERSON R W,A-,8
W14,Undergraduate,ECON    136A,ANDERSON R W,B+,16
W14,Undergraduate,ECON    136A,ANDERSON R W,B,9
W14,Undergraduate,ECON    136A,ANDERSON R W,B-,5
W14,Undergraduate,ECON    136A,ANDERSON R W,C+,7
W14,Undergraduate,ECON    136A,ANDERSON R W,C,7
W14,Undergraduate,ECON    136A,ANDERSON R W,C-,3
W14,Undergraduate,ECON    136A,ANDERSON R W,D,2
W14,Undergraduate,ECON    136A,ANDERSON R W,F,1
W14,Undergraduate,ECON    136A,KULPER D E,A,5
W14,Undergraduate,ECON    136A,KULPER D E,A-,2
W14,Undergraduate,ECON    136A,KULPER D E,B+,3
W14,Undergraduate,ECON    136A,KULPER D E,B,9
W14,Undergraduate,ECON    136A,KULPER D E,B-,4
W14,Undergraduate,ECON    136A,KULPER D E,C+,3
W14,Undergraduate,ECON    136A,KULPER D E,C,2
W14,Undergraduate,ECON    136A,KULPER D E,D+,1
W14,Undergraduate,ECON    136A,KULPER D E,D,1
W14,Undergraduate,ECON    136AH,ANDERSON R W,P,14
W14,Undergraduate,ECON    136AH,KULPER D E,P,11
W14,Undergraduate,ECON    136B,MAASS L E,A+,3
W14,Undergraduate,ECON    136B,MAASS L E,A,8
W14,Undergraduate,ECON    136B,MAASS L E,A-,16
W14,Undergraduate,ECON    136B,MAASS L E,B+,16
W14,Undergraduate,ECON    136B,MAASS L E,B,6
W14,Undergraduate,ECON    136B,MAASS L E,B-,12
W14,Undergraduate,ECON    136B,MAASS L E,C+,5
W14,Undergraduate,ECON    136B,MAASS L E,C,4
W14,Undergraduate,ECON    136B,MAASS L E,C-,1
W14,Undergraduate,ECON    136B,MAASS L E,D+,2
W14,Undergraduate,ECON    136B,MAASS L E,D,3
W14,Undergraduate,ECON    136B,MAASS L E,F,3
W14,Undergraduate,ECON    136C,SANDER H C,A+,2
W14,Undergraduate,ECON    136C,SANDER H C,A,8
W14,Undergraduate,ECON    136C,SANDER H C,A-,6
W14,Undergraduate,ECON    136C,SANDER H C,B+,10
W14,Undergraduate,ECON    136C,SANDER H C,B,14
W14,Undergraduate,ECON    136C,SANDER H C,B-,14
W14,Undergraduate,ECON    136C,SANDER H C,C+,11
W14,Undergraduate,ECON    136C,SANDER H C,C,11
W14,Undergraduate,ECON    136C,SANDER H C,C-,7
W14,Undergraduate,ECON    136C,SANDER H C,D+,2
W14,Undergraduate,ECON    136C,SANDER H C,D,1
W14,Undergraduate,ECON    136C,SANDER H C,F,5
W14,Undergraduate,ECON    136CH,SANDER H C,P,14
W14,Undergraduate,ECON    136CH,SANDER H C,NP,2
W14,Undergraduate,ECON    137A,WATSON R B,A,17
W14,Undergraduate,ECON    137A,WATSON R B,A-,7
W14,Undergraduate,ECON    137A,WATSON R B,B+,13
W14,Undergraduate,ECON    137A,WATSON R B,B,18
W14,Undergraduate,ECON    137A,WATSON R B,B-,19
W14,Undergraduate,ECON    137A,WATSON R B,C+,12
W14,Undergraduate,ECON    137A,WATSON R B,C,17
W14,Undergraduate,ECON    137A,WATSON R B,C-,9
W14,Undergraduate,ECON    137A,WATSON R B,D,6
W14,Undergraduate,ECON    137A,WATSON R B,F,8
W14,Undergraduate,ECON    137B,MAASS L E,A+,3
W14,Undergraduate,ECON    137B,MAASS L E,A,15
W14,Undergraduate,ECON    137B,MAASS L E,A-,9
W14,Undergraduate,ECON    137B,MAASS L E,B+,11
W14,Undergraduate,ECON    137B,MAASS L E,B,8
W14,Undergraduate,ECON    137B,MAASS L E,B-,5
W14,Undergraduate,ECON    137B,MAASS L E,C-,1
W14,Undergraduate,ECON    137B,MAASS L E,D,2
W14,Undergraduate,ECON    137B,MAASS L E,F,2
W14,Undergraduate,ECON    138A,SCHNEIDER N J,A,9
W14,Undergraduate,ECON    138A,SCHNEIDER N J,A-,7
W14,Undergraduate,ECON    138A,SCHNEIDER N J,B+,11
W14,Undergraduate,ECON    138A,SCHNEIDER N J,B,15
W14,Undergraduate,ECON    138A,SCHNEIDER N J,B-,11
W14,Undergraduate,ECON    138A,SCHNEIDER N J,C+,17
W14,Undergraduate,ECON    138A,SCHNEIDER N J,C,11
W14,Undergraduate,ECON    138A,SCHNEIDER N J,C-,4
W14,Undergraduate,ECON    138A,SCHNEIDER N J,D,5
W14,Undergraduate,ECON    138A,SCHNEIDER N J,F,2
W14,Undergraduate,ECON    139,HARMON C J,A,8
W14,Undergraduate,ECON    139,HARMON C J,A-,8
W14,Undergraduate,ECON    139,HARMON C J,B+,8
W14,Undergraduate,ECON    139,HARMON C J,B,4
W14,Undergraduate,ECON    139,HARMON C J,B-,4
