Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W14,Undergraduate,EEMB      2,BUSH D S,A+,29
W14,Undergraduate,EEMB      2,BUSH D S,A,83
W14,Undergraduate,EEMB      2,BUSH D S,A-,31
W14,Undergraduate,EEMB      2,BUSH D S,B+,40
W14,Undergraduate,EEMB      2,BUSH D S,B,198
W14,Undergraduate,EEMB      2,BUSH D S,B-,76
W14,Undergraduate,EEMB      2,BUSH D S,C+,104
W14,Undergraduate,EEMB      2,BUSH D S,C,176
W14,Undergraduate,EEMB      2,BUSH D S,C-,23
W14,Undergraduate,EEMB      2,BUSH D S,D,121
W14,Undergraduate,EEMB      2,BUSH D S,F,35
W14,Undergraduate,EEMB      2,EVEN T J,A+,29
W14,Undergraduate,EEMB      2,EVEN T J,A,83
W14,Undergraduate,EEMB      2,EVEN T J,A-,31
W14,Undergraduate,EEMB      2,EVEN T J,B+,40
W14,Undergraduate,EEMB      2,EVEN T J,B,198
W14,Undergraduate,EEMB      2,EVEN T J,B-,76
W14,Undergraduate,EEMB      2,EVEN T J,C+,104
W14,Undergraduate,EEMB      2,EVEN T J,C,176
W14,Undergraduate,EEMB      2,EVEN T J,C-,23
W14,Undergraduate,EEMB      2,EVEN T J,D,121
W14,Undergraduate,EEMB      2,EVEN T J,F,35
W14,Undergraduate,EEMB      2,RICE W R,A+,29
W14,Undergraduate,EEMB      2,RICE W R,A,83
W14,Undergraduate,EEMB      2,RICE W R,A-,31
W14,Undergraduate,EEMB      2,RICE W R,B+,40
W14,Undergraduate,EEMB      2,RICE W R,B,198
W14,Undergraduate,EEMB      2,RICE W R,B-,76
W14,Undergraduate,EEMB      2,RICE W R,C+,104
W14,Undergraduate,EEMB      2,RICE W R,C,176
W14,Undergraduate,EEMB      2,RICE W R,C-,23
W14,Undergraduate,EEMB      2,RICE W R,D,121
W14,Undergraduate,EEMB      2,RICE W R,F,35
W14,Undergraduate,EEMB      2L,BUSH D S,A+,9
W14,Undergraduate,EEMB      2L,BUSH D S,A,56
W14,Undergraduate,EEMB      2L,BUSH D S,A-,31
W14,Undergraduate,EEMB      2L,BUSH D S,B+,62
W14,Undergraduate,EEMB      2L,BUSH D S,B,170
W14,Undergraduate,EEMB      2L,BUSH D S,B-,37
W14,Undergraduate,EEMB      2L,BUSH D S,C+,30
W14,Undergraduate,EEMB      2L,BUSH D S,C,42
W14,Undergraduate,EEMB      2L,BUSH D S,C-,9
W14,Undergraduate,EEMB      2L,BUSH D S,D,6
