Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W14,Undergraduate,ANTH    176,FRUHSTUCK S,A+,1
W14,Undergraduate,ANTH    176,FRUHSTUCK S,A,16
W14,Undergraduate,ANTH    176,FRUHSTUCK S,A-,3
W14,Undergraduate,ANTH    176,FRUHSTUCK S,B+,1
W14,Undergraduate,ANTH    176,FRUHSTUCK S,B,7
W14,Undergraduate,ANTH    176,FRUHSTUCK S,C,2
W14,Undergraduate,ANTH    176,FRUHSTUCK S,D,1
W14,Undergraduate,C LIT   119,FRADENBURG L,A+,1
W14,Undergraduate,C LIT   119,FRADENBURG L,A,8
W14,Undergraduate,C LIT   119,FRADENBURG L,A-,17
W14,Undergraduate,C LIT   119,FRADENBURG L,B+,16
W14,Undergraduate,C LIT   119,FRADENBURG L,B,1
W14,Undergraduate,C LIT   119,FRADENBURG L,C+,1
W14,Undergraduate,C LIT   119,FRADENBURG L,F,4
W14,Graduate,CH E    210B,FREDRICKSON G,A,11
W14,Graduate,CH E    210B,FREDRICKSON G,A-,5
W14,Graduate,CH E    210B,FREDRICKSON G,B+,4
W14,Graduate,CH E    210B,FREDRICKSON G,B,3
W14,Graduate,CH E    210B,FREDRICKSON G,F,1
W14,Graduate,CH E    596,FREDRICKSON G,S,5
W14,Undergraduate,CMPSC    24,FRANKLIN D M,A+,8
W14,Undergraduate,CMPSC    24,FRANKLIN D M,A,13
W14,Undergraduate,CMPSC    24,FRANKLIN D M,A-,9
W14,Undergraduate,CMPSC    24,FRANKLIN D M,B+,16
W14,Undergraduate,CMPSC    24,FRANKLIN D M,B,18
W14,Undergraduate,CMPSC    24,FRANKLIN D M,B-,9
W14,Undergraduate,CMPSC    24,FRANKLIN D M,C+,11
W14,Undergraduate,CMPSC    24,FRANKLIN D M,C,3
W14,Undergraduate,CMPSC    24,FRANKLIN D M,D+,3
W14,Undergraduate,CMPSC    24,FRANKLIN D M,D,1
W14,Undergraduate,CMPSC    24,FRANKLIN D M,D-,2
W14,Undergraduate,CMPSC    24,FRANKLIN D M,F,6
W14,Undergraduate,ECON    116A,FRECH H E,A+,1
W14,Undergraduate,ECON    116A,FRECH H E,A,2
W14,Undergraduate,ECON    116A,FRECH H E,A-,6
W14,Undergraduate,ECON    116A,FRECH H E,B+,5
W14,Undergraduate,ECON    116A,FRECH H E,B,3
W14,Undergraduate,ECON    116A,FRECH H E,B-,4
W14,Undergraduate,ECON    116A,FRECH H E,C+,7
W14,Undergraduate,ECON    116A,FRECH H E,C,3
W14,Undergraduate,ECON    116A,FRECH H E,F,2
W14,Undergraduate,ECON    117A,FRECH H E,A+,2
W14,Undergraduate,ECON    117A,FRECH H E,A,1
W14,Undergraduate,ECON    117A,FRECH H E,A-,4
W14,Undergraduate,ECON    117A,FRECH H E,B+,8
W14,Undergraduate,ECON    117A,FRECH H E,B,2
W14,Undergraduate,ECON    117A,FRECH H E,B-,1
W14,Undergraduate,ECON    117A,FRECH H E,C+,2
W14,Undergraduate,ECON    117A,FRECH H E,C,1
W14,Undergraduate,ECON    117A,FRECH H E,F,1
W14,Graduate,ESM     264,FREW J E,A,3
W14,Graduate,ESM     264,FREW J E,A-,1
W14,Graduate,ESM     264,FREW J E,B+,1
W14,Graduate,ESM     401C,FREW J E,A,5
W14,Undergraduate,FEMST    20,FRANCIKOVA D,A+,11
W14,Undergraduate,FEMST    20,FRANCIKOVA D,A,35
W14,Undergraduate,FEMST    20,FRANCIKOVA D,A-,35
W14,Undergraduate,FEMST    20,FRANCIKOVA D,B+,25
W14,Undergraduate,FEMST    20,FRANCIKOVA D,B,24
W14,Undergraduate,FEMST    20,FRANCIKOVA D,B-,10
W14,Undergraduate,FEMST    20,FRANCIKOVA D,C+,2
W14,Undergraduate,FEMST    20,FRANCIKOVA D,C,4
W14,Undergraduate,FEMST    20,FRANCIKOVA D,C-,2
W14,Undergraduate,FEMST    20,FRANCIKOVA D,D+,1
W14,Undergraduate,FEMST    20,FRANCIKOVA D,F,4
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,A+,1
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,A,1
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,A-,6
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,B+,1
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,B,2
W14,Undergraduate,FEMST    20H,FRANCIKOVA D,B-,1
W14,Undergraduate,FR        1,SCHULTZ J M,A+,1
W14,Undergraduate,FR        1,SCHULTZ J M,A,18
W14,Undergraduate,FR        1,SCHULTZ J M,A-,5
W14,Undergraduate,FR        1,SCHULTZ J M,B+,7
W14,Undergraduate,FR        1,SCHULTZ J M,B,11
W14,Undergraduate,FR        1,SCHULTZ J M,C+,1
W14,Undergraduate,FR        1,SCHULTZ J M,C-,1
W14,Undergraduate,FR        1,SCHULTZ J M,F,4
W14,Undergraduate,FR        1,TUDISCO J J,A+,1
W14,Undergraduate,FR        1,TUDISCO J J,A,7
W14,Undergraduate,FR        1,TUDISCO J J,A-,3
W14,Undergraduate,FR        1,TUDISCO J J,B+,4
W14,Undergraduate,FR        1,TUDISCO J J,B,7
W14,Undergraduate,FR        1,TUDISCO J J,F,1
W14,Undergraduate,FR        2,MAILLARD M F,A+,1
W14,Undergraduate,FR        2,MAILLARD M F,A,12
W14,Undergraduate,FR        2,MAILLARD M F,A-,3
W14,Undergraduate,FR        2,MAILLARD M F,B+,2
W14,Undergraduate,FR        2,MAILLARD M F,B,3
W14,Undergraduate,FR        2,MAILLARD M F,B-,2
