Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W14,Undergraduate,LIT  CS  15,O'CONNELL E K,P,14
W14,Undergraduate,LIT  CS 101,BUCKLEY C H,P,10
W14,Undergraduate,LIT  CS 102,KRUT R M,P,15
W14,Undergraduate,LIT  CS 102,PORTUGES P C,P,16
W14,Undergraduate,LIT  CS 102,SHULMAN R T,P,9
W14,Undergraduate,LIT  CS 105,ALLEN C E,P,34
W14,Undergraduate,LIT  CS 110,ALLEN C E,P,8
W14,Undergraduate,LIT  CS 110,AULAKH P,P,16
W14,Undergraduate,LIT  CS 110,DONELAN J H,P,12
W14,Undergraduate,LIT  CS 110,O'CONNELL E K,P,21
W14,Undergraduate,LIT  CS 113,LOWENKOPF S,P,13
W14,Undergraduate,LIT  CS 114,AULAKH P,P,8
W14,Undergraduate,LIT  CS 114,MACKER E A,P,16
W14,Undergraduate,LIT  CS 114,TERVALON J,P,6
