Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,ARTHI     1,RAI M L,A+,3
W15,Undergraduate,ARTHI     1,RAI M L,A,11
W15,Undergraduate,ARTHI     1,RAI M L,A-,28
W15,Undergraduate,ARTHI     1,RAI M L,B+,11
W15,Undergraduate,ARTHI     1,RAI M L,B,24
W15,Undergraduate,ARTHI     1,RAI M L,B-,19
W15,Undergraduate,ARTHI     1,RAI M L,C+,6
W15,Undergraduate,ARTHI     1,RAI M L,C,13
W15,Undergraduate,ARTHI     1,RAI M L,C-,8
W15,Undergraduate,ARTHI     1,RAI M L,D,2
W15,Undergraduate,ARTHI     1,RAI M L,D-,3
W15,Undergraduate,ARTHI     1,RAI M L,F,7
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,A,38
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,A-,45
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,B+,48
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,B,64
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,B-,64
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,C+,29
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,C,30
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,C-,17
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,D+,1
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,D,3
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,D-,1
W15,Undergraduate,ARTHI     6B,WILLIAMS R J,F,5
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,A+,6
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,A,13
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,A-,16
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,B+,7
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,B,13
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,B-,5
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,C+,1
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,C,10
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,C-,3
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,D+,2
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,D,5
W15,Undergraduate,ARTHI     6E,OGBECHIE S O,D-,3
W15,Undergraduate,ARTHI     6F,WITTMAN R K,A,10
W15,Undergraduate,ARTHI     6F,WITTMAN R K,A-,25
W15,Undergraduate,ARTHI     6F,WITTMAN R K,B+,24
W15,Undergraduate,ARTHI     6F,WITTMAN R K,B,44
W15,Undergraduate,ARTHI     6F,WITTMAN R K,B-,13
W15,Undergraduate,ARTHI     6F,WITTMAN R K,C+,13
W15,Undergraduate,ARTHI     6F,WITTMAN R K,C,7
W15,Undergraduate,ARTHI     6F,WITTMAN R K,C-,2
W15,Undergraduate,ARTHI     6F,WITTMAN R K,F,1
