Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,AS AM     5,NINH E K,A+,1
W15,Undergraduate,AS AM     5,NINH E K,A,5
W15,Undergraduate,AS AM     5,NINH E K,A-,23
W15,Undergraduate,AS AM     5,NINH E K,B+,38
W15,Undergraduate,AS AM     5,NINH E K,B,49
W15,Undergraduate,AS AM     5,NINH E K,B-,45
W15,Undergraduate,AS AM     5,NINH E K,C+,18
W15,Undergraduate,AS AM     5,NINH E K,C,5
W15,Undergraduate,AS AM     5,NINH E K,C-,2
W15,Undergraduate,AS AM     5,NINH E K,D+,1
W15,Undergraduate,AS AM     5,NINH E K,D,2
W15,Undergraduate,AS AM     5,NINH E K,F,3
W15,Undergraduate,AS AM     5H,NINH E K,A+,1
W15,Undergraduate,AS AM     5H,NINH E K,A,2
W15,Undergraduate,AS AM     5H,NINH E K,A-,6
W15,Undergraduate,AS AM     5H,NINH E K,B+,3
W15,Undergraduate,AS AM     5H,NINH E K,B-,1
W15,Undergraduate,AS AM     8,FUJINO D C,A,10
W15,Undergraduate,AS AM     8,FUJINO D C,A-,23
W15,Undergraduate,AS AM     8,FUJINO D C,B+,37
W15,Undergraduate,AS AM     8,FUJINO D C,B,64
W15,Undergraduate,AS AM     8,FUJINO D C,B-,36
W15,Undergraduate,AS AM     8,FUJINO D C,C+,18
W15,Undergraduate,AS AM     8,FUJINO D C,C,2
W15,Undergraduate,AS AM     8,FUJINO D C,C-,1
W15,Undergraduate,AS AM     8,FUJINO D C,F,4
W15,Undergraduate,AS AM   100HH,ZULUETA B C,A,3
W15,Undergraduate,AS AM   100HH,ZULUETA B C,A-,3
W15,Undergraduate,AS AM   100HH,ZULUETA B C,B+,7
W15,Undergraduate,AS AM   100HH,ZULUETA B C,B,7
W15,Undergraduate,AS AM   100HH,ZULUETA B C,B-,4
W15,Undergraduate,AS AM   100HH,ZULUETA B C,C+,5
W15,Undergraduate,AS AM   100HH,ZULUETA B C,C,4
W15,Undergraduate,AS AM   100HH,ZULUETA B C,C-,2
W15,Undergraduate,AS AM   100HH,ZULUETA B C,D+,1
W15,Undergraduate,AS AM   110,NINH T,A,2
W15,Undergraduate,AS AM   110,NINH T,A-,1
W15,Undergraduate,AS AM   110,NINH T,B+,1
W15,Undergraduate,AS AM   110,NINH T,B,1
W15,Undergraduate,AS AM   110,NINH T,C,2
W15,Undergraduate,AS AM   110,NINH T,C-,2
W15,Undergraduate,AS AM   110,NINH T,F,2
W15,Undergraduate,AS AM   118,O'BRIEN G E,A,9
W15,Undergraduate,AS AM   118,O'BRIEN G E,A-,10
W15,Undergraduate,AS AM   118,O'BRIEN G E,B+,3
