Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,A+,5
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,A,11
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,A-,19
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,B+,14
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,B,25
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,B-,15
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,C+,17
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,C,16
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,C-,8
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,D+,6
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,D,7
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,D-,6
W15,Undergraduate,ASTRO     1,ANTONUCCI R R,F,17
W15,Undergraduate,ASTRO     1H,ANTONUCCI R R,A+,2
W15,Undergraduate,ASTRO     1H,ANTONUCCI R R,A,2
W15,Undergraduate,ASTRO     1H,ANTONUCCI R R,A-,3
