Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,CH E    110A,SHELL M S,A+,6
W15,Undergraduate,CH E    110A,SHELL M S,A,14
W15,Undergraduate,CH E    110A,SHELL M S,A-,8
W15,Undergraduate,CH E    110A,SHELL M S,B+,8
W15,Undergraduate,CH E    110A,SHELL M S,B,5
W15,Undergraduate,CH E    110A,SHELL M S,B-,5
W15,Undergraduate,CH E    110A,SHELL M S,C+,12
W15,Undergraduate,CH E    110A,SHELL M S,C,4
W15,Undergraduate,CH E    110A,SHELL M S,C-,5
W15,Undergraduate,CH E    110A,SHELL M S,D,1
W15,Undergraduate,CH E    110A,SHELL M S,F,3
W15,Undergraduate,CH E    120B,HELGESON M E,A,15
W15,Undergraduate,CH E    120B,HELGESON M E,A-,7
W15,Undergraduate,CH E    120B,HELGESON M E,B+,1
W15,Undergraduate,CH E    120B,HELGESON M E,B,14
W15,Undergraduate,CH E    120B,HELGESON M E,B-,3
W15,Undergraduate,CH E    120B,HELGESON M E,C+,3
W15,Undergraduate,CH E    120B,HELGESON M E,C,8
W15,Undergraduate,CH E    120B,HELGESON M E,C-,3
W15,Undergraduate,CH E    120B,HELGESON M E,D+,1
W15,Undergraduate,CH E    120B,HELGESON M E,D,2
W15,Undergraduate,CH E    120B,HELGESON M E,D-,1
W15,Undergraduate,CH E    120B,HELGESON M E,F,1
W15,Undergraduate,CH E    126,SQUIRES T M,A+,2
W15,Undergraduate,CH E    126,SQUIRES T M,A,8
W15,Undergraduate,CH E    126,SQUIRES T M,A-,6
W15,Undergraduate,CH E    126,SQUIRES T M,B+,11
W15,Undergraduate,CH E    126,SQUIRES T M,B,8
W15,Undergraduate,CH E    126,SQUIRES T M,B-,2
W15,Undergraduate,CH E    126,SQUIRES T M,C+,2
W15,Undergraduate,CH E    126,SQUIRES T M,D-,2
W15,Undergraduate,CH E    126,SQUIRES T M,F,1
W15,Undergraduate,CH E    132C,DAUGHERTY P S,A+,1
W15,Undergraduate,CH E    132C,DAUGHERTY P S,A,7
W15,Undergraduate,CH E    132C,DAUGHERTY P S,A-,4
W15,Undergraduate,CH E    132C,DAUGHERTY P S,B+,5
W15,Undergraduate,CH E    132C,DAUGHERTY P S,B,8
W15,Undergraduate,CH E    132C,DAUGHERTY P S,B-,6
W15,Undergraduate,CH E    132C,DAUGHERTY P S,C+,3
W15,Undergraduate,CH E    132C,DAUGHERTY P S,C,9
W15,Undergraduate,CH E    132C,DAUGHERTY P S,C-,5
W15,Undergraduate,CH E    132C,DAUGHERTY P S,D,2
W15,Undergraduate,CH E    132C,DAUGHERTY P S,F,4
W15,Undergraduate,CH E    152B,DOYLE F,A+,1
W15,Undergraduate,CH E    152B,DOYLE F,A,9
W15,Undergraduate,CH E    152B,DOYLE F,A-,4
W15,Undergraduate,CH E    152B,DOYLE F,B+,1
W15,Undergraduate,CH E    152B,DOYLE F,B,2
W15,Undergraduate,CH E    152B,DOYLE F,B-,2
W15,Undergraduate,CH E    152B,DOYLE F,F,1
W15,Undergraduate,CH E    160,SEGALMAN R A,A+,2
W15,Undergraduate,CH E    160,SEGALMAN R A,A,4
W15,Undergraduate,CH E    160,SEGALMAN R A,A-,2
W15,Undergraduate,CH E    160,SEGALMAN R A,B+,5
W15,Undergraduate,CH E    160,SEGALMAN R A,B,2
W15,Undergraduate,CH E    160,SEGALMAN R A,B-,4
W15,Undergraduate,CH E    160,SEGALMAN R A,F,1
W15,Undergraduate,CH E    180B,HAN SONGI,A+,3
W15,Undergraduate,CH E    180B,HAN SONGI,A,12
W15,Undergraduate,CH E    180B,HAN SONGI,A-,8
W15,Undergraduate,CH E    180B,HAN SONGI,B+,9
W15,Undergraduate,CH E    180B,HAN SONGI,B,8
W15,Undergraduate,CH E    180B,HAN SONGI,B-,8
W15,Undergraduate,CH E    180B,HAN SONGI,C,7
W15,Undergraduate,CH E    180B,O'MALLEY M A,A+,3
W15,Undergraduate,CH E    180B,O'MALLEY M A,A,12
W15,Undergraduate,CH E    180B,O'MALLEY M A,A-,8
W15,Undergraduate,CH E    180B,O'MALLEY M A,B+,9
W15,Undergraduate,CH E    180B,O'MALLEY M A,B,8
W15,Undergraduate,CH E    180B,O'MALLEY M A,B-,8
W15,Undergraduate,CH E    180B,O'MALLEY M A,C,7
W15,Undergraduate,CH E    184A,DOHERTY M F,A,4
W15,Undergraduate,CH E    184A,DOHERTY M F,A-,4
W15,Undergraduate,CH E    184A,DOHERTY M F,B+,5
W15,Undergraduate,CH E    184A,DOHERTY M F,B,18
W15,Undergraduate,CH E    184A,DOHERTY M F,B-,6
W15,Undergraduate,CH E    184A,DOHERTY M F,C+,4
W15,Undergraduate,CH E    184A,DOHERTY M F,C,7
W15,Undergraduate,CH E    184A,DOHERTY M F,C-,1
W15,Undergraduate,CH E    184A,DOHERTY M F,D,1
W15,Graduate,CH E    210B,PETERS B G,A+,2
W15,Graduate,CH E    210B,PETERS B G,A,6
W15,Graduate,CH E    210B,PETERS B G,A-,1
W15,Graduate,CH E    210B,PETERS B G,B+,2
W15,Graduate,CH E    220B,SQUIRES T M,A+,2
W15,Graduate,CH E    220B,SQUIRES T M,A,5
W15,Graduate,CH E    220B,SQUIRES T M,B+,4
W15,Graduate,CH E    220B,SQUIRES T M,B,4
W15,Graduate,CH E    240A,GORDON M J,A+,1
W15,Graduate,CH E    240A,GORDON M J,A,3
W15,Graduate,CH E    240A,GORDON M J,A-,1
W15,Graduate,CH E    240A,GORDON M J,B+,2
W15,Graduate,CH E    240A,GORDON M J,B,1
W15,Graduate,CH E    290,ISRAELACHVILI,S,68
W15,Graduate,CH E    291,CHMELKA B F,S,7
W15,Graduate,CH E    291,DOHERTY M F,S,6
W15,Graduate,CH E    291,ISRAELACHVILI,S,5
W15,Graduate,CH E    291,LEAL L G,S,6
W15,Graduate,CH E    291,MITRAGOTRI S,S,8
W15,Graduate,CH E    291,SHELL M S,S,6
W15,Graduate,CH E    596,CHMELKA B F,S,5
W15,Graduate,CH E    596,FREDRICKSON G,S,5
W15,Graduate,CH E    596,SHELL M S,S,5
W15,Graduate,CH E    596,SOH H T,S,5
W15,Graduate,CH E    599,LEAL L G,S,5
