Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,CHIN      2,CHEN S C,A+,6
W15,Undergraduate,CHIN      2,CHEN S C,A,38
W15,Undergraduate,CHIN      2,CHEN S C,A-,22
W15,Undergraduate,CHIN      2,CHEN S C,B+,13
W15,Undergraduate,CHIN      2,CHEN S C,B,4
W15,Undergraduate,CHIN      2,CHEN S C,B-,1
W15,Undergraduate,CHIN      2,CHEN S C,C+,1
W15,Undergraduate,CHIN      2,CHEN S C,D-,1
W15,Undergraduate,CHIN      2,XIAO X,A+,3
W15,Undergraduate,CHIN      2,XIAO X,A,5
W15,Undergraduate,CHIN      2,XIAO X,A-,3
W15,Undergraduate,CHIN      2,XIAO X,B+,1
W15,Undergraduate,CHIN      2,XIAO X,D,1
W15,Undergraduate,CHIN      2NH,HSU C-C,A,13
W15,Undergraduate,CHIN      2NH,HSU C-C,A-,8
W15,Undergraduate,CHIN      2NH,HSU C-C,B+,6
W15,Undergraduate,CHIN      2NH,HSU C-C,B,4
W15,Undergraduate,CHIN      2NH,HSU C-C,B-,2
W15,Undergraduate,CHIN      2NH,HSU C-C,C-,1
W15,Undergraduate,CHIN      5,GUAN D,A+,2
W15,Undergraduate,CHIN      5,GUAN D,A,12
W15,Undergraduate,CHIN      5,GUAN D,A-,5
W15,Undergraduate,CHIN      5,GUAN D,B+,5
W15,Undergraduate,CHIN      5,GUAN D,B,2
W15,Undergraduate,CHIN      5,GUAN D,B-,3
W15,Undergraduate,CHIN      5,GUAN D,C+,1
W15,Undergraduate,CHIN      5,GUAN D,C,2
W15,Undergraduate,CHIN      5,GUAN D,F,1
W15,Undergraduate,CHIN      5NH,GUAN D,A+,3
W15,Undergraduate,CHIN      5NH,GUAN D,A,5
W15,Undergraduate,CHIN      5NH,GUAN D,A-,5
W15,Undergraduate,CHIN      5NH,GUAN D,B,3
W15,Undergraduate,CHIN      5NH,GUAN D,B-,3
W15,Undergraduate,CHIN      5NH,GUAN D,C,1
W15,Undergraduate,CHIN     26,YU H-J,A+,6
W15,Undergraduate,CHIN     26,YU H-J,A,44
W15,Undergraduate,CHIN     26,YU H-J,A-,17
W15,Undergraduate,CHIN     26,YU H-J,B+,7
W15,Undergraduate,CHIN     26,YU H-J,B,3
W15,Undergraduate,CHIN     26,YU H-J,B-,4
W15,Undergraduate,CHIN     26,YU H-J,C+,2
W15,Undergraduate,CHIN     26,YU H-J,C,9
W15,Undergraduate,CHIN     26,YU H-J,F,1
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,A+,3
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,A,7
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,A-,5
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,B+,3
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,B,1
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,C+,1
W15,Undergraduate,CHIN    101B,STEAVU-BALINT,C,1
W15,Undergraduate,CHIN    102,XIAO X,A+,5
W15,Undergraduate,CHIN    102,XIAO X,A,9
W15,Undergraduate,CHIN    102,XIAO X,A-,3
W15,Undergraduate,CHIN    122B,HSU C-C,A,5
W15,Undergraduate,CHIN    122B,HSU C-C,A-,6
W15,Undergraduate,CHIN    122B,HSU C-C,B+,3
W15,Undergraduate,CHIN    122B,HSU C-C,B,3
W15,Undergraduate,CHIN    122B,HSU C-C,C,1
W15,Undergraduate,CHIN    126A,TU K-C,A,4
W15,Undergraduate,CHIN    126A,TU K-C,A-,5
W15,Undergraduate,CHIN    126A,TU K-C,B+,1
W15,Undergraduate,CHIN    126A,TU K-C,B,5
W15,Undergraduate,CHIN    126A,TU K-C,B-,6
W15,Undergraduate,CHIN    126A,TU K-C,C+,3
W15,Undergraduate,CHIN    127B,YU H-J,A+,1
W15,Undergraduate,CHIN    127B,YU H-J,A,4
W15,Undergraduate,CHIN    127B,YU H-J,A-,1
W15,Undergraduate,CHIN    127B,YU H-J,B-,1
W15,Undergraduate,CHIN    138A,TU K-C,A,6
W15,Undergraduate,CHIN    138A,TU K-C,A-,4
W15,Undergraduate,CHIN    138A,TU K-C,B+,4
W15,Undergraduate,CHIN    138A,TU K-C,B,3
W15,Undergraduate,CHIN    138A,TU K-C,B-,5
W15,Undergraduate,CHIN    138A,TU K-C,C+,1
W15,Undergraduate,CHIN    138A,TU K-C,C,1
W15,Undergraduate,CHIN    185A,ZHENG X,A,6
W15,Undergraduate,CHIN    185A,ZHENG X,A-,3
W15,Undergraduate,CHIN    185A,ZHENG X,B+,4
W15,Undergraduate,CHIN    185A,ZHENG X,B,2
W15,Undergraduate,CHIN    185A,ZHENG X,B-,5
W15,Undergraduate,CHIN    185A,ZHENG X,C+,1
